StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.011,0.22,0.056,0.021,False,2.4088965908343639896292927768
0.015,0.19,0.059,0.022,False,2.1276544042799403090674754071
0.024,0.19,0.051,0.014,False,2.1021352047535851191872402764
0.015,0.18,0.056,0.022,False,2.0322799464502590588184295356
0.017,0.18,0.058,0.027,False,2.0051237631568627987066725772
0.017,0.18,0.059,0.027,False,2.0051237631568627987066725772
0.016,0.18,0.058,0.028,False,1.9938477579653369426735492096
0.016,0.18,0.059,0.027,False,1.9907824795860720977159171923
0.030,0.20,0.051,0.022,False,1.9829424465665133337864765360
0.017,0.18,0.058,0.028,False,1.9637593501539507411456084278
0.024,0.19,0.051,0.015,False,1.9618483119408942985325410486
0.016,0.18,0.060,0.028,False,1.9372060942394026911082109618
0.012,0.18,0.054,0.024,False,1.9247124281192734959783513309
0.024,0.19,0.057,0.022,False,1.9231686631210159263393793705
0.016,0.19,0.060,0.028,False,1.9164129907903198378066236816
0.017,0.19,0.060,0.027,False,1.9072103108600678650099668568
0.017,0.18,0.059,0.028,False,1.9034222735167758725001972901
0.027,0.21,0.055,0.028,False,1.9020218594377068687513929963
0.012,0.18,0.058,0.022,False,1.8993107382471719442528119617
0.027,0.21,0.055,0.027,False,1.8964601991243491708092960626
0.028,0.21,0.053,0.019,False,1.8929750663544683543859772615
0.013,0.18,0.054,0.024,False,1.8928136776817176344626904114
0.012,0.18,0.056,0.024,False,1.8892889987448776533306166175
0.027,0.21,0.054,0.028,False,1.8891127609229761082791144078
0.012,0.18,0.057,0.024,False,1.8842636844756912845931227971
0.030,0.21,0.051,0.022,False,1.8836630243164497938069608185
0.030,0.21,0.052,0.022,False,1.8836630243164497938069608185
0.027,0.21,0.054,0.027,False,1.8835514376619436920091615236
0.027,0.21,0.055,0.026,False,1.8810987589314356946721531538
0.027,0.21,0.055,0.025,False,1.8786810102808567437161230633
0.002,0.18,0.054,0.009,False,1.8761707527198516104371565892
0.027,0.21,0.057,0.027,False,1.8710933222913820489133985619
0.027,0.21,0.056,0.027,False,1.8710933222913820489133985619
0.019,0.19,0.051,0.019,False,1.8704722830997483375274448766
0.027,0.21,0.054,0.026,False,1.8681905013863514528090216977
0.027,0.21,0.054,0.025,False,1.8657730875777342615803485737
0.029,0.21,0.053,0.023,False,1.8606132731151166063708777616
0.002,0.18,0.055,0.009,False,1.8590579000319046146099890939
0.027,0.21,0.056,0.026,False,1.8554340335824134245308914386
