StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.06,0.130,0.024,False,4.0251557275795689512577485827
0.015,0.17,0.139,0.025,False,4.0151152640384280052926594734
0.019,0.06,0.129,0.024,False,3.9898075834698302628617430337
0.019,0.06,0.128,0.024,False,3.9888349147254530628617441670
0.019,0.08,0.130,0.024,False,3.9047579747919190319677512567
0.019,0.08,0.131,0.024,False,3.9047368199419065994925882230
0.019,0.08,0.129,0.024,False,3.9032576317863330694923139319
0.019,0.07,0.128,0.024,False,3.9025946372098748529517350879
0.019,0.07,0.130,0.024,False,3.8976628329553871812590276234
0.019,0.07,0.129,0.024,False,3.8972112817603801927709741827
0.020,0.06,0.127,0.024,False,3.8767534091794021590410700025
0.020,0.06,0.127,0.023,False,3.8756815239222298082433737431
0.020,0.06,0.128,0.023,False,3.8756815239222298082433737431
0.020,0.06,0.126,0.023,False,3.8754765318978475554307123543
0.019,0.05,0.132,0.024,False,3.8676937882697611551455145333
0.019,0.09,0.130,0.024,False,3.8673817347048401719775618656
0.019,0.09,0.131,0.024,False,3.8673817347048401719775618656
0.020,0.06,0.126,0.024,False,3.8670524488491804617743322014
0.019,0.06,0.131,0.024,False,3.8616912032059975546232506416
0.020,0.05,0.130,0.024,False,3.8600846734299071313912746185
0.019,0.06,0.132,0.024,False,3.8444277819086733158523713754
0.019,0.06,0.133,0.024,False,3.8444277819086733158523713754
0.015,0.18,0.139,0.025,False,3.8217794166486579616349480859
0.019,0.05,0.130,0.024,False,3.8110340517810243554146409519
0.020,0.06,0.130,0.024,False,3.8086126225085427963058170522
0.017,0.18,0.139,0.025,False,3.7952661656773769136969040232
0.020,0.07,0.127,0.024,False,3.7929564376067080498317986621
0.020,0.07,0.126,0.023,False,3.7928808352084144400006910963
0.020,0.07,0.127,0.023,False,3.7928808352084144400006910963
0.020,0.08,0.130,0.023,False,3.7914594829006842405807080994
0.020,0.07,0.129,0.024,False,3.7901346644028712990503457441
0.020,0.08,0.129,0.023,False,3.7891209464016193450311797288
0.020,0.07,0.128,0.024,False,3.7878741154797273814237233634
0.020,0.07,0.129,0.023,False,3.7877853238552822295129219580
0.020,0.08,0.128,0.023,False,3.7877763626613593531585120436
0.020,0.07,0.128,0.023,False,3.7866447799486504583390218583
0.020,0.07,0.126,0.024,False,3.7837255639362754957549489053
0.019,0.05,0.129,0.024,False,3.7786091870061155849407047732
0.019,0.05,0.128,0.024,False,3.7778477028146299279795887552
0.020,0.03,0.121,0.024,False,3.7765754152865457668806029010
0.019,0.02,0.120,0.024,False,3.7574555475567303611799777177
0.020,0.09,0.130,0.023,False,3.7570762554841471442035262319
0.020,0.09,0.131,0.023,False,3.7570762554841471442035262319
0.020,0.09,0.129,0.023,False,3.7536998248233114602031969589
0.020,0.06,0.130,0.023,False,3.7501509606409926042930318785
0.020,0.06,0.132,0.024,False,3.7401824541328459168324073230
0.020,0.06,0.132,0.023,False,3.7390816156419076824631134588
0.021,0.06,0.129,0.024,False,3.7385023489601244441158370795
0.020,0.08,0.131,0.023,False,3.7382512495924202442314216574
0.019,0.07,0.131,0.024,False,3.7374805662610654629388784609
0.020,0.07,0.131,0.023,False,3.7372554800009644987704131850
0.019,0.06,0.127,0.024,False,3.7307300350361050291271656819
0.030,0.14,0.118,0.023,False,3.7288894973282527471569307948
0.019,0.08,0.132,0.024,False,3.7285078228559352380330665234
0.019,0.02,0.121,0.024,False,3.7276349296444093982435068308
0.021,0.06,0.129,0.023,False,3.7254829376153436452397609415
0.019,0.05,0.133,0.024,False,3.7204837026458377167384310384
0.020,0.08,0.127,0.023,False,3.7131884406406095968293443597
0.019,0.07,0.132,0.024,False,3.7121251118882327574884911824
0.027,0,0.153,0.017,True,3.7101843932392402986606109159
0.020,0.03,0.121,0.023,False,3.7057818503225186351129809205
0.016,0.04,0.137,0.024,False,3.7043995354190265599422821789
0.024,0.09,0.128,0.023,False,3.7005924876580424272992996064
0.024,0.09,0.129,0.023,False,3.7005924876580424272992996064
0.019,0.06,0.134,0.024,False,3.6986432488648275562585052335
0.015,0.04,0.138,0.025,False,3.6983922569341243109669883730
0.015,0.04,0.139,0.025,False,3.6960787763384247430735593539
0.020,0.07,0.130,0.024,False,3.6900835018856070010187427638
0.027,0.01,0.153,0.017,True,3.6879441458293945003501330106
0.016,0.05,0.137,0.024,False,3.6848803853540315817317101513
0.019,0.08,0.133,0.024,False,3.6795975777044616889063775491
0.032,0.02,0.160,0.001,True,3.6771695578314937090066365673
0.032,0.03,0.159,0.002,True,3.6767760859346078137206659752
0.024,0,0.150,0.014,True,3.6721541099586457561212827944
0.024,0,0.151,0.014,True,3.6721541099586457561212827944
0.031,0.02,0.160,0.001,True,3.6667856393384829051183034497
0.019,0.07,0.133,0.024,False,3.6660740226088602918643036176
0.019,0.06,0.135,0.024,False,3.6613305688822492531045464211
0.020,0.05,0.128,0.024,False,3.6606217601140136565683038948
0.020,0.05,0.127,0.024,False,3.6600867877545256141872837799
0.024,0.01,0.148,0.014,True,3.6594138549816675213695150036
0.024,0.01,0.149,0.014,True,3.6594138549816675213695150036
0.024,0.01,0.150,0.014,True,3.6594138549816675213695150036
0.024,0.01,0.151,0.014,True,3.6594138549816675213695150036
0.020,0.05,0.126,0.023,False,3.6585733389974223793174698267
0.020,0.05,0.127,0.023,False,3.6583631622780884890259923963
0.020,0.05,0.128,0.023,False,3.6583631622780884890259923963
0.032,0.03,0.159,0.004,True,3.6572672566467961847947016605
0.028,0,0.153,0.017,True,3.6564350422428375154010431336
0.019,0.05,0.131,0.024,False,3.6552439933556450555014852563
0.020,0.05,0.131,0.024,False,3.6549845754994244037028728109
0.023,0.07,0.127,0.023,False,3.6542131658913396079904087698
0.020,0.05,0.131,0.023,False,3.6522684894882494751837048584
0.020,0.05,0.126,0.024,False,3.6513818637680551953614639425
0.032,0.03,0.159,0.003,True,3.6506116243292980332887021632
0.019,0.07,0.127,0.024,False,3.6481775517389928103515634712
0.027,0,0.148,0.005,True,3.6463963924370606882081849575
0.023,0.07,0.128,0.023,False,3.6425052907220703280689839316
0.032,0.03,0.159,0.005,True,3.6386044287800171557897570898
0.020,0.06,0.129,0.024,False,3.6385806955601009228987057412
0.020,0.06,0.128,0.024,False,3.6379473411659291259446773681
0.020,0.06,0.129,0.023,False,3.6366717303177511661179388376
0.027,0.01,0.148,0.005,True,3.6366620100717060371052429655
0.020,0.06,0.131,0.024,False,3.6337198411566502888328057364
0.020,0.05,0.130,0.025,False,3.6331515381708525368470969137
0.020,0.05,0.131,0.025,False,3.6331515381708525368470969137
0.020,0.06,0.131,0.023,False,3.6323422819961184802058146851
0.020,0.07,0.130,0.023,False,3.6321032794904105953015532798
0.018,0.03,0.154,0.009,True,3.6297027699755150203774671539
0.025,0.08,0.121,0.023,False,3.6215319507014349753120951372
0.028,0.13,0.133,0.025,False,3.6213213419535967699054090575
0.020,0.04,0.122,0.024,False,3.6201362207011948113161691870
