StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.14,0.077,0.024,False,3.7899019796968472350590740844
0.020,0.14,0.079,0.023,False,3.7189731474021126023001688817
0.020,0.14,0.077,0.023,False,3.6690467909218033390764085971
0.019,0.14,0.078,0.024,False,3.6642267869720866466857959119
0.019,0.14,0.079,0.024,False,3.6469390507401471702182029251
0.019,0.20,0.068,0.020,False,3.6016262135857551110572109515
0.020,0.14,0.080,0.023,False,3.5818661402999002316195771086
0.020,0.14,0.078,0.024,False,3.5808508053975340020397929871
0.018,0.21,0.043,0.025,False,3.5600161804341506770277209168
0.019,0.18,0.072,0.024,False,3.5561469585463022049673866632
0.018,0.23,0.046,0.025,False,3.5546789985387097624581808028
0.019,0.20,0.068,0.024,False,3.5435164293439033837791683977
0.019,0.20,0.069,0.024,False,3.5358612293605222125592987600
0.019,0.20,0.070,0.024,False,3.5358612293605222125592987600
0.019,0.20,0.071,0.024,False,3.5358612293605222125592987600
0.019,0.20,0.067,0.024,False,3.5256260313892741428138651563
0.021,0.15,0.079,0.022,False,3.5255180415234321613887943622
0.018,0.17,0.076,0.022,False,3.5250281829317564922199529232
0.019,0.13,0.078,0.024,False,3.5219012267827568283039409078
0.020,0.14,0.078,0.023,False,3.5180134391025136380236456023
0.021,0.15,0.080,0.022,False,3.5165158681061377665074249163
0.019,0.20,0.066,0.024,False,3.5146614744651875332702412622
0.019,0.14,0.080,0.024,False,3.5112999499202389293595132538
0.018,0.17,0.079,0.022,False,3.5097647130145898666234301211
0.018,0.17,0.080,0.022,False,3.5097647130145898666234301211
0.019,0.13,0.079,0.024,False,3.5092104634481420803240946210
0.019,0.13,0.080,0.024,False,3.5092104634481420803240946210
0.019,0.17,0.068,0.022,False,3.5000055375855753254669606380
0.019,0.17,0.069,0.022,False,3.5000055375855753254669606380
0.017,0.18,0.071,0.023,False,3.4947637937848777907442224177
0.019,0.20,0.072,0.024,False,3.4945372719235286986663172921
0.019,0.12,0.078,0.024,False,3.4877810985818016689247189061
0.017,0.17,0.071,0.023,False,3.4852229540557160133710511649
0.019,0.18,0.070,0.022,False,3.4848772488870819454140466471
0.019,0.18,0.068,0.022,False,3.4845406361871075327069340268
0.019,0.18,0.069,0.022,False,3.4845406361871075327069340268
0.021,0.17,0.078,0.024,False,3.4797928876268465026037122395
0.019,0.20,0.068,0.021,False,3.4776746151983899316310862068
0.018,0.21,0.044,0.025,False,3.4772115019552726228389226584
0.019,0.20,0.067,0.020,False,3.4761393205306048354369039762
0.019,0.18,0.070,0.024,False,3.4747364867116795574793177465
0.019,0.18,0.071,0.024,False,3.4747364867116795574793177465
0.019,0.18,0.069,0.024,False,3.4743998740117051447722051262
0.019,0.17,0.080,0.022,False,3.4733801234865466033334851833
0.019,0.20,0.068,0.022,False,3.4729908589745841545828831776
0.017,0.17,0.076,0.022,False,3.4727118288046450636485841831
0.019,0.18,0.068,0.024,False,3.4678342913224677047673791088
0.018,0.17,0.075,0.022,False,3.4659437793403267087330403088
0.020,0.14,0.079,0.024,False,3.4654246400262567085628761561
0.021,0.21,0.068,0.022,False,3.4632503008062019190384905308
0.021,0.21,0.069,0.022,False,3.4632503008062019190384905308
0.018,0.17,0.077,0.022,False,3.4561850996810922313379093353
0.018,0.17,0.078,0.022,False,3.4561850996810922313379093353
0.017,0.18,0.071,0.024,False,3.4540543565285040659889892069
0.019,0.18,0.073,0.025,False,3.4530290019318979207941499801
0.019,0.20,0.067,0.022,False,3.4528278286923611637830995749
0.018,0.23,0.047,0.025,False,3.4512792577623347841245575323
0.019,0.17,0.079,0.022,False,3.4486447612515100924852792648
0.019,0.20,0.065,0.024,False,3.4484595436065708667661304451
