StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0.03,0.163,0.019,False,4.0395694251766452391075130671
0.007,0.17,0.177,0.014,False,3.9749318501537726150852719664
0.007,0.17,0.178,0.014,False,3.9749318501537726150852719664
0.007,0.17,0.179,0.014,False,3.9749318501537726150852719664
0.014,0.10,0.196,0.010,False,3.9468687112366167018977579466
0.014,0.10,0.197,0.010,False,3.9468687112366167018977579466
0.015,0.03,0.162,0.019,False,3.9361758160654857959576553865
0.017,0.04,0.162,0.019,False,3.8984283823478339885608692225
0.017,0.04,0.163,0.019,False,3.8939488010224535166193138421
0.014,0.10,0.194,0.010,False,3.8908014894491943901646458153
0.014,0.10,0.195,0.010,False,3.8908014894491943901646458153
0.015,0.03,0.161,0.019,False,3.8835063230122687988008486646
0.007,0.17,0.180,0.014,False,3.8795939179238676359120443565
0.016,0.03,0.163,0.019,False,3.8677826132010802670771376741
0.008,0.15,0.183,0.017,False,3.8582039549941626038707353324
0.008,0.15,0.184,0.017,False,3.8582039549941626038707353324
0.007,0.16,0.197,0.017,False,3.8562509388614835496416343176
0.007,0.16,0.198,0.017,False,3.8562509388614835496416343176
0.007,0.16,0.199,0.017,False,3.8562509388614835496416343176
0.007,0.16,0.200,0.017,False,3.8562509388614835496416343176
0.007,0.17,0.176,0.014,False,3.8445735065112495363457957455
0.006,0.17,0.177,0.014,False,3.8441464045792728592943751902
0.006,0.17,0.178,0.014,False,3.8441464045792728592943751902
0.006,0.17,0.179,0.014,False,3.8441464045792728592943751902
0.006,0.17,0.180,0.014,False,3.8441464045792728592943751902
0.013,0.09,0.195,0.011,False,3.8250842361434413592835630152
0.013,0.09,0.196,0.011,False,3.8250842361434413592835630152
0.006,0.17,0.197,0.014,False,3.8246185575421508177250343087
0.015,0.02,0.161,0.019,False,3.8196357081695543044806814748
0.015,0.02,0.162,0.019,False,3.8196357081695543044806814748
0.015,0.02,0.163,0.019,False,3.8196357081695543044806814748
0.009,0.03,0.170,0.021,False,3.8136754652313762619274880713
0.009,0.16,0.197,0.011,False,3.7914268750038257717862731612
0.012,0.09,0.195,0.010,False,3.7872256365451438725682362613
0.016,0.03,0.162,0.019,False,3.7817475503096213275993792134
0.014,0.10,0.192,0.010,False,3.7816588800018182044744548476
0.014,0.08,0.189,0.010,False,3.7764393578648370166558704561
0.014,0.08,0.190,0.010,False,3.7764393578648370166558704561
0.014,0.08,0.191,0.010,False,3.7764393578648370166558704561
0.014,0.08,0.192,0.010,False,3.7764393578648370166558704561
0.010,0.16,0.197,0.010,False,3.7752072644571545555637219586
0.016,0.08,0.196,0.014,True,3.7691205943714174856495836038
0.014,0.06,0.185,0.010,False,3.7674655262453712328849651076
0.014,0.06,0.186,0.010,False,3.7674655262453712328849651076
0.006,0.17,0.177,0.015,False,3.7650693794902344409369621225
0.006,0.17,0.178,0.015,False,3.7650693794902344409369621225
0.006,0.17,0.179,0.015,False,3.7650693794902344409369621225
0.013,0.09,0.194,0.011,False,3.7650539491733163331563749884
0.014,0.10,0.193,0.010,False,3.7626720076133818806169204764
0.014,0.08,0.185,0.010,False,3.7626426398123470243437893666
0.014,0.08,0.186,0.010,False,3.7626426398123470243437893666
0.014,0.08,0.187,0.010,False,3.7626426398123470243437893666
0.014,0.08,0.188,0.010,False,3.7626426398123470243437893666
0.016,0.04,0.161,0.019,False,3.7607603815382311735977878950
0.009,0.16,0.199,0.010,False,3.7600179837610880705221071428
0.009,0.16,0.200,0.010,False,3.7600179837610880705221071428
0.017,0.03,0.163,0.019,False,3.7593054428347836137909923086
0.014,0.09,0.191,0.010,False,3.7402117522373890359138950502
0.014,0.09,0.192,0.010,False,3.7402117522373890359138950502
0.014,0.10,0.186,0.010,False,3.7376766723975677929935750718
0.020,0.08,0.193,0.014,True,3.7267160309417287895100350425
0.020,0.08,0.194,0.014,True,3.7267160309417287895100350425
0.020,0.08,0.195,0.014,True,3.7267160309417287895100350425
0.020,0.08,0.196,0.014,True,3.7267160309417287895100350425
0.014,0.09,0.190,0.010,False,3.7263380417993117353827727663
0.015,0.08,0.193,0.014,True,3.7244130501820457020327139324
0.015,0.08,0.194,0.014,True,3.7244130501820457020327139324
0.017,0.04,0.161,0.019,False,3.7113369378401439555479634644
0.007,0.17,0.197,0.014,False,3.7092071846507891148757899209
0.010,0.03,0.170,0.021,False,3.7076193617177750934579472575
0.016,0.08,0.193,0.014,True,3.7024994203058938955352472591
0.016,0.08,0.194,0.014,True,3.7024994203058938955352472591
0.017,0.08,0.195,0.014,True,3.6997644036313160525625565579
0.017,0.08,0.196,0.014,True,3.6997644036313160525625565579
0.022,0.08,0.187,0.017,True,3.6928890012050178577581165602
0.022,0.08,0.188,0.017,True,3.6928890012050178577581165602
0.022,0.08,0.189,0.017,True,3.6928890012050178577581165602
0.022,0.08,0.190,0.017,True,3.6928890012050178577581165602
0.023,0.08,0.192,0.014,True,3.6809159172241280177098177502
0.011,0.03,0.168,0.020,False,3.6805240646548692926113984736
0.011,0.03,0.169,0.020,False,3.6804980961405493908452880712
0.017,0.03,0.161,0.019,False,3.6773254108976314687887193249
0.017,0.03,0.162,0.019,False,3.6773254108976314687887193249
0.028,0.17,0.180,0.007,False,3.6748836676221811629580963801
0.007,0.16,0.183,0.017,False,3.6634970256065046775991243462
0.007,0.16,0.184,0.017,False,3.6634970256065046775991243462
0.007,0.16,0.185,0.017,False,3.6634970256065046775991243462
0.024,0.09,0.192,0.014,True,3.6494015080649512852193398780
0.022,0.08,0.190,0.016,True,3.6439241977672688912993713026
0.022,0.08,0.191,0.016,True,3.6439241977672688912993713026
0.022,0.08,0.192,0.016,True,3.6439241977672688912993713026
0.022,0.08,0.193,0.016,True,3.6439241977672688912993713026
0.010,0.13,0.197,0.010,False,3.6313426991650121916764624961
0.023,0.08,0.187,0.017,True,3.6259551191266489463279524029
0.023,0.08,0.188,0.017,True,3.6259551191266489463279524029
0.023,0.08,0.189,0.017,True,3.6259551191266489463279524029
0.011,0.03,0.169,0.021,False,3.6039942618289926671940614751
0.010,0.06,0.189,0.010,False,3.6010524752129430515008438859
0.010,0.06,0.190,0.010,False,3.6010524752129430515008438859
0.010,0.06,0.191,0.010,False,3.6010524752129430515008438859
0.023,0.08,0.190,0.014,True,3.5905246877171128616308989847
0.025,0.09,0.192,0.014,True,3.5865439322725420957937159960
0.027,0.11,0.198,0.011,True,3.5865077367574110784692599050
0.027,0.11,0.199,0.011,True,3.5865077367574110784692599050
