StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.008,0.20,0.196,0.008,False,3.9943545703477180514172423930
0.008,0.20,0.197,0.008,False,3.9943545703477180514172423930
0.008,0.20,0.199,0.008,False,3.9943545703477180514172423930
0.008,0.20,0.200,0.008,False,3.9943545703477180514172423930
0.008,0.20,0.198,0.008,False,3.9943545703477180514172423930
0.008,0.20,0.193,0.008,False,3.9467133738021850350376418564
0.008,0.20,0.194,0.008,False,3.9467133738021850350376418564
0.008,0.20,0.195,0.008,False,3.9467133738021850350376418564
0.015,0.11,0.199,0.012,True,3.8801557195313760685853306770
0.015,0.11,0.200,0.012,True,3.8801557195313760685853306770
0.005,0.24,0.200,0.004,False,3.8579048848735180654786751442
0.005,0.24,0.199,0.004,False,3.8579048848735180654786751442
0.008,0.20,0.194,0.007,False,3.8395126928315375439832990958
0.008,0.20,0.195,0.007,False,3.8395126928315375439832990958
0.008,0.20,0.196,0.007,False,3.8395126928315375439832990958
0.008,0.20,0.198,0.007,False,3.8395126928315375439832990958
0.008,0.20,0.199,0.007,False,3.8395126928315375439832990958
0.008,0.20,0.197,0.007,False,3.8395126928315375439832990958
0.022,0.12,0.197,0.018,True,3.8346907184776757181386261943
0.022,0.12,0.200,0.018,True,3.8346907184776757181386261943
0.022,0.12,0.196,0.018,True,3.8346907184776757181386261943
0.022,0.12,0.199,0.018,True,3.8346907184776757181386261943
0.022,0.12,0.198,0.018,True,3.8346907184776757181386261943
0.022,0.12,0.200,0.019,True,3.8287806307868760119900942119
0.022,0.12,0.199,0.019,True,3.8287806307868760119900942119
0.022,0.12,0.198,0.019,True,3.8287806307868760119900942119
0.022,0.12,0.197,0.019,True,3.8287806307868760119900942119
0.022,0.12,0.196,0.019,True,3.8287806307868760119900942119
0.007,0.06,0.167,0.004,False,3.8267611839083234614919391465
0.007,0.06,0.166,0.004,False,3.8267611839083234614919391465
0.023,0.12,0.200,0.019,True,3.8183921468565969193905363023
0.023,0.12,0.199,0.019,True,3.8183921468565969193905363023
0.023,0.12,0.198,0.019,True,3.8183921468565969193905363023
0.023,0.12,0.197,0.019,True,3.8183921468565969193905363023
0.023,0.12,0.196,0.019,True,3.8183921468565969193905363023
0.024,0.13,0.196,0.021,True,3.8109281745201747372052536401
0.024,0.13,0.197,0.021,True,3.8109281745201747372052536401
0.024,0.13,0.198,0.021,True,3.8109281745201747372052536401
0.024,0.13,0.199,0.021,True,3.8109281745201747372052536401
0.016,0.11,0.198,0.012,True,3.8015985137165035558487833363
0.016,0.11,0.199,0.012,True,3.8015985137165035558487833363
0.007,0.02,0.185,0.002,False,3.8003222681494932065331309639
0.007,0.04,0.185,0.002,False,3.7983174975107229543200221600
0.024,0.13,0.200,0.021,True,3.7940934833292947809632768826
0.004,0.24,0.200,0.004,False,3.7890057006825377257193971330
0.019,0.14,0.196,0.015,True,3.7843523977472178046096801126
0.001,0.04,0.198,0.009,False,3.7841821467235182774964689733
0.018,0.22,0.200,0.015,True,3.7823762188216466337493971981
0.018,0.22,0.199,0.015,True,3.7823762188216466337493971981
0.018,0.22,0.198,0.015,True,3.7823762188216466337493971981
0.018,0.22,0.197,0.015,True,3.7823762188216466337493971981
0.022,0.13,0.196,0.018,True,3.7821448484939119612282172460
0.022,0.13,0.197,0.018,True,3.7821448484939119612282172460
0.022,0.13,0.198,0.018,True,3.7821448484939119612282172460
0.022,0.13,0.199,0.018,True,3.7821448484939119612282172460
0.022,0.13,0.200,0.018,True,3.7821448484939119612282172460
0.007,0.03,0.185,0.002,False,3.7806748943629245861945058797
0.004,0.22,0.199,0.005,False,3.7788541151898074739275861983
0.004,0.22,0.200,0.005,False,3.7788541151898074739275861983
0.016,0.12,0.199,0.012,True,3.7775607778621072453844500030
0.016,0.12,0.198,0.012,True,3.7775607778621072453844500030
0.022,0.13,0.196,0.019,True,3.7760328426361757258390360469
0.022,0.13,0.198,0.019,True,3.7760328426361757258390360469
0.022,0.13,0.199,0.019,True,3.7760328426361757258390360469
0.022,0.13,0.200,0.019,True,3.7760328426361757258390360469
0.022,0.13,0.197,0.019,True,3.7760328426361757258390360469
0.018,0.23,0.197,0.015,True,3.7554267842449330241879305951
0.018,0.23,0.199,0.015,True,3.7554267842449330241879305951
0.018,0.23,0.200,0.015,True,3.7554267842449330241879305951
0.018,0.23,0.198,0.015,True,3.7554267842449330241879305951
