StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0.08,0.164,0.015,False,4.0449531594099315379220181086
0.007,0.08,0.165,0.015,False,4.0449531594099315379220181086
0.007,0.08,0.166,0.015,False,4.0449531594099315379220181086
0.007,0.07,0.164,0.015,False,3.9846451517187851262386994601
0.007,0.07,0.165,0.015,False,3.9846451517187851262386994601
0.007,0.07,0.166,0.015,False,3.9846451517187851262386994601
0.018,0.03,0.164,0.011,False,3.9760310751947209217651726957
0.009,0.08,0.164,0.010,False,3.9661099627123617355262069396
0.007,0.08,0.165,0.016,False,3.9618001508884538920988393701
0.007,0.08,0.164,0.016,False,3.9618001508884538920988393701
0.007,0.08,0.166,0.016,False,3.9467414211468710462902572963
0.008,0.08,0.164,0.015,False,3.9342790918240510965042434365
0.008,0.08,0.165,0.015,False,3.9225490908569387638871978688
0.008,0.08,0.166,0.015,False,3.9225490908569387638871978688
0.008,0.08,0.166,0.011,False,3.9120443079324062147713716652
0.008,0.07,0.166,0.015,False,3.8964757573682616978364009694
0.008,0.07,0.165,0.015,False,3.8964757573682616978364009694
0.018,0.02,0.161,0.015,False,3.8962854748755577693188817739
0.018,0.03,0.161,0.015,False,3.8895025469396009713974096103
0.008,0.08,0.165,0.016,False,3.8811702343992394592453498527
0.008,0.08,0.164,0.016,False,3.8811702343992394592453498527
0.008,0.07,0.164,0.015,False,3.8760254312363246038065140805
0.008,0.08,0.166,0.016,False,3.8694587435779150915371812367
0.009,0.08,0.165,0.011,False,3.8657362617695635309805857680
0.009,0.08,0.166,0.010,False,3.8652597625135067894813615618
0.007,0.07,0.190,0.016,False,3.8501845029358955027830442511
0.007,0.07,0.191,0.016,False,3.8501845029358955027830442511
0.007,0.07,0.189,0.016,False,3.8290269543290797568042005020
0.007,0.07,0.188,0.016,False,3.8290269543290797568042005020
0.009,0.07,0.164,0.010,False,3.8286747589296974813734401391
0.008,0.08,0.165,0.011,False,3.8201593059372466812417756706
0.008,0.08,0.164,0.011,False,3.8201593059372466812417756706
0.012,0.11,0.164,0.013,False,3.8177767233036591688317612619
0.014,0.08,0.181,0.018,True,3.8095749542460624220168716648
0.007,0.07,0.167,0.015,False,3.8088185943698823698665376291
0.008,0.08,0.167,0.011,False,3.8062112673515511434269560124
0.014,0.08,0.180,0.018,True,3.7982520994103269470551689220
0.007,0.07,0.187,0.016,False,3.7880930337195273312814851085
0.018,0.02,0.164,0.011,False,3.7872744578498577705080172153
0.008,0.07,0.167,0.015,False,3.7866222312511681726298108049
0.009,0.08,0.165,0.010,False,3.7794719610383565111587711153
0.018,0.01,0.161,0.015,False,3.7776766517237032783969274263
0.008,0.07,0.166,0.011,False,3.7770992556277425761301979244
0.009,0.08,0.164,0.011,False,3.7762938313047137793540811847
0.010,0.08,0.165,0.009,False,3.7679945396505420340974247776
0.009,0.07,0.166,0.010,False,3.7634172177825776164967613376
0.012,0.12,0.164,0.013,False,3.7597777183204233079457788749
0.009,0.13,0.170,0.013,False,3.7535989589096434192887811884
0.009,0.13,0.171,0.013,False,3.7535989589096434192887811884
0.010,0.09,0.167,0.013,False,3.7523330324376650131113899545
0.010,0.09,0.168,0.013,False,3.7523330324376650131113899545
0.010,0.09,0.169,0.013,False,3.7523330324376650131113899545
0.010,0.09,0.170,0.013,False,3.7523330324376650131113899545
0.007,0.08,0.167,0.015,False,3.7515261177105832825033249682
0.009,0.08,0.167,0.010,False,3.7463444861673868068903874908
0.009,0.07,0.165,0.011,False,3.7455968360526814032079103792
0.006,0.12,0.189,0.016,False,3.7447525838807366338484156041
0.019,0.02,0.161,0.015,False,3.7392486846673162798199275091
0.007,0.12,0.191,0.016,False,3.7185149525072375583106084354
0.007,0.12,0.190,0.016,False,3.7185149525072375583106084354
0.007,0.08,0.188,0.016,False,3.7179562154794686502934625270
0.007,0.08,0.167,0.016,False,3.7159757557146748098978882575
0.007,0.13,0.172,0.013,False,3.6839826965611769571541349340
0.007,0.13,0.171,0.013,False,3.6839826965611769571541349340
0.019,0.03,0.163,0.018,True,3.6838636064057904388218986645
0.002,0.10,0.176,0.005,False,3.6787029760331757676156649717
0.019,0.03,0.164,0.018,True,3.6712103621183213243620091940
0.007,0.14,0.172,0.013,False,3.6629317555775842279485940392
0.010,0.08,0.164,0.009,False,3.6556477374270466516754083309
0.007,0,0.190,0.017,False,3.6526190328909886266316756228
0.007,0,0.191,0.017,False,3.6525118409768709384934886913
0.007,0.13,0.166,0.013,False,3.6509824614195128580767668421
0.007,0.13,0.167,0.013,False,3.6509824614195128580767668421
0.007,0.13,0.168,0.013,False,3.6509824614195128580767668421
0.007,0.13,0.169,0.013,False,3.6509824614195128580767668421
0.007,0.13,0.170,0.013,False,3.6509824614195128580767668421
0.008,0.07,0.165,0.011,False,3.6460076408034221250376661039
0.008,0.07,0.164,0.011,False,3.6460076408034221250376661039
0.007,0.08,0.167,0.012,False,3.6459853816642216991629040293
0.009,0.07,0.165,0.010,False,3.6433167086247124263010707542
0.010,0.08,0.167,0.009,False,3.6423104125120778804483543770
0.010,0.08,0.166,0.009,False,3.6423104125120778804483543770
0.010,0.07,0.165,0.009,False,3.6396403284295754161288709980
0.007,0.13,0.171,0.012,False,3.6379202877012286033860163111
0.007,0.13,0.173,0.012,False,3.6379202877012286033860163111
0.007,0.13,0.172,0.012,False,3.6379202877012286033860163111
0.008,0.08,0.167,0.016,False,3.6358052691491265249874827715
0.018,0.03,0.165,0.015,True,3.6331186610297119239235467114
0.002,0.10,0.177,0.005,False,3.6328139043993152425430146641
0.002,0.10,0.178,0.005,False,3.6328139043993152425430146641
0.002,0.10,0.180,0.005,False,3.6328139043993152425430146641
0.002,0.10,0.179,0.005,False,3.6328139043993152425430146641
0.007,0.14,0.166,0.013,False,3.6313416591190162480742149549
0.007,0.14,0.167,0.013,False,3.6313416591190162480742149549
0.007,0.14,0.168,0.013,False,3.6313416591190162480742149549
0.007,0.14,0.169,0.013,False,3.6313416591190162480742149549
0.007,0.14,0.170,0.013,False,3.6313416591190162480742149549
0.007,0.14,0.171,0.013,False,3.6313416591190162480742149549
0.018,0.02,0.166,0.015,True,3.6285264177131652186323236221
0.018,0.02,0.165,0.015,True,3.6285264177131652186323236221
0.007,0.07,0.167,0.016,False,3.6245662439667883109658483046
0.007,0.07,0.166,0.016,False,3.6245662439667883109658483046
0.009,0.08,0.164,0.015,False,3.6228650677425309438765353110
0.009,0.07,0.164,0.011,False,3.6193254795434430312383870577
0.010,0.08,0.166,0.010,False,3.6149818209933785699324779831
0.010,0.08,0.165,0.010,False,3.6149818209933785699324779831
0.010,0.08,0.167,0.010,False,3.6149818209933785699324779831
