StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0.07,0.189,0.003,False,4.0996875367369290828426228426
0.007,0.07,0.190,0.003,False,4.0996875367369290828426228426
0.007,0.07,0.188,0.003,False,4.0471189401660362468624691283
0.009,0.04,0.191,0.004,False,4.0424325413886857569300486432
0.009,0.04,0.192,0.004,False,4.0424325413886857569300486432
0.009,0.04,0.193,0.004,False,4.0399304282369926653842156324
0.010,0.07,0.189,0.004,False,4.0162699390369838661990603152
0.008,0.06,0.188,0.002,False,3.9903694485946312725737473569
0.008,0.06,0.189,0.002,False,3.9903694485946312725737473569
0.009,0.07,0.186,0.003,False,3.9871281719799460266447981790
0.009,0.07,0.186,0.004,False,3.9786335765301229964266846307
0.008,0.08,0.192,0.004,False,3.9775617002886553138162179834
0.008,0.08,0.191,0.004,False,3.9775617002886553138162179834
0.009,0.04,0.189,0.004,False,3.9734624360095986917822617898
0.009,0.04,0.190,0.004,False,3.9734624360095986917822617898
0.009,0.03,0.191,0.004,False,3.9687667108714774096403963174
0.009,0.03,0.193,0.004,False,3.9687667108714774096403963174
0.009,0.03,0.192,0.004,False,3.9687667108714774096403963174
0.009,0.05,0.189,0.004,False,3.9638970436517045194867330516
0.009,0.05,0.190,0.004,False,3.9638970436517045194867330516
0.009,0.08,0.190,0.004,False,3.9423953477929646508011996028
0.009,0.04,0.187,0.004,False,3.9206854294122075780098533824
0.009,0.04,0.188,0.004,False,3.9206854294122075780098533824
0.008,0.06,0.189,0.003,False,3.9117010067819244647435804193
0.008,0.01,0.188,0.001,False,3.9027254508953377816872231689
0.008,0.01,0.187,0.001,False,3.9027254508953377816872231689
0.008,0.06,0.190,0.003,False,3.9022640621703789540422389618
0.009,0.03,0.189,0.004,False,3.8998738203507874271326004173
0.009,0.03,0.190,0.004,False,3.8998738203507874271326004173
0.012,0.01,0.189,0.004,False,3.8980035295446419762437036825
0.008,0.07,0.187,0.002,False,3.8969303291721126083752149784
0.008,0.07,0.188,0.002,False,3.8964847263313688477602143416
0.008,0.07,0.189,0.002,False,3.8964847263313688477602143416
0.009,0.08,0.191,0.004,False,3.8954505769127349219484949074
0.009,0.08,0.192,0.004,False,3.8954505769127349219484949074
0.006,0.04,0.189,0.002,False,3.8941949761647463465295560761
0.006,0.07,0.188,0.003,False,3.8901896837097765804917579637
0.007,0.06,0.184,0.002,False,3.8841083481645638215969603407
0.012,0.07,0.186,0.004,False,3.8802959181087114154169087574
0.009,0.05,0.191,0.004,False,3.8781846521028041565516019511
0.009,0.05,0.192,0.004,False,3.8781846521028041565516019511
0.009,0.07,0.184,0.003,False,3.8762110364484508514828547289
0.009,0.05,0.193,0.004,False,3.8757794325357134815111717273
