Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/04/13,0.018,0.04,0.118,0.024,False,False,False,False,0.7703762314265920544667563002,0.7703762314265920544667563002,0.0000000000000000000000000000,0.0000000000000000000000000000
01/07/13,0.014,0.15,0.102,0.024,False,True,True,False,0.7549772082645425118046020410,0.7511812530529672586161487875,-0.0037959552115752531884532535,-0.0191949783736247958506075127
01/11/13,0.024,0.06,0.123,0.029,False,False,False,False,0.7673953986708250001565670484,0.7248977530999568137342274667,-0.0424976455708681864223395817,-0.0492744335382104939209820870
01/14/13,0.018,0.04,0.118,0.025,False,False,False,False,0.7838332344819819116535761943,0.7327419333242903466912205137,-0.0510913011576915649623556806,-0.0839278988847451473863286217
03/21/13,0.014,0.15,0.102,0.024,False,True,True,False,1.0552440862622231825789614044,1.0377254513463242876607425086,-0.0175186349158988949182188958,0.1699643179795972286208376926
03/22/13,0.018,0.04,0.118,0.025,False,False,False,False,1.0594087609040988953640235357,1.0324006837975402850737014104,-0.0270080771065586102903221253,0.1471209155149143311155776986
05/06/13,0.019,0.04,0.117,0.025,False,False,False,False,1.1250886183052823424845898716,1.1172530962798604770397232305,-0.0078355220254218654448666411,0.2049652508906759127912773934
05/07/13,0.018,0.04,0.118,0.025,False,False,False,False,1.1258339543656690578978090391,1.1161936473849949665010113564,-0.0096403069806740913967976827,0.1960702799703885368076988782
05/08/13,0.019,0.04,0.117,0.025,False,False,False,False,1.1360362748225591129259172749,1.1066920401742499159836176199,-0.0293442346483091969422996550,0.1769283657789693948935074590
05/15/13,0.018,0.04,0.118,0.024,False,False,False,False,1.1419292069220168264217188973,1.1244043897729525443320069089,-0.0175248171490642820897119884,0.1652964807293628262995970930
05/17/13,0.019,0.04,0.117,0.025,False,False,False,False,1.1483523884044954796724106037,1.1198262703890202997403169396,-0.0285261180154751799320936641,0.1431935441963662996181951353
05/27/13,0.018,0.04,0.118,0.024,False,False,False,False,1.1431922318667594850892275806,1.1230359327082929480268409835,-0.0201562991584665370623865971,0.1178770885001637679726255151
