Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Gain,TotalDelta,Profit
01/02/14,0.011,0,0.157,0.008,False,True,True,True,1.3745064868750139988015637221,1.3745064868750139988015637221,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000
01/27/14,0.011,0.02,0.157,0.008,False,True,False,True,1.4091435026179677957212117948,1.4019781698885309605411732430,-0.0279249287913790557460227239,0.0346370157429537969196480727,-0.0279249287913790557460227239,0.0067120869515747411736253488
05/01/14,0.018,0.15,0.099,0.025,False,True,True,False,1.5401190498170583734720676191,1.5900923808820354676594243729,0.0520811304933940984659096539,0.1656125629420443746705038970,0.0241562017020150427198869300,0.1897687646440594173903908270
05/05/14,0.011,0.02,0.157,0.008,False,True,False,True,1.5679234015300216620679321288,1.5533795802382752221460145770,-0.0179835741499605105311735644,0.1934169146550076632663684067,0.0061726275520545321887133656,0.1995895422070621954550817723
05/16/14,0.018,0.15,0.099,0.025,False,True,True,False,1.5449757245446114488581523222,1.5428525577601611065331457816,-0.0024123101335678627727034842,0.1704692376695974500565886001,0.0037603174184866694160098814,0.1742295550880841194725984815
06/11/14,0.011,0.02,0.157,0.008,False,True,False,True,1.5255402406516975919837967483,1.5082987165139733025847543677,-0.0396863925684428883441373662,0.1510337537766835931822330262,-0.0359260751499562189281274848,0.1151076786267273742541055414
01/05/15,0.011,0.02,0.157,0.008,False,True,False,True,1.6286505942946460368069752741,1.6286505942946460368069752741,0.0000000000000000000000000000,0.2541441074196320380054115520,-0.0359260751499562189281274848,0.2182180322696758190772840672
12/03/15,0.019,0.15,0.100,0.024,False,True,True,False,1.8353592257021690131624143309,1.8300954926351808807720055830,-0.0214156080239529468226885799,0.4608527388271550143608506088,-0.0573416831739091657508160647,0.4035110556532458486100345441
01/04/16,0.019,0.15,0.100,0.024,False,True,True,False,1.8328382816969211336184158267,1.8328382816969211336184158267,0.0000000000000000000000000000,0.4583317948219071348168521046,-0.0573416831739091657508160647,0.4009901116479979690660360399
02/18/16,0.009,0.01,0.169,0.021,False,False,False,True,1.8094841799444174514413526586,1.7778424393337287885551898190,-0.0540428678540845088228436220,0.4349776930694034526397889365,-0.1113845510279936745736596867,0.3235931420414097780661292498
03/07/16,0.009,0.02,0.169,0.021,False,False,False,True,1.9395035569119904876836146856,1.9067204772315935200277684964,-0.1419731887731277813567955914,0.5649970700369764888820509635,-0.2533577398011214559304552781,0.3116393302358550329515956854
03/08/16,0.004,0.10,0.137,0.005,False,True,True,True,1.9373381914492010839440138343,1.9001051579670902021720962690,0.0114475353648632857067711157,0.5628317045741870851424501122,-0.2419102044362581702236841624,0.3209215001379289149187659498
04/07/16,0.012,0.02,0.167,0.021,False,False,False,True,2.0390834800906732995028382075,2.0173480655885702303766345262,-0.0179706222156622676503795069,0.6645769932156593007012744854,-0.2598808266519204378740636693,0.4046961665637388628272108161
