Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/02/14,0.020,0.14,0.077,0.024,False,False,False,False,1.2078515745520699931043486429,1.2078515745520699931043486429,0.0000000000000000000000000000,0.0000000000000000000000000000
02/19/14,0.021,0.15,0.078,0.023,False,False,False,False,1.2350443695834735979390394280,1.2348286513638987674551757782,-0.0002157182195748304838636498,0.0269770768118287743508271353
02/20/14,0.020,0.14,0.077,0.024,False,False,False,False,1.2438309019265394276202170385,1.2423973107599441861743335457,-0.0014335911665952414458834928,0.0343300179882993625861212530
03/11/14,0.019,0.14,0.078,0.024,False,False,False,False,1.3263108338149557347570009479,1.3064678801895100782583366911,-0.0198429536254456564986642568,0.0969669962512700132242409056
03/12/14,0.019,0.18,0.078,0.024,False,False,False,False,1.2754214944063322378889055433,1.2630511236062480250931581484,-0.0123703708000842127957473949,0.0337072860425623035603981061
03/25/14,0.019,0.14,0.078,0.024,False,False,False,False,1.3050346086141096891270530990,1.2778800070062093122589116896,-0.0271546016079003768681414094,0.0361657986424393779304042524
03/31/14,0.020,0.14,0.077,0.024,False,False,False,False,1.2886251313835138180361141641,1.3084680850089594745347784209,0.0198429536254456564986642568,0.0395992750372891633381295743
09/09/14,0.020,0.14,0.079,0.023,False,False,False,False,1.3406408283555729970456499053,1.3344574371880820894228851030,-0.0061833911674909076227648023,0.0854315808418574347249005132
09/10/14,0.015,0.04,0.061,0.018,False,True,True,False,1.3303941767262809986608384639,1.3212577838058802985725565257,-0.0091363929204007000882819382,0.0660485362921647362518071336
09/11/14,0.020,0.14,0.077,0.024,False,False,False,False,1.3316458158197596901726508012,1.3247497740922264361020426031,-0.0068960417275332540706081981,0.0604041336581101736930112728
09/12/14,0.015,0.04,0.061,0.018,False,True,True,False,1.3313349104986234257539711074,1.3250853659603407585887707637,-0.0062495445382826671652003437,0.0538436837986912421091312353
09/15/14,0.020,0.14,0.079,0.023,False,False,False,False,1.3379321700958293490588927924,1.3473273846284446863372260462,0.0093952145326153372783332538,0.0698361579285125026923861741
09/16/14,0.019,0.14,0.078,0.024,False,False,False,False,1.3366689761159861295897467901,1.3295949769508548238157246591,-0.0070739991651313057740221310,0.0614989647835379774492180408
09/17/14,0.020,0.14,0.079,0.023,False,False,False,False,1.3388585248897154074192448073,1.3366689761159861295897467901,-0.0021895487737292778294980172,0.0614989647835379774492180408
09/18/14,0.019,0.14,0.078,0.024,False,False,False,False,1.3366689761159861295897467901,1.3342267509202851156174847332,-0.0024422251957010139722620569,0.0568671908141076856474579667
09/22/14,0.019,0.07,0.078,0.019,False,True,False,True,1.3179657807296430667198687599,1.3347660265441497832529247159,0.0168002458145067165330559560,0.0549642412422713393106358925
09/23/14,0.020,0.14,0.077,0.024,False,False,False,False,1.3256836358278387544279634993,1.3027054575698585065762421890,-0.0229781782579802478517213103,0.0397039180824867791670093216
09/25/14,0.019,0.07,0.078,0.019,False,True,False,True,1.3152727825249752031651111297,1.3123629888249843300702089798,-0.0029097936999908730949021499,0.0263832710796323548092548021
09/26/14,0.020,0.14,0.077,0.024,False,False,False,False,1.3209262618982478885859083138,1.3071937879109716125008382393,-0.0137324739872762760850700745,0.0183042764656287641449819117
09/29/14,0.019,0.07,0.078,0.019,False,True,False,True,1.3179657807296430667198687599,1.3095085644672298105649758685,-0.0084572162624132561548928914,0.0068865790346106861240494664
10/08/14,0.020,0.14,0.077,0.024,False,False,False,False,1.3152174131827388495754420911,1.3125797843203073396103534996,-0.0026376288624315099650885915,0.0015005826252749590145342061
10/16/14,0.023,0.02,0.039,0.024,False,True,True,True,1.3386758502051751380931294321,1.3332954341151841397752517962,-0.0053804160899909983178776359,0.0195786035577202492143439112
10/20/14,0.020,0.14,0.077,0.024,False,False,False,False,1.3447131315462022177961842415,1.3277369258660684835808231422,-0.0169762056801337342153610993,0.0086396792186135947020376213
11/04/14,0.023,0.02,0.039,0.024,False,True,True,True,1.3432337353464695774732570529,1.3285380601855932739331966106,-0.0146956751608763035400604423,-0.0075353921419953491609500096
11/18/14,0.023,0,0.039,0.017,True,True,False,False,1.3488028695432788814289495212,1.3578189677986117834896654394,0.0090160982553329020607159182,0.0070498403101468568554583769
11/25/14,0.019,0.07,0.078,0.019,False,True,False,True,1.3305331056847597633087377007,1.3188282595352403765529067679,-0.0117048461495193867558309328,-0.0229247696978916480205843764
11/26/14,0.023,0.02,0.039,0.024,False,True,True,True,1.3318235876994288969284646620,1.3283857912168830126862748661,-0.0034377964825458842421897959,-0.0250720841657683986430472110
