StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0.04,0.099,0.030,False,0.8535254642488761191846038276
0.007,0.01,0.098,0.030,False,0.8352773959669648239900519099
0.007,0.01,0.099,0.030,False,0.8352773959669648239900519099
0.008,0.05,0.098,0.030,False,0.8352413488494780932358350815
0.007,0,0.098,0.030,False,0.8351019241615594710676196948
0.007,0,0.099,0.030,False,0.8351019241615594710676196948
0.007,0.02,0.098,0.030,False,0.8342588926044406000181456000
0.007,0.02,0.099,0.030,False,0.8342588926044406000181456000
0.007,0.03,0.098,0.030,False,0.8332403501437059511202223663
0.007,0.03,0.099,0.030,False,0.8332403501437059511202223663
0.007,0.04,0.098,0.030,False,0.8283906962444224649282391919
0.008,0.01,0.098,0.030,False,0.8199446508712780553849265543
0.008,0,0.098,0.030,False,0.8197652719218666375087118569
0.008,0.02,0.098,0.030,False,0.8189283117052981975781382380
0.008,0.03,0.098,0.030,False,0.8179119284156364982974992784
0.009,0.05,0.098,0.029,False,0.8160674204926892581567875640
0.008,0.04,0.098,0.030,False,0.8138245495054941208208388642
0.009,0.01,0.097,0.029,False,0.8016357520858475974589463693
0.009,0,0.097,0.029,False,0.8014838037995458522308116695
0.010,0,0.097,0.028,False,0.8012547449357355595614110850
0.009,0.01,0.098,0.029,False,0.8009035010279016219205992974
0.009,0,0.098,0.029,False,0.8007515527415998766924645976
0.009,0.02,0.097,0.029,False,0.8006207512739385922325902110
0.009,0.02,0.098,0.029,False,0.7998885002159926166942431391
0.009,0.03,0.097,0.029,False,0.7996057386963260502514360783
0.010,0,0.098,0.028,False,0.7990601582495614556843079394
0.009,0.03,0.098,0.029,False,0.7988734876383800747130890064
0.010,0.05,0.098,0.028,False,0.7979040677207099608904719160
0.009,0.04,0.097,0.029,False,0.7955082098096515081191679590
0.009,0.04,0.098,0.029,False,0.7947759587517055325808208871
0.019,0.11,0.095,0.030,True,0.7935295903608860433122819231
0.009,0.05,0.097,0.029,False,0.7928389302897329696832598881
0.011,0.01,0.097,0.027,False,0.7840057240967913992819417510
0.011,0,0.097,0.027,False,0.7839941350218994374023825871
0.020,0.11,0.095,0.031,True,0.7829158679105211930910991549
0.010,0.01,0.097,0.028,False,0.7826570544877412912761051040
0.010,0.02,0.097,0.028,False,0.7821101499548179555124380556
0.011,0.01,0.098,0.027,False,0.7818132758629302543367529568
0.011,0,0.098,0.027,False,0.7818016867880382924571937929
0.010,0.03,0.097,0.028,False,0.7810964460758637350619370031
0.011,0.04,0.099,0.027,False,0.7810336854265170569233802178
0.010,0.01,0.098,0.028,False,0.7804624678015671873990019584
0.010,0.02,0.098,0.028,False,0.7799155632686438516353349100
0.021,0.10,0.096,0.033,True,0.7795533906195225258959519209
0.011,0.05,0.098,0.027,False,0.7791056071747530166358024102
0.010,0.03,0.098,0.028,False,0.7789018593896896311848338575
0.016,0.07,0.100,0.002,False,0.7788619015372861479513147352
0.017,0.09,0.099,0.002,False,0.7783941873547154811699997797
0.017,0.09,0.100,0.002,False,0.7783941873547154811699997797
0.011,0.05,0.099,0.027,False,0.7775278059935867083905670710
0.010,0.04,0.097,0.028,False,0.7770125999440896308883001564
0.015,0.05,0.098,0.039,True,0.7753156279536709153053171004
0.010,0.04,0.098,0.028,False,0.7748180132579155270111970108
0.020,0.09,0.100,0.039,True,0.7746247855890192813221761267
0.010,0.05,0.097,0.028,False,0.7729288331960020455197285642
0.021,0.11,0.096,0.033,True,0.7720466344352748373059848134
0.022,0.09,0.097,0.035,True,0.7715448729299413865331296619
0.021,0.11,0.095,0.033,True,0.7713015375618745888077262265
0.021,0.11,0.095,0.032,True,0.7712295205501652125016533278
0.016,0.08,0.099,0.002,False,0.7700259528518124770705359394
0.016,0.08,0.100,0.002,False,0.7700259528518124770705359394
0.006,0.01,0.100,0.030,False,0.7679214866256816881352973139
0.006,0,0.100,0.030,False,0.7677508884555140472686718937
0.022,0.10,0.096,0.034,True,0.7673646584022093411674796461
0.022,0.10,0.096,0.035,True,0.7673270886923126530320012259
0.022,0.10,0.097,0.035,True,0.7673270886923126530320012259
0.020,0.10,0.100,0.039,True,0.7672622626982136627270350006
0.006,0.02,0.100,0.030,False,0.7666681842852260916604962136
0.012,0.04,0.099,0.026,False,0.7666041586421638588390581488
0.012,0.01,0.094,0.026,False,0.7665247970706388223795194887
0.012,0.01,0.095,0.026,False,0.7665247970706388223795194887
