StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.07,0.102,0.024,False,1.2181346328369683235381985026
0.005,0.10,0.102,0.002,True,1.2137217638517520576984068394
0.004,0.11,0.101,0.009,True,1.2103075897942812946545916336
0.004,0.11,0.102,0.009,True,1.2103075897942812946545916336
0.004,0.11,0.103,0.009,True,1.2103075897942812946545916336
0.004,0.11,0.104,0.009,True,1.2103075897942812946545916336
0.004,0.11,0.105,0.009,True,1.2103075897942812946545916336
0.005,0.10,0.102,0.004,True,1.1902983010606654990959535319
0.005,0.10,0.101,0.002,True,1.1879739244080802572104040095
0.005,0.11,0.101,0.008,True,1.1822703345075166753161698334
0.005,0.11,0.102,0.008,True,1.1822703345075166753161698334
0.005,0.11,0.103,0.008,True,1.1822703345075166753161698334
0.005,0.11,0.104,0.008,True,1.1822703345075166753161698334
0.020,0.08,0.102,0.024,False,1.1724250157762072697888418073
0.005,0.10,0.101,0.004,True,1.1691866052266507388409547981
0.005,0.10,0.102,0.003,True,1.1685985372069183068862538706
0.005,0.11,0.101,0.009,True,1.1684296287351294551802394587
0.005,0.11,0.102,0.009,True,1.1684296287351294551802394587
0.005,0.11,0.103,0.009,True,1.1684296287351294551802394587
0.005,0.11,0.104,0.009,True,1.1684296287351294551802394587
0.021,0.08,0.102,0.024,False,1.1567839810496202644980469179
0.003,0.10,0.102,0.010,True,1.1535339728482995933492989875
0.003,0.10,0.103,0.010,True,1.1535339728482995933492989875
0.003,0.10,0.104,0.010,True,1.1535339728482995933492989875
0.005,0.11,0.101,0.010,True,1.1527155046632283174147971048
0.005,0.11,0.102,0.010,True,1.1527155046632283174147971048
0.005,0.11,0.103,0.010,True,1.1527155046632283174147971048
0.005,0.11,0.104,0.010,True,1.1527155046632283174147971048
0.005,0.10,0.101,0.003,True,1.1474868413729035466312551368
0.020,0.07,0.101,0.023,False,1.1457599549273959122356554929
0.022,0.08,0.102,0.024,False,1.1402366833695822922831125705
0.021,0.09,0.102,0.024,False,1.1399695757374277918435723261
0.020,0.08,0.101,0.023,False,1.1393524705623407439932141371
0.022,0.08,0.101,0.023,False,1.1376515071339188568810003966
0.014,0.09,0.110,0.026,False,1.1281726371106030393366997474
0.003,0.10,0.102,0.002,True,1.1276104568335000845411165995
0.003,0.10,0.103,0.002,True,1.1276104568335000845411165995
0.003,0.10,0.104,0.002,True,1.1276104568335000845411165995
0.007,0.13,0.101,0.035,False,1.1262054105599175340938903625
0.007,0.13,0.102,0.035,False,1.1262054105599175340938903625
0.007,0.13,0.103,0.035,False,1.1262054105599175340938903625
0.007,0.13,0.104,0.035,False,1.1262054105599175340938903625
0.007,0.13,0.105,0.035,False,1.1262054105599175340938903625
0.021,0.08,0.101,0.023,False,1.1246464894456619696549263540
0.022,0.09,0.102,0.024,False,1.1242133224463372140673559665
0.015,0.09,0.110,0.027,False,1.1188177473721816725402114096
0.004,0.11,0.102,0.013,True,1.1186113067226560978093484210
0.004,0.11,0.103,0.013,True,1.1186113067226560978093484210
0.004,0.11,0.104,0.013,True,1.1186113067226560978093484210
0.004,0.11,0.105,0.013,True,1.1186113067226560978093484210
0.004,0.11,0.101,0.010,True,1.1164654412254547803823642915
0.004,0.11,0.102,0.010,True,1.1164654412254547803823642915
0.004,0.11,0.103,0.010,True,1.1164654412254547803823642915
0.004,0.11,0.104,0.010,True,1.1164654412254547803823642915
0.004,0.11,0.105,0.010,True,1.1164654412254547803823642915
0.017,0,0.101,0.009,False,1.1164145365788235490729737305
0.015,0.09,0.110,0.026,False,1.1157176969113267792180794798
0.004,0.11,0.102,0.002,True,1.1146610051263995120456387838
0.004,0.11,0.103,0.002,True,1.1146610051263995120456387838
0.004,0.11,0.104,0.002,True,1.1146610051263995120456387838
0.004,0.11,0.105,0.002,True,1.1146526861792129469042794018
0.015,0.09,0.110,0.025,False,1.1120347379567421483017820276
0.006,0.13,0.102,0.014,True,1.1120208153433131439768560096
0.006,0.13,0.103,0.014,True,1.1120208153433131439768560096
0.006,0.13,0.104,0.014,True,1.1120208153433131439768560096
0.006,0.13,0.105,0.014,True,1.1120208153433131439768560096
0.006,0.13,0.106,0.014,True,1.1120208153433131439768560096
0,0.01,0.106,0.008,True,1.1119534174949423779384417953
0.003,0.11,0.102,0.008,True,1.1111318417708043902267972723
0.003,0.11,0.103,0.008,True,1.1111318417708043902267972723
0.003,0.11,0.104,0.008,True,1.1111318417708043902267972723
0.003,0.11,0.105,0.008,True,1.1111318417708043902267972723
0.026,0.09,0.103,0.025,False,1.1101735386382882792780905318
0.008,0.12,0.101,0.013,True,1.1097634027801403545462001641
0.008,0.12,0.102,0.013,True,1.1097634027801403545462001641
0.006,0.11,0.101,0.013,True,1.1095493354838231646207752096
0.006,0.11,0.102,0.013,True,1.1095493354838231646207752096
0.006,0.11,0.103,0.013,True,1.1095493354838231646207752096
0.021,0.09,0.101,0.023,False,1.1085395334931231119225895401
0.023,0.09,0.102,0.024,False,1.1080856248239149370140246596
0.023,0.09,0.101,0.023,False,1.1051576506170203723722842732
0,0.02,0.105,0.008,True,1.1048064729454271017889568383
0,0.02,0.106,0.008,True,1.1048064729454271017889568383
0.016,0.09,0.110,0.027,False,1.1028562464946919049571070230
0.016,0.09,0.110,0.026,False,1.1004755772899704270778547997
0.023,0.08,0.103,0.025,False,1.0981435574284394264328219854
0.002,0.09,0.103,0.009,True,1.0981051636022847904484549506
0.002,0.09,0.104,0.009,True,1.0981051636022847904484549506
0.003,0.10,0.102,0.004,True,1.0979295721131598265844484973
0.003,0.10,0.103,0.004,True,1.0979295721131598265844484973
0.003,0.10,0.104,0.004,True,1.0979295721131598265844484973
0.001,0.08,0.101,0.007,True,1.0974960134026367237568611675
0.003,0.11,0.102,0.004,True,1.0968522837302142021262466895
0.003,0.11,0.103,0.004,True,1.0968522837302142021262466895
0.003,0.11,0.104,0.004,True,1.0968522837302142021262466895
0.003,0.11,0.105,0.004,True,1.0968522837302142021262466895
0.003,0.11,0.106,0.004,True,1.0968522837302142021262466895
0.016,0.09,0.110,0.025,False,1.0967893544590162729842473910
0.023,0.08,0.102,0.024,False,1.0962540337598174626492969505
0.027,0.09,0.103,0.025,False,1.0957253062949177080858702163
