StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.011,0.04,0.177,0.023,False,1.3794426189003948573093118086
0.011,0.04,0.178,0.023,False,1.3794426189003948573093118086
0.011,0.04,0.179,0.023,False,1.3794426189003948573093118086
0.011,0.04,0.180,0.023,False,1.3794426189003948573093118086
0.023,0.07,0.179,0.024,False,1.3731467141534597040669350199
0.023,0.07,0.180,0.024,False,1.3731467141534597040669350199
0.024,0.07,0.179,0.024,False,1.3628140590243807754618493832
0.024,0.07,0.180,0.024,False,1.3628140590243807754618493832
0.024,0.07,0.179,0.023,False,1.3605211779298537324609657700
0.024,0.07,0.180,0.023,False,1.3605211779298537324609657700
0.025,0.07,0.179,0.024,False,1.3531132445628930116942054644
0.025,0.07,0.180,0.024,False,1.3531132445628930116942054644
0.009,0.03,0.171,0.022,False,1.3529587188948805208975536421
0.025,0.07,0.179,0.023,False,1.3508172309201414588514476946
0.025,0.07,0.180,0.023,False,1.3508172309201414588514476946
0.026,0.07,0.179,0.024,False,1.3428813579568075075044550063
0.026,0.07,0.180,0.024,False,1.3428813579568075075044550063
0.022,0.07,0.179,0.024,False,1.3427118796165108780618175898
0.022,0.07,0.180,0.024,False,1.3427118796165108780618175898
0.022,0.07,0.179,0.023,False,1.3411670301066005284737915769
0.022,0.07,0.180,0.023,False,1.3411670301066005284737915769
0.026,0.07,0.179,0.023,False,1.3405822179666659426893013744
0.026,0.07,0.180,0.023,False,1.3405822179666659426893013744
0.023,0.07,0.179,0.023,False,1.3316356854829821366093600106
0.023,0.07,0.180,0.023,False,1.3316356854829821366093600106
0.010,0.03,0.171,0.022,False,1.3284089573107644367066242485
0.023,0.07,0.175,0.024,False,1.3275080975760236742565020332
0.023,0.07,0.176,0.024,False,1.3275080975760236742565020332
0.023,0.07,0.177,0.024,False,1.3275080975760236742565020332
0.023,0.07,0.178,0.024,False,1.3275080975760236742565020332
0.027,0.09,0.179,0.024,False,1.3202115878614016276408940577
0.027,0.09,0.180,0.024,False,1.3202115878614016276408940577
0.024,0.07,0.175,0.024,False,1.3179304455130808435634934087
0.024,0.07,0.176,0.024,False,1.3179304455130808435634934087
0.024,0.07,0.177,0.024,False,1.3179304455130808435634934087
0.024,0.07,0.178,0.024,False,1.3179304455130808435634934087
0.027,0.09,0.179,0.023,False,1.3178390961217265184171806118
0.027,0.09,0.180,0.023,False,1.3178390961217265184171806118
0.024,0.07,0.174,0.023,False,1.3144774278557840514518298573
0.024,0.07,0.175,0.023,False,1.3144774278557840514518298573
0.024,0.07,0.176,0.023,False,1.3144774278557840514518298573
0.024,0.07,0.177,0.023,False,1.3144774278557840514518298573
0.024,0.07,0.178,0.023,False,1.3144774278557840514518298573
0.028,0.09,0.178,0.024,False,1.3112744486800752999400057449
0.028,0.09,0.179,0.024,False,1.3112744486800752999400057449
0.028,0.09,0.180,0.024,False,1.3112744486800752999400057449
0.028,0.09,0.178,0.023,False,1.3089019569404001907162922990
0.028,0.09,0.179,0.023,False,1.3089019569404001907162922990
0.028,0.09,0.180,0.023,False,1.3089019569404001907162922990
0.025,0.07,0.175,0.024,False,1.3078929878840551584040935604
0.025,0.07,0.176,0.024,False,1.3078929878840551584040935604
0.025,0.07,0.177,0.024,False,1.3078929878840551584040935604
0.025,0.07,0.178,0.024,False,1.3078929878840551584040935604
0.010,0.04,0.171,0.022,False,1.3074230601838893487268926141
0.026,0.16,0.179,0.024,False,1.3068426249023479424315518654
0.026,0.16,0.180,0.024,False,1.3068426249023479424315518654
0.011,0.04,0.177,0.024,False,1.3062992905414167585714944568
0.011,0.04,0.178,0.024,False,1.3062992905414167585714944568
0.011,0.04,0.179,0.024,False,1.3062992905414167585714944568
0.011,0.04,0.180,0.024,False,1.3062992905414167585714944568
0.026,0.09,0.180,0.024,False,1.3052235374523042275551765096
0.026,0.16,0.179,0.023,False,1.3049716427290494275873756665
0.026,0.16,0.180,0.023,False,1.3049716427290494275873756665
0.025,0.07,0.174,0.023,False,1.3044399702267583662924300090
0.025,0.07,0.175,0.023,False,1.3044399702267583662924300090
