StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.011,0.08,0.176,0.016,True,1.6350836894768746658242512709
0.011,0.08,0.177,0.016,True,1.6350836894768746658242512709
0.011,0.08,0.178,0.016,True,1.6350836894768746658242512709
0.011,0.08,0.179,0.016,True,1.6350836894768746658242512709
0.011,0.08,0.180,0.016,True,1.6350836894768746658242512709
0.012,0.08,0.175,0.016,True,1.6176833674872879751439249530
0.012,0.08,0.176,0.016,True,1.6176833674872879751439249530
0.012,0.08,0.177,0.016,True,1.6176833674872879751439249530
0.012,0.08,0.178,0.016,True,1.6176833674872879751439249530
0.012,0.08,0.179,0.016,True,1.6176833674872879751439249530
0.012,0.08,0.180,0.016,True,1.6176833674872879751439249530
0.003,0.08,0.180,0.008,True,1.6163625917699466736548732094
0.012,0.08,0.175,0.017,True,1.6158465757325924951041221372
0.012,0.08,0.176,0.017,True,1.6158465757325924951041221372
0.012,0.08,0.177,0.017,True,1.6158465757325924951041221372
0.012,0.08,0.178,0.017,True,1.6158465757325924951041221372
0.012,0.08,0.179,0.017,True,1.6158465757325924951041221372
0.012,0.08,0.180,0.017,True,1.6158465757325924951041221372
0.003,0.09,0.180,0.008,True,1.6155976248973123536549025609
0.003,0.08,0.179,0.007,True,1.6149139238574115966904425495
0.003,0.08,0.180,0.007,True,1.6149139238574115966904425495
0.003,0.09,0.179,0.007,True,1.6141489569847772766904719010
0.003,0.09,0.180,0.007,True,1.6141489569847772766904719010
0.016,0.16,0.171,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.172,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.173,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.174,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.175,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.176,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.177,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.178,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.179,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.180,0.025,False,1.6112249711909049355520938459
0.016,0.16,0.171,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.172,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.173,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.174,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.175,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.176,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.177,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.178,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.179,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.180,0.024,False,1.6095961321395412087179399138
0.016,0.16,0.171,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.172,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.173,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.174,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.175,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.176,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.177,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.178,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.179,0.023,False,1.6083709184545520277866673131
0.016,0.16,0.180,0.023,False,1.6083709184545520277866673131
0.009,0.08,0.173,0.018,True,1.6061762018339182491820821744
0.009,0.08,0.174,0.018,True,1.6061762018339182491820821744
0.009,0.08,0.175,0.018,True,1.6061762018339182491820821744
0.009,0.08,0.173,0.019,True,1.6052727041868048430275605127
0.009,0.08,0.174,0.019,True,1.6052727041868048430275605127
0.013,0.08,0.174,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.175,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.176,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.177,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.178,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.179,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.180,0.016,True,1.5994389372919654424062645404
0.013,0.08,0.174,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.175,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.176,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.177,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.178,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.179,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.180,0.017,True,1.5976021317919871598454576182
0.013,0.08,0.174,0.018,True,1.5960185212234833487085058483
0.013,0.08,0.175,0.018,True,1.5960185212234833487085058483
0.013,0.08,0.176,0.018,True,1.5960185212234833487085058483
0.013,0.08,0.177,0.018,True,1.5960185212234833487085058483
0.013,0.08,0.178,0.018,True,1.5960185212234833487085058483
0.013,0.08,0.179,0.018,True,1.5960185212234833487085058483
0.013,0.08,0.180,0.018,True,1.5960185212234833487085058483
0.017,0.16,0.171,0.025,False,1.5942510653149867177030124813
0.017,0.16,0.172,0.025,False,1.5942510653149867177030124813
0.017,0.16,0.173,0.025,False,1.5942510653149867177030124813
0.017,0.16,0.174,0.025,False,1.5942510653149867177030124813
0.017,0.16,0.175,0.025,False,1.5942510653149867177030124813
