StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0,0.148,0.005,True,3.7696760122740186337748893765
0.025,0,0.148,0.005,True,3.7655298928415408422721230524
0.026,0.01,0.148,0.005,True,3.7606863256661827593748176575
0.025,0.01,0.148,0.005,True,3.7565352107188427151344620661
0.028,0.01,0.148,0.005,True,3.7142624262311493081799951637
0.027,0,0.148,0.005,True,3.7069877452514671569657014413
0.027,0.01,0.148,0.005,True,3.6972533628861125058627594493
0.024,0,0.150,0.013,True,3.6773918909215140952866471592
0.024,0,0.148,0.005,True,3.6688552719895879813981952987
0.024,0.01,0.149,0.013,True,3.6646534023919275243163486287
0.024,0.01,0.150,0.013,True,3.6646534023919275243163486287
0.024,0,0.150,0.014,True,3.6486388143693581937531211643
0.024,0.01,0.148,0.014,True,3.6358985593923799590013533735
0.024,0.01,0.149,0.014,True,3.6358985593923799590013533735
0.024,0.01,0.150,0.014,True,3.6358985593923799590013533735
0.029,0.03,0.146,0.005,True,3.6327897509895882821297764678
0.029,0.03,0.146,0.007,True,3.6110199221241756956010924927
0.029,0.04,0.146,0.005,True,3.6036913711568703178788986113
0.025,0,0.149,0.013,True,3.6035681147361952379557209653
0.024,0.01,0.148,0.005,True,3.6018871852687891852037905577
0.025,0.02,0.149,0.013,True,3.5918174731529820973547050687
0.025,0.01,0.149,0.013,True,3.5908427617305177730104168367
0.029,0.03,0.146,0.006,True,3.5846958816881033328741488987
0.029,0.04,0.146,0.007,True,3.5818946500325770252410527052
0.025,0,0.149,0.015,True,3.5739294930478425796560648645
0.025,0,0.150,0.015,True,3.5739294930478425796560648645
0.025,0,0.149,0.014,True,3.5734332794715869313367192386
0.025,0,0.150,0.014,True,3.5734332794715869313367192386
0.025,0.02,0.148,0.015,True,3.5714988310280923688969989494
0.025,0.02,0.149,0.015,True,3.5714988310280923688969989494
0.025,0.02,0.148,0.014,True,3.5703564252739537595413483944
0.025,0.02,0.149,0.014,True,3.5703564252739537595413483944
0.026,0,0.148,0.014,True,3.5622277339211524178918477946
0.026,0,0.149,0.014,True,3.5622277339211524178918477946
0.025,0.01,0.148,0.015,True,3.5612006033072787617917755431
0.025,0.01,0.149,0.015,True,3.5612006033072787617917755431
0.025,0.01,0.150,0.015,True,3.5612006033072787617917755431
0.025,0.01,0.148,0.014,True,3.5607061600185178026099458497
0.025,0.01,0.149,0.014,True,3.5607061600185178026099458497
0.025,0.01,0.150,0.014,True,3.5607061600185178026099458497
0.026,0.02,0.148,0.014,True,3.5598955103879755815718821312
0.026,0.02,0.149,0.014,True,3.5598955103879755815718821312
0.026,0,0.148,0.015,True,3.5569279118041488278977043170
0.026,0,0.149,0.015,True,3.5569279118041488278977043170
0.026,0,0.150,0.015,True,3.5569279118041488278977043170
0.026,0,0.150,0.014,True,3.5560456289680311974430461324
0.029,0.04,0.146,0.006,True,3.5555903565461415274440639036
0.026,0.02,0.148,0.015,True,3.5552418804488549526140435827
0.026,0.02,0.149,0.015,True,3.5552418804488549526140435827
0.024,0,0.150,0.012,True,3.5536615913391607999653352983
0.026,0.01,0.148,0.014,True,3.5500561011424904792462926503
0.026,0.01,0.149,0.014,True,3.5500561011424904792462926503
0.026,0.01,0.150,0.014,True,3.5471221849865069496335325066
0.026,0.01,0.148,0.015,True,3.5447545087379922001146332402
0.026,0.01,0.149,0.015,True,3.5447545087379922001146332402
0.026,0.01,0.150,0.015,True,3.5447545087379922001146332402
0.030,0.04,0.146,0.005,True,3.5402382142455074295715941457
0.024,0.01,0.150,0.012,True,3.5378179626544365168112588278
0.026,0,0.147,0.005,True,3.5363119417729654614029528376
0.026,0,0.149,0.013,True,3.5350908477137409286259596392
0.026,0.01,0.147,0.005,True,3.5301016550874832506982387476
0.024,0.01,0.148,0.013,True,3.5244703019793334587580091944
0.026,0.02,0.149,0.013,True,3.5240871572379460599293161990
0.026,0,0.150,0.013,True,3.5232922438719728559047209774
0.026,0.01,0.149,0.013,True,3.5229209813824706537618737552
0.026,0.24,0.148,0.008,False,3.5210055173276361259068973886
0.026,0.24,0.149,0.008,False,3.5210055173276361259068973886
0.026,0,0.149,0.016,True,3.5172997663123315930075387732
0.026,0,0.150,0.016,True,3.5172997663123315930075387732
0.026,0.02,0.149,0.016,True,3.5162596683223846503139712291
0.026,0.01,0.150,0.013,True,3.5143705663378402718766766119
0.030,0.04,0.145,0.005,True,3.5118317116205581912922253718
0.030,0.04,0.146,0.007,True,3.5116774062875623474697787354
0.024,0.03,0.148,0.009,True,3.5113837306972256780305068339
0.027,0.02,0.148,0.017,True,3.5101554049798221392682502685
0.027,0.02,0.149,0.017,True,3.5101554049798221392682502685
0.027,0,0.148,0.017,True,3.5090059366265584477302181621
0.027,0,0.149,0.017,True,3.5090059366265584477302181621
0.027,0,0.150,0.017,True,3.5089745160360898864073447187
0.024,0,0.149,0.013,True,3.5083282281768885978322703106
0.026,0.02,0.150,0.016,True,3.5062533248149621134767185252
0.029,0.01,0.148,0.005,True,3.5050910199330910318969838896
0.022,0,0.150,0.021,True,3.5048746376756829662255298644
0.026,0.01,0.149,0.016,True,3.5031360697109806134491822221
0.026,0.01,0.150,0.016,True,3.5031360697109806134491822221
0.027,0.02,0.150,0.017,True,3.4999444227360489615093194739
0.030,0.04,0.145,0.008,True,3.4985944261463978206787865276
0.027,0.01,0.148,0.017,True,3.4969231631057910625496288492
0.027,0.01,0.149,0.017,True,3.4969231631057910625496288492
0.027,0.01,0.150,0.017,True,3.4968115866781739238387111029
0.030,0,0.148,0.017,True,3.4960892247412648188559782658
0.030,0,0.149,0.017,True,3.4960892247412648188559782658
0.024,0,0.150,0.011,True,3.4955406101863765605331172064
0.026,0,0.147,0.006,True,3.4941775409481446264405625850
0.026,0.02,0.149,0.005,True,3.4918304483630816644286313352
0.030,0.04,0.146,0.006,True,3.4900523947497152543806085845
0.026,0.01,0.147,0.006,True,3.4879672542626624157358484951
0.028,0,0.146,0.005,True,3.4824980658751844005325292476
0.030,0.04,0.145,0.007,True,3.4816504704051080221515848084
0.027,0,0.150,0.014,True,3.4807563177364759508986876093
0.024,0.01,0.150,0.011,True,3.4796910509759907865418255890
0.024,0,0.148,0.014,True,3.4774675057903485428146915242
0.024,0,0.149,0.014,True,3.4774675057903485428146915242
0.028,0.01,0.146,0.005,True,3.4774495213212946574314840028
0.027,0,0.146,0.005,True,3.4742835294427129113555407493
0.025,0,0.150,0.012,True,3.4728736655576936931645106239
0.026,0.07,0.150,0.005,True,3.4717412325126937928503138985
0.027,0.01,0.150,0.014,True,3.4710925017212250254776151099
0.030,0,0.150,0.016,True,3.4705262808336916881226907755
0.027,0.01,0.146,0.005,True,3.4692305847389909338879067935
0.028,0.01,0.147,0.005,True,3.4675686207138279121495882317
0.028,0.02,0.146,0.005,True,3.4667746200198123187740994558
0.027,0,0.147,0.005,True,3.4664696085108660027432490131
0.026,0.24,0.148,0.009,False,3.4649390616965456539349231637
0.026,0.24,0.149,0.009,False,3.4649390616965456539349231637
0.026,0.05,0.149,0.016,True,3.4623347245482924400113964962
0.026,0.05,0.150,0.016,True,3.4623347245482924400113964962
0.030,0.04,0.145,0.006,True,3.4608351049209228017765318731
0.035,0.10,0.142,0.021,True,3.4598112261662099081704980083
0.027,0.02,0.146,0.005,True,3.4596621868500116792757609931
0.027,0.01,0.147,0.005,True,3.4595160125971266321761024294
0.030,0.01,0.148,0.020,True,3.4583116513122545159123645563
0.027,0,0.150,0.015,True,3.4575517806645926937019087328
0.025,0.01,0.150,0.012,True,3.4570412842506604729101689352
0.028,0.03,0.146,0.005,True,3.4564508671452145468482442375
0.028,0,0.150,0.017,True,3.4564300945218226963213152801
0.028,0,0.148,0.017,True,3.4564201776520252673619938648
0.028,0,0.149,0.017,True,3.4564201776520252673619938648
0.026,0.02,0.148,0.005,True,3.4551138464667374318414102888
0.031,0.04,0.145,0.005,True,3.4548705788656684088137167033
