StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.15,0.100,0.024,False,3.6169032022188005874565891701
0.018,0.18,0.091,0.025,False,3.5488500037706335758775781847
0.018,0.18,0.092,0.025,False,3.5488500037706335758775781847
0.019,0.15,0.091,0.024,False,3.5369382175069481583834042740
0.019,0.15,0.098,0.024,False,3.5344275974262824756224487456
0.019,0.15,0.099,0.024,False,3.5344275974262824756224487456
0.013,0.15,0.095,0.023,False,3.5301535439772010318264198860
0.021,0.15,0.100,0.024,False,3.5223765060424162884751086960
0.018,0.17,0.091,0.025,False,3.5203268603354684237069573558
0.018,0.17,0.092,0.025,False,3.5203268603354684237069573558
0.019,0.15,0.092,0.024,False,3.5103439205568902453054082131
0.019,0.15,0.094,0.024,False,3.5038302187077961500739978393
0.013,0.15,0.095,0.024,False,3.5015024313712688146031469636
0.019,0.15,0.098,0.025,False,3.4993187591429072977509220266
0.019,0.15,0.099,0.025,False,3.4993187591429072977509220266
0.019,0.15,0.100,0.025,False,3.4993187591429072977509220266
0.018,0.15,0.092,0.022,False,3.4934144685187712604872375968
0.014,0.15,0.095,0.023,False,3.4878089394471088873806222733
0.019,0.18,0.091,0.024,False,3.4846235494106968547383416799
0.020,0.15,0.092,0.024,False,3.4839820219717119461606195988
0.020,0.16,0.091,0.023,False,3.4812679965690003664402941408
0.020,0.16,0.092,0.023,False,3.4812679965690003664402941408
0.019,0.15,0.093,0.024,False,3.4747754600542537951213839226
0.021,0.15,0.099,0.024,False,3.4624074327356321518721166179
0.019,0.18,0.092,0.024,False,3.4567327716487863295138745185
0.019,0.18,0.091,0.025,False,3.4564396508349013202515691757
0.019,0.17,0.091,0.024,False,3.4558092200179188870792441917
0.019,0.15,0.097,0.024,False,3.4408448162973375625979127408
0.018,0.18,0.095,0.025,False,3.4356241210153371140975832369
0.019,0.17,0.091,0.025,False,3.4293040959792673249013416151
0.019,0.17,0.092,0.024,False,3.4279184422560083618547770303
0.016,0.17,0.091,0.026,False,3.4238263331468675177111839994
0.016,0.17,0.092,0.026,False,3.4238263331468675177111839994
0.016,0.17,0.093,0.026,False,3.4238263331468675177111839994
0.019,0.15,0.095,0.024,False,3.4217284972056935669651788232
0.018,0.19,0.091,0.025,False,3.4191649234790793718296038633
0.018,0.19,0.092,0.025,False,3.4191649234790793718296038633
0.019,0.16,0.095,0.022,False,3.4191016734605620358347396039
0.014,0.15,0.095,0.022,False,3.4173624781182812201114490179
0.020,0.16,0.091,0.024,False,3.4082818858118691346937586519
0.021,0.16,0.091,0.023,False,3.4077353815886775100843154681
0.019,0.15,0.097,0.025,False,3.4046756946540909493597742215
0.018,0.18,0.093,0.025,False,3.4042254838047757461625595786
0.018,0.18,0.094,0.025,False,3.4042254838047757461625595786
0.016,0.16,0.091,0.026,False,3.4041844533923261923034995794
0.016,0.16,0.092,0.026,False,3.4041844533923261923034995794
0.016,0.16,0.093,0.026,False,3.4041844533923261923034995794
0.017,0.18,0.091,0.025,False,3.4038518698246243769266537233
0.017,0.18,0.092,0.025,False,3.4038518698246243769266537233
0.021,0.15,0.092,0.023,False,3.4005937734397794263544462133
0.020,0.15,0.093,0.024,False,3.3978776648427859245699655116
0.020,0.15,0.091,0.023,False,3.3932419863649807805898212083
0.020,0.15,0.092,0.023,False,3.3932419863649807805898212083
0.019,0.15,0.091,0.022,False,3.3914115326530112708563898477
