StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.028,0.08,0.157,0.020,False,3.6300071568059719169382926555
0.005,0.16,0.154,0.004,False,3.6273410976094226218127014370
0.005,0.16,0.155,0.004,False,3.6273410976094226218127014370
0.028,0.08,0.157,0.019,False,3.6249584342900683326963265104
0.014,0.03,0.151,0.027,False,3.5938552078312912173014644454
0.004,0.16,0.154,0.004,False,3.5896114645819459855492366720
0.004,0.16,0.155,0.004,False,3.5896114645819459855492366720
0.004,0.16,0.156,0.004,False,3.5896114645819459855492366720
0.014,0.02,0.151,0.027,False,3.5859622749851796858564355194
0.004,0.16,0.152,0.004,False,3.5647596635994497081787444719
0.004,0.16,0.153,0.004,False,3.5647596635994497081787444719
0.014,0.02,0.154,0.027,False,3.5591095934955886171554839675
0.004,0.16,0.155,0.005,False,3.5471621943850066715094215423
0.004,0.16,0.151,0.004,False,3.5419545542365455872218514605
0.012,0.02,0.151,0.004,False,3.5127074521681992279441483984
0.012,0.02,0.152,0.004,False,3.5127074521681992279441483984
0.009,0,0.160,0.025,False,3.5067090092871319783312442844
0.030,0.09,0.156,0.020,False,3.5047887273021176754109390489
0.030,0.09,0.157,0.020,False,3.5047887273021176754109390489
0.014,0.02,0.153,0.027,False,3.5026899893297965624705795449
0.004,0.18,0.151,0.004,False,3.4999840857445079311873063534
0.004,0.18,0.152,0.004,False,3.4999840857445079311873063534
0.004,0.18,0.153,0.004,False,3.4999840857445079311873063534
0.004,0.17,0.151,0.004,False,3.4998369696322874784895290537
0.004,0.17,0.152,0.004,False,3.4998369696322874784895290537
0.004,0.17,0.153,0.004,False,3.4998369696322874784895290537
0.030,0.09,0.156,0.019,False,3.4997547745664374500642701791
0.030,0.09,0.157,0.019,False,3.4997547745664374500642701791
0.006,0.18,0.154,0.004,False,3.4965197484596811673468449159
0.005,0.16,0.151,0.004,False,3.4922813052447027349719071346
0.005,0.16,0.152,0.004,False,3.4922813052447027349719071346
0.005,0.16,0.153,0.004,False,3.4922813052447027349719071346
0.005,0.16,0.157,0.004,False,3.4842004364366877000255924286
0.005,0.16,0.158,0.004,False,3.4842004364366877000255924286
0.005,0.16,0.159,0.004,False,3.4842004364366877000255924286
0.005,0.16,0.160,0.004,False,3.4842004364366877000255924286
0.026,0.04,0.156,0.005,False,3.4813291577598458040411808252
0.027,0.03,0.159,0.015,True,3.4761122360693949076561416096
0.004,0.16,0.158,0.005,False,3.4735866934770114280983780478
0.004,0.16,0.159,0.005,False,3.4735866934770114280983780478
0.004,0.16,0.160,0.005,False,3.4735866934770114280983780478
0.012,0.02,0.153,0.004,False,3.4703944731408857930998496105
0.014,0.02,0.152,0.027,False,3.4673247358635485184621954775
0.012,0.02,0.154,0.004,False,3.4615381720959193983343116497
0.004,0.17,0.154,0.004,False,3.4521779199931810736520125078
0.004,0.17,0.155,0.004,False,3.4521779199931810736520125078
0.004,0.17,0.156,0.004,False,3.4521779199931810736520125078
0.005,0.16,0.156,0.004,False,3.4505363266261738200779243187
0.026,0.04,0.156,0.007,False,3.4453749749577226760606768109
0.024,0.05,0.160,0.005,False,3.4448928134480971062626350612
0.004,0.18,0.154,0.004,False,3.4419631649378177770055040150
0.004,0.18,0.155,0.004,False,3.4419631649378177770055040150
0.019,0.02,0.159,0.002,True,3.4406762054212597642912264331
0.012,0,0.154,0.004,False,3.4390342773303010308175715801
0.012,0,0.155,0.004,False,3.4390342773303010308175715801
0.012,0,0.156,0.004,False,3.4390342773303010308175715801
0.012,0,0.157,0.004,False,3.4390342773303010308175715801
0.004,0.16,0.156,0.005,False,3.4373864692653792274881523622
0.004,0.16,0.157,0.005,False,3.4373864692653792274881523622
0.004,0.19,0.155,0.005,False,3.4352308622593111684656607993
0.025,0.02,0.160,0.015,True,3.4335184006983010415978832369
0.007,0.17,0.154,0.004,False,3.4226740777130669871695526201
0.007,0.17,0.155,0.004,False,3.4226740777130669871695526201
0.007,0.17,0.156,0.004,False,3.4226740777130669871695526201
0.007,0.17,0.157,0.004,False,3.4226740777130669871695526201
0.007,0.17,0.158,0.004,False,3.4226740777130669871695526201
0.007,0.17,0.159,0.004,False,3.4226740777130669871695526201
0.007,0.17,0.160,0.004,False,3.4226740777130669871695526201
0.006,0.18,0.151,0.004,False,3.4194285559382893522370777438
0.006,0.18,0.152,0.004,False,3.4194285559382893522370777438
0.006,0.18,0.153,0.004,False,3.4194285559382893522370777438
0.004,0.16,0.152,0.005,False,3.4172566316774268376506052043
0.004,0.16,0.153,0.005,False,3.4172566316774268376506052043
0.004,0.16,0.154,0.005,False,3.4172566316774268376506052043
0.031,0.03,0.153,0.002,False,3.4128668152392848267541385873
0.028,0.03,0.159,0.015,True,3.4065663413818403490435208784
0.024,0.05,0.160,0.007,False,3.4064427090826434673792257419
0.019,0.01,0.159,0.004,True,3.4045892820578171177782314282
0.019,0.02,0.159,0.004,True,3.4035624540033710433037555758
0.009,0.20,0.155,0.006,False,3.4000882210668387777221387658
0.009,0.20,0.156,0.006,False,3.4000882210668387777221387658
0.007,0.17,0.151,0.004,False,3.3966298405258797578169024487
0.007,0.17,0.152,0.004,False,3.3966298405258797578169024487
0.007,0.17,0.153,0.004,False,3.3966298405258797578169024487
0.004,0.16,0.151,0.005,False,3.3933292202026540221417137136
0.018,0.03,0.154,0.002,True,3.3875053082537651491689091961
0.018,0.03,0.155,0.002,True,3.3875053082537651491689091961
0.018,0.03,0.156,0.002,True,3.3875053082537651491689091961
0.018,0.03,0.157,0.002,True,3.3875053082537651491689091961
0.018,0.03,0.158,0.002,True,3.3875053082537651491689091961
0.026,0.04,0.156,0.006,False,3.3815871262988261896514220160
0.001,0.17,0.151,0.004,False,3.3762357209298250080548928254
0.001,0.17,0.152,0.004,False,3.3762357209298250080548928254
0.001,0.17,0.153,0.004,False,3.3762357209298250080548928254
0.013,0,0.151,0.030,False,3.3750763187506976571222866638
0.005,0.16,0.160,0.005,False,3.3749568576834566990011162066
0.027,0.01,0.152,0.017,True,3.3700561881380566523016123544
0.019,0.03,0.158,0.002,True,3.3666513854853777433245447383
0.010,0,0.160,0.025,False,3.3609103445395265031009156869
0.024,0.05,0.159,0.007,False,3.3569990113026846832012910827
0.031,0.03,0.153,0.001,False,3.3555114805184728441113516941
0.026,0.04,0.156,0.003,False,3.3534621385218187185925325594
0.013,0,0.155,0.002,False,3.3509216023051173321668379857
0.013,0,0.156,0.002,False,3.3509216023051173321668379857
0.021,0.01,0.156,0.013,True,3.3497842093932525914154266344
0.024,0.05,0.158,0.007,False,3.3477064455961560056710960220
0.019,0.02,0.158,0.002,True,3.3465321418709393790231625024
0.014,0.01,0.155,0.002,False,3.3445421631498574222641078494
0.021,0.01,0.155,0.013,True,3.3425774267889476708822824696
0.023,0.04,0.159,0.005,False,3.3388402211407531043288493404
0.023,0.04,0.160,0.005,False,3.3388402211407531043288493404
0.004,0.16,0.159,0.004,False,3.3382042445802532310442964182
0.004,0.16,0.160,0.004,False,3.3382042445802532310442964182
0.023,0.02,0.159,0.009,False,3.3371894830839302627432841619
0.007,0.18,0.151,0.004,False,3.3363950122500524604469367704
0.007,0.18,0.152,0.004,False,3.3363950122500524604469367704
0.007,0.18,0.153,0.004,False,3.3363950122500524604469367704
0.004,0.16,0.157,0.004,False,3.3355957409292507936034022068
0.004,0.16,0.158,0.004,False,3.3355957409292507936034022068
0.013,0,0.155,0.003,False,3.3346358654221101591897640921
0.013,0,0.156,0.003,False,3.3346358654221101591897640921
0.013,0,0.157,0.003,False,3.3346358654221101591897640921
0.006,0.18,0.157,0.004,False,3.3313027279062440725601808648
0.006,0.18,0.158,0.004,False,3.3313027279062440725601808648
0.006,0.18,0.159,0.004,False,3.3313027279062440725601808648
0.006,0.18,0.160,0.004,False,3.3313027279062440725601808648
0.006,0.15,0.160,0.005,False,3.3301968433250646171881690605
0.028,0.08,0.158,0.020,False,3.3294410075920518586454256255
0.028,0.08,0.159,0.020,False,3.3294410075920518586454256255
0.005,0.18,0.154,0.004,False,3.3285572966099836751800343357
0.013,0.01,0.155,0.003,False,3.3274448957288994425871349751
0.013,0,0.156,0.004,False,3.3270810597907776958038457755
0.013,0,0.157,0.004,False,3.3270810597907776958038457755
0.017,0.14,0.151,0.017,False,3.3268632410314863142997027601
0.013,0,0.156,0.001,False,3.3263464931318241763458371695
0.028,0.08,0.158,0.019,False,3.3249513777072074198232538579
0.022,0.08,0.155,0.008,False,3.3244248510336947115970376334
0.014,0.01,0.155,0.001,False,3.3241595152367967594377475364
0.013,0.01,0.155,0.001,False,3.3237886831257834435460206064
0.025,0.03,0.157,0.007,False,3.3191669446802445403964655773
0.023,0.02,0.159,0.007,False,3.3150923010161103393155420876
0.028,0.08,0.157,0.021,False,3.3149195736690417943112114463
0.028,0.08,0.158,0.021,False,3.3149195736690417943112114463
0.028,0.08,0.159,0.021,False,3.3149195736690417943112114463
0.028,0.08,0.160,0.021,False,3.3149195736690417943112114463
0.015,0.03,0.160,0.017,False,3.3148003911106646703001078070
0.025,0,0.157,0.008,False,3.3135857994404093041297543831
0.004,0.13,0.158,0.005,False,3.3127716219436256685472023694
0.004,0.13,0.159,0.005,False,3.3127716219436256685472023694
0.004,0.13,0.160,0.005,False,3.3127716219436256685472023694
