StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0.07,0.179,0.004,False,3.5960875538600773490896930197
0.009,0.07,0.180,0.004,False,3.5960875538600773490896930197
0.008,0.07,0.179,0.004,False,3.5780028333217860652233638683
0.008,0.07,0.180,0.004,False,3.5780028333217860652233638683
0.008,0,0.173,0.022,False,3.5563531477558826078350884921
0.008,0,0.172,0.022,False,3.5470514921463351290423372199
0.008,0.08,0.173,0.006,False,3.5188709925335732251205073305
0.008,0.08,0.174,0.006,False,3.5188709925335732251205073305
0.007,0.06,0.176,0.002,False,3.5073392409061606373705516305
0.008,0,0.172,0.021,False,3.5006639218075328145673113647
0.006,0,0.171,0.021,False,3.4890683126260324660583261219
0.007,0,0.172,0.021,False,3.4816283899369232690068448488
0.007,0,0.173,0.021,False,3.4815683295530828123774127473
0.008,0.07,0.176,0.005,False,3.4796704832200539159408267944
0.008,0.07,0.177,0.005,False,3.4796704832200539159408267944
0.008,0.07,0.178,0.005,False,3.4796704832200539159408267944
0.009,0.07,0.175,0.005,False,3.4762079393517071926732379948
0.009,0.07,0.176,0.005,False,3.4762079393517071926732379948
0.009,0.07,0.177,0.005,False,3.4762079393517071926732379948
0.009,0.07,0.178,0.005,False,3.4762079393517071926732379948
0.012,0.08,0.180,0.004,False,3.4730616050343633130380899521
0.008,0,0.171,0.022,False,3.4638227084468535257091406620
0.008,0.07,0.175,0.005,False,3.4566682916145548587413583971
0.009,0.08,0.173,0.006,False,3.4527712046443108460918898690
0.008,0.07,0.175,0.002,False,3.4523223004806066880370496844
0.008,0.07,0.176,0.002,False,3.4523223004806066880370496844
0.008,0.08,0.173,0.002,False,3.4494263980813552736665745150
0.030,0.17,0.178,0.027,True,3.4486702622572596676154152835
0.030,0.17,0.179,0.027,True,3.4486702622572596676154152835
0.030,0.17,0.180,0.027,True,3.4486702622572596676154152835
0.006,0,0.172,0.021,False,3.4409757811988797362373665973
0.009,0.07,0.174,0.004,False,3.4350137904221447861439371949
0.009,0.07,0.175,0.004,False,3.4350137904221447861439371949
0.009,0.07,0.176,0.004,False,3.4350137904221447861439371949
0.009,0.07,0.177,0.004,False,3.4350137904221447861439371949
0.009,0.07,0.178,0.004,False,3.4350137904221447861439371949
0.008,0.06,0.176,0.002,False,3.4349898348164214491592249366
0.009,0.07,0.174,0.003,False,3.4324028684418154541154244791
0.009,0.07,0.175,0.003,False,3.4324028684418154541154244791
0.030,0.13,0.175,0.030,True,3.4291531525915375973857238953
0.030,0.13,0.176,0.030,True,3.4291531525915375973857238953
0.030,0.13,0.174,0.031,True,3.4279553798812771584699913713
0.030,0.13,0.175,0.031,True,3.4279553798812771584699913713
