StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.16,0.122,0.024,False,3.5861860114421980835692194180
0.020,0.16,0.123,0.024,False,3.5861860114421980835692194180
0.020,0.16,0.122,0.025,False,3.5658099914563937012508348437
0.020,0.16,0.123,0.025,False,3.5658099914563937012508348437
0.020,0.16,0.124,0.025,False,3.5658099914563937012508348437
0.023,0.16,0.121,0.025,False,3.5171903258347717410899160661
0.023,0.16,0.122,0.025,False,3.5171903258347717410899160661
0.023,0.16,0.123,0.025,False,3.5171903258347717410899160661
0.023,0.16,0.124,0.025,False,3.5171903258347717410899160661
0.023,0.16,0.121,0.024,False,3.5095285864776444531921558694
0.023,0.16,0.122,0.024,False,3.5095285864776444531921558694
0.023,0.16,0.123,0.024,False,3.5095285864776444531921558694
0.021,0.16,0.121,0.024,False,3.5080350921376699956362003340
0.021,0.16,0.122,0.024,False,3.5080350921376699956362003340
0.021,0.16,0.123,0.024,False,3.5080350921376699956362003340
0.021,0.16,0.121,0.025,False,3.4924209004627519886929875434
0.021,0.16,0.122,0.025,False,3.4924209004627519886929875434
0.021,0.16,0.123,0.025,False,3.4924209004627519886929875434
0.021,0.16,0.124,0.025,False,3.4924209004627519886929875434
0.020,0.16,0.122,0.023,False,3.4724302205869538555644373823
0.018,0.08,0.124,0.025,False,3.4675331322207318045448439682
0.020,0.16,0.121,0.024,False,3.4591231121885152382666672965
0.018,0.08,0.122,0.025,False,3.4533657984441726809794177330
0.018,0.08,0.123,0.025,False,3.4533657984441726809794177330
0.022,0.16,0.121,0.025,False,3.4527067131567784422348266187
0.022,0.16,0.122,0.025,False,3.4527067131567784422348266187
0.022,0.16,0.123,0.025,False,3.4527067131567784422348266187
0.022,0.16,0.124,0.025,False,3.4527067131567784422348266187
0.018,0.08,0.121,0.025,False,3.4505275673539039897669647525
0.024,0.16,0.121,0.025,False,3.4448834279834386322138426912
0.024,0.16,0.122,0.025,False,3.4448834279834386322138426912
0.024,0.16,0.123,0.025,False,3.4448834279834386322138426912
0.024,0.16,0.124,0.025,False,3.4448834279834386322138426912
0.020,0.16,0.121,0.025,False,3.4396953549697559128945690529
0.024,0.16,0.121,0.024,False,3.4360356194690515540249906490
0.024,0.16,0.122,0.024,False,3.4360356194690515540249906490
0.024,0.16,0.123,0.024,False,3.4360356194690515540249906490
0.022,0.16,0.121,0.024,False,3.4295640306544147232319830701
0.022,0.16,0.122,0.024,False,3.4295640306544147232319830701
0.022,0.16,0.123,0.024,False,3.4295640306544147232319830701
0.019,0.05,0.122,0.024,False,3.4068942678121873317565621812
0.018,0.09,0.124,0.025,False,3.3793992160377696443924957263
0.017,0.05,0.127,0.011,False,3.3549449019184168433930584182
0.020,0.16,0.121,0.023,False,3.3444173041485255924331821192
0.019,0.14,0.123,0.024,False,3.3423713051372645215926012358
0.019,0.03,0.123,0.024,False,3.3406874406098618873292488794
0.018,0.08,0.125,0.025,False,3.3404046497136067945308992699
0.017,0.06,0.127,0.011,False,3.3399526948826770458217841608
0.020,0.05,0.122,0.024,False,3.3341861808790762808553432624
0.019,0.04,0.123,0.024,False,3.3295829707009139816796241208
0.019,0.01,0.128,0.024,False,3.3292211229549511191974169107
0.020,0.05,0.122,0.023,False,3.3264215966509509201187393695
0.019,0.05,0.123,0.024,False,3.3182212291185925420803672191
0.019,0.04,0.124,0.024,False,3.3143410219046636856097841767
0.019,0,0.121,0.024,False,3.3142585961919982902857185470
0.019,0.05,0.124,0.024,False,3.3095767671421727539031860868
0.019,0.05,0.125,0.024,False,3.3095767671421727539031860868
0.018,0.04,0.127,0.011,False,3.3086968730307296312472442780
0.016,0.14,0.125,0.026,False,3.3056521942611306760467124832
0.019,0.05,0.126,0.024,False,3.3029898256137697629099559519
0.018,0.07,0.127,0.011,False,3.2990456075126128799101159930
0.018,0.03,0.123,0.025,False,3.2978971890831620392654019870
0.017,0.04,0.127,0.011,False,3.2976297229328843028622303788
0.020,0.05,0.121,0.024,False,3.2946884117669651504359175454
0.017,0.07,0.127,0.011,False,3.2941770467250210935149899709
0.020,0.01,0.122,0.023,False,3.2910084548907718690562125476
0.018,0.03,0.124,0.025,False,3.2907401611021506423538195982
0.019,0.08,0.121,0.025,False,3.2876079663313094263583355853
0.019,0.08,0.122,0.025,False,3.2876079663313094263583355853
0.019,0.08,0.123,0.025,False,3.2876079663313094263583355853
0.018,0.04,0.123,0.025,False,3.2875619266708027707611950503
0.020,0.05,0.121,0.023,False,3.2859670831870945680358643024
0.018,0.09,0.122,0.025,False,3.2808967247192808058909961024
0.018,0.09,0.123,0.025,False,3.2808967247192808058909961024
0.018,0.04,0.124,0.025,False,3.2803478753372157017609346452
0.019,0.03,0.124,0.024,False,3.2783927260581447085155523627
0.018,0.09,0.121,0.025,False,3.2781503184643344608229551812
