StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0.17,0.197,0.004,False,4.4149060216363128810413328710
0.007,0.17,0.198,0.004,False,4.4149060216363128810413328710
0.007,0.17,0.199,0.004,False,4.4149060216363128810413328710
0.007,0.17,0.200,0.004,False,4.4149060216363128810413328710
0.009,0.17,0.198,0.007,False,4.3902001153377375038081753885
0.009,0.17,0.199,0.007,False,4.3902001153377375038081753885
0.009,0.17,0.200,0.007,False,4.3902001153377375038081753885
0.005,0.17,0.197,0.004,False,4.3744786064016184238136762975
0.005,0.17,0.198,0.004,False,4.3744786064016184238136762975
0.005,0.17,0.199,0.004,False,4.3744786064016184238136762975
0.005,0.17,0.200,0.004,False,4.3744786064016184238136762975
0.007,0.17,0.195,0.004,False,4.3726476080127418726312906166
0.007,0.17,0.196,0.004,False,4.3726476080127418726312906166
0.004,0.14,0.195,0.005,False,4.3252257920625292280964252707
0.004,0.14,0.196,0.005,False,4.3252257920625292280964252707
0.004,0.17,0.197,0.004,False,4.3251292772214798941844095862
0.004,0.17,0.198,0.004,False,4.3251292772214798941844095862
0.004,0.17,0.199,0.004,False,4.3251292772214798941844095862
0.004,0.17,0.200,0.004,False,4.3251292772214798941844095862
0.009,0.17,0.195,0.004,False,4.3186838665749424237995138495
0.009,0.17,0.196,0.004,False,4.3186838665749424237995138495
0.009,0.17,0.197,0.004,False,4.3186838665749424237995138495
0.009,0.17,0.198,0.004,False,4.3186838665749424237995138495
0.009,0.17,0.199,0.004,False,4.3186838665749424237995138495
0.009,0.17,0.200,0.004,False,4.3186838665749424237995138495
0.008,0.17,0.198,0.007,False,4.3111071028732299844161588342
0.008,0.17,0.199,0.007,False,4.3111071028732299844161588342
0.008,0.17,0.200,0.007,False,4.3111071028732299844161588342
0.008,0.17,0.197,0.004,False,4.2931413685267793575167570454
0.008,0.17,0.198,0.004,False,4.2931413685267793575167570454
0.008,0.17,0.199,0.004,False,4.2931413685267793575167570454
0.008,0.17,0.200,0.004,False,4.2931413685267793575167570454
0.006,0.17,0.197,0.004,False,4.2905701180356584951790263219
0.006,0.17,0.198,0.004,False,4.2905701180356584951790263219
0.006,0.17,0.199,0.004,False,4.2905701180356584951790263219
0.006,0.17,0.200,0.004,False,4.2905701180356584951790263219
0.009,0.17,0.196,0.007,False,4.2816980892654750703413392180
0.009,0.17,0.197,0.007,False,4.2816980892654750703413392180
0.011,0.17,0.196,0.007,False,4.2785977762922417477488880332
0.011,0.17,0.197,0.007,False,4.2785977762922417477488880332
0.008,0.17,0.196,0.006,False,4.2723899536107025791207247503
0.008,0.17,0.197,0.006,False,4.2723899536107025791207247503
0.008,0.17,0.198,0.006,False,4.2723899536107025791207247503
0.008,0.17,0.199,0.006,False,4.2723899536107025791207247503
0.008,0.17,0.200,0.006,False,4.2723899536107025791207247503
0.009,0.17,0.194,0.004,False,4.2585553888007534298163060633
0.005,0.17,0.193,0.004,False,4.2433945873867679374096123242
0.005,0.17,0.194,0.004,False,4.2433945873867679374096123242
0.005,0.17,0.195,0.004,False,4.2433945873867679374096123242
0.005,0.17,0.196,0.004,False,4.2433945873867679374096123242
0.002,0.17,0.197,0.005,False,4.2413089345530661535012086339
0.002,0.17,0.198,0.005,False,4.2413089345530661535012086339
0.002,0.17,0.199,0.005,False,4.2413089345530661535012086339
0.002,0.17,0.200,0.005,False,4.2413089345530661535012086339
0.006,0.17,0.194,0.004,False,4.2367783774977762406830533431
0.006,0.17,0.195,0.004,False,4.2367783774977762406830533431
0.006,0.17,0.196,0.004,False,4.2367783774977762406830533431
0.009,0.16,0.196,0.006,False,4.2355769559132513693908261695
0.009,0.16,0.197,0.006,False,4.2355769559132513693908261695
0.009,0.16,0.198,0.006,False,4.2355769559132513693908261695
0.009,0.16,0.199,0.006,False,4.2355769559132513693908261695
0.009,0.16,0.200,0.006,False,4.2355769559132513693908261695
0.010,0.17,0.197,0.004,False,4.2252665397714206659230527837
0.010,0.17,0.198,0.004,False,4.2252665397714206659230527837
0.010,0.17,0.199,0.004,False,4.2252665397714206659230527837
0.010,0.17,0.200,0.004,False,4.2252665397714206659230527837
0.010,0.17,0.196,0.007,False,4.2224005117293860595367836741
0.010,0.17,0.197,0.007,False,4.2224005117293860595367836741
0.008,0.17,0.195,0.004,False,4.2207320117171768242555758347
0.008,0.17,0.196,0.004,False,4.2207320117171768242555758347
0.014,0.17,0.199,0.010,False,4.2151259980458148161848168270
