StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.004,0.13,0.189,0.004,False,4.1145200960992635392156897541
0.004,0.13,0.190,0.004,False,4.1145200960992635392156897541
0.005,0.14,0.189,0.004,False,4.0880834926737162166165063525
0.005,0.14,0.190,0.004,False,4.0880834926737162166165063525
0.004,0.21,0.181,0.004,False,4.0789519417815793928306009413
0.004,0.20,0.181,0.004,False,4.0730606214465636100634134753
0.004,0.20,0.182,0.004,False,4.0730606214465636100634134753
0.004,0.20,0.183,0.004,False,4.0730606214465636100634134753
0.004,0.14,0.190,0.005,False,4.0631101270325678419152106234
0.004,0.14,0.189,0.004,False,4.0608146626607351945675467129
0.004,0.14,0.190,0.004,False,4.0608146626607351945675467129
0.005,0.13,0.189,0.004,False,4.0416257706115311368145816754
0.005,0.13,0.190,0.004,False,4.0416257706115311368145816754
0.005,0.20,0.181,0.008,False,4.0232313226841223388609116201
0.005,0.20,0.182,0.008,False,4.0232313226841223388609116201
0.005,0.20,0.183,0.008,False,4.0232313226841223388609116201
0.005,0.20,0.184,0.008,False,4.0232313226841223388609116201
0.006,0.14,0.189,0.004,False,4.0091695731346011034734038441
0.006,0.14,0.190,0.004,False,4.0091695731346011034734038441
0.004,0.13,0.181,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.182,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.183,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.184,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.185,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.186,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.187,0.004,False,4.0081515795043895983237592681
0.004,0.13,0.188,0.004,False,4.0081515795043895983237592681
0.003,0.03,0.183,0.024,False,3.9831393244232054297093174001
0.003,0.03,0.184,0.024,False,3.9831393244232054297093174001
0.003,0.03,0.185,0.024,False,3.9831393244232054297093174001
0.005,0.14,0.186,0.004,False,3.9822500753890228074685806166
0.005,0.14,0.187,0.004,False,3.9822500753890228074685806166
0.005,0.14,0.188,0.004,False,3.9822500753890228074685806166
0.004,0.14,0.181,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.182,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.183,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.184,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.185,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.186,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.187,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.188,0.005,False,3.9589152042191011095045635300
0.004,0.14,0.189,0.005,False,3.9589152042191011095045635300
0.005,0.19,0.187,0.004,False,3.9582534353864867698940806290
0.005,0.19,0.188,0.004,False,3.9582534353864867698940806290
0.004,0.14,0.181,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.182,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.183,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.184,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.185,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.186,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.187,0.004,False,3.9554958822906961600425031853
0.004,0.14,0.188,0.004,False,3.9554958822906961600425031853
0.005,0.17,0.189,0.004,False,3.9415995098922703686087956188
0.005,0.17,0.190,0.004,False,3.9415995098922703686087956188
0.005,0.13,0.186,0.004,False,3.9353350010886249512318253735
0.005,0.13,0.187,0.004,False,3.9353350010886249512318253735
0.005,0.13,0.188,0.004,False,3.9353350010886249512318253735
0.004,0.19,0.185,0.005,False,3.9337624650842878084378091461
