StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.002,0.22,0.108,0.020,False,3.2795505352123635402902080214
0.002,0.22,0.109,0.020,False,3.2795505352123635402902080214
0.002,0.22,0.110,0.020,False,3.2795505352123635402902080214
0.031,0,0.109,0.025,False,3.2586682620069504131424723356
0.004,0.22,0.108,0.019,False,3.2452116561503959892453893831
0.004,0.22,0.109,0.019,False,3.2452116561503959892453893831
0.004,0.22,0.110,0.019,False,3.2452116561503959892453893831
0.031,0.01,0.109,0.025,False,3.2362624790083955744019442997
0.003,0.25,0.108,0.025,False,3.1566721576730641767712969086
0.002,0.22,0.105,0.020,False,3.1272274999215340601825069185
0.002,0.22,0.106,0.020,False,3.1272274999215340601825069185
0.002,0.22,0.107,0.020,False,3.1272274999215340601825069185
0.002,0.23,0.101,0.020,False,3.1213267765666299431546429888
0.002,0.23,0.102,0.020,False,3.1213267765666299431546429888
0.002,0.23,0.103,0.020,False,3.1213267765666299431546429888
0.004,0.22,0.108,0.020,False,3.1176768915661331716174488864
0.004,0.22,0.109,0.020,False,3.1176768915661331716174488864
0.005,0.22,0.108,0.019,False,3.1075860928433918522528013541
0.005,0.22,0.109,0.019,False,3.1075860928433918522528013541
0.003,0.26,0.108,0.025,False,3.1033304844268081974088139525
0.003,0.22,0.108,0.020,False,3.0904573172189676379398222262
0.003,0.22,0.109,0.020,False,3.0904573172189676379398222262
0.012,0.05,0.108,0.009,False,3.0879497488262629058819259355
0.031,0.04,0.102,0.021,False,3.0851955635140294064303511193
0.033,0,0.108,0.025,False,3.0804472766897380697307208611
0.033,0,0.109,0.025,False,3.0804472766897380697307208611
0.002,0.23,0.110,0.011,False,3.0794527056190878955445310251
0.029,0.04,0.103,0.020,False,3.0787596943729723581713159215
0.003,0.22,0.108,0.019,False,3.0741662241103667366891405234
0.003,0.22,0.109,0.019,False,3.0741662241103667366891405234
0.003,0.22,0.110,0.019,False,3.0741662241103667366891405234
0.012,0.27,0.109,0.016,False,3.0697956144335499219853061455
0.012,0.27,0.110,0.016,False,3.0697956144335499219853061455
0.004,0.22,0.110,0.020,False,3.0468735530129307543111802300
0.005,0.25,0.109,0.009,False,3.0447200850564823542425365378
0.005,0.25,0.110,0.009,False,3.0447200850564823542425365378
0.003,0.22,0.104,0.019,False,3.0373586174472205648459614078
0.003,0.22,0.105,0.019,False,3.0373586174472205648459614078
0.003,0.22,0.106,0.019,False,3.0373586174472205648459614078
0.003,0.22,0.107,0.019,False,3.0373586174472205648459614078
0.031,0.04,0.102,0.020,False,3.0344593984283149588232610484
0.012,0.05,0.107,0.009,False,3.0319270326710391459842286548
0.004,0.22,0.104,0.019,False,3.0309036411260005924166255179
0.004,0.22,0.105,0.019,False,3.0309036411260005924166255179
0.004,0.22,0.106,0.019,False,3.0309036411260005924166255179
0.004,0.22,0.107,0.019,False,3.0309036411260005924166255179
0.014,0.21,0.103,0.010,False,3.0292202728387726773997840871
0.014,0.21,0.104,0.010,False,3.0292202728387726773997840871
0.003,0.23,0.110,0.010,False,3.0189249153939274449830489061
0,0.17,0.110,0.014,False,3.0172897452105931340377270440
0,0.17,0.109,0.014,False,3.0142832212425692095547191037
0.014,0.21,0.110,0.029,False,3.0135482584107851045789997934
0.014,0.21,0.107,0.029,False,3.0112489278252112847713439952
0.014,0.21,0.108,0.029,False,3.0112489278252112847713439952
0.014,0.21,0.109,0.029,False,3.0112489278252112847713439952
0.018,0.21,0.102,0.018,True,3.0046334735957965958663523736
0.013,0.27,0.109,0.016,False,3.0008146348482929744214201336
0.013,0.27,0.110,0.016,False,3.0008146348482929744214201336
0.037,0.02,0.105,0.023,False,2.9953868937294507610218435400
0.031,0.05,0.102,0.021,False,2.9912435794785509540336660469
0.002,0.22,0.101,0.020,False,2.9886235192370588709248451291
0.002,0.22,0.102,0.020,False,2.9886235192370588709248451291
0.002,0.22,0.103,0.020,False,2.9886235192370588709248451291
0.002,0.22,0.104,0.020,False,2.9886235192370588709248451291
0.033,0.01,0.106,0.025,False,2.9884271522003154984830002290
0.029,0.04,0.103,0.021,False,2.9856098130583432493123031625
0.033,0.01,0.109,0.025,False,2.9823703006766061544910150425
0.003,0.22,0.110,0.020,False,2.9801417262233531199318718901
0.025,0.01,0.106,0.026,False,2.9796187788393334913032218438
0.018,0.21,0.101,0.018,True,2.9789065019522494911797126579
