StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0.03,0.170,0.021,False,3.9511885286945023993907769559
0.015,0.03,0.163,0.019,False,3.9235916153171792674036590462
0.015,0.03,0.162,0.019,False,3.8594416030988933815207952146
0.010,0.03,0.170,0.021,False,3.8586914762372269231949001029
0.011,0.03,0.168,0.020,False,3.8438029478557928980665561451
0.011,0.03,0.169,0.020,False,3.8437769793414729963004457427
0.015,0.03,0.161,0.019,False,3.8067721100456763843639884927
0.011,0.03,0.169,0.021,False,3.8020300261944451111415304465
0.022,0.08,0.187,0.017,True,3.7989693065361736946291034385
0.022,0.08,0.188,0.017,True,3.7989693065361736946291034385
0.022,0.08,0.189,0.017,True,3.7989693065361736946291034385
0.022,0.08,0.190,0.017,True,3.7989693065361736946291034385
0.027,0.11,0.198,0.011,True,3.7967776209498206220594179812
0.027,0.11,0.199,0.011,True,3.7967776209498206220594179812
0.026,0,0.196,0.015,True,3.7872954177249243572341061196
0.023,0.08,0.192,0.014,True,3.7860577268650483726794683211
0.009,0.13,0.197,0.010,False,3.7776154591691412485335545126
0.026,0,0.194,0.015,True,3.7756605537079633858062006176
0.026,0,0.195,0.015,True,3.7756605537079633858062006176
0.006,0.17,0.197,0.014,False,3.7719006792219432092174129583
0.011,0.03,0.170,0.021,False,3.7652575288545724378928036485
0.024,0.09,0.192,0.014,True,3.7545345106780579982389182763
0.022,0.08,0.190,0.016,True,3.7488467751863870175303693201
0.022,0.08,0.191,0.016,True,3.7488467751863870175303693201
0.022,0.08,0.192,0.016,True,3.7488467751863870175303693201
0.022,0.08,0.193,0.016,True,3.7488467751863870175303693201
0.016,0.08,0.196,0.014,True,3.7470194328717427316447743549
0.027,0.10,0.181,0.027,True,3.7463480073446379657660020745
0.027,0.10,0.182,0.027,True,3.7463480073446379657660020745
0.027,0.10,0.183,0.027,True,3.7463480073446379657660020745
0.010,0.13,0.194,0.010,False,3.7460254020399651617774154121
0.010,0.13,0.195,0.010,False,3.7460254020399651617774154121
0.027,0,0.195,0.015,True,3.7374442562531049107197805936
0.027,0,0.196,0.015,True,3.7374442562531049107197805936
0.015,0.02,0.161,0.019,False,3.7365744941199456845819334223
0.015,0.02,0.162,0.019,False,3.7365744941199456845819334223
0.015,0.02,0.163,0.019,False,3.7365744941199456845819334223
0.023,0.08,0.187,0.017,True,3.7343037353545824902016918274
