StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.018,0.03,0.164,0.011,False,4.0880092724800649374409164856
0.007,0.08,0.164,0.015,False,4.0260144596165281848631889710
0.007,0.08,0.165,0.015,False,4.0260144596165281848631889710
0.007,0.08,0.166,0.015,False,4.0260144596165281848631889710
0.009,0.08,0.164,0.010,False,3.9686388199792571075714549785
0.007,0.07,0.164,0.015,False,3.9657064519253817731798703225
0.007,0.07,0.165,0.015,False,3.9657064519253817731798703225
0.007,0.07,0.166,0.015,False,3.9657064519253817731798703225
0.008,0.08,0.166,0.011,False,3.9508661461409653198252454305
0.007,0.08,0.164,0.016,False,3.9240047918208644326734258902
0.007,0.08,0.165,0.016,False,3.9240047918208644326734258902
0.008,0.08,0.164,0.015,False,3.9182101323481258917442647680
0.007,0.08,0.166,0.016,False,3.9089460620792815868648438164
0.008,0.08,0.165,0.015,False,3.9064801313810135591272192003
0.008,0.08,0.166,0.015,False,3.9064801313810135591272192003
0.009,0.08,0.165,0.011,False,3.8997099408796070422339624806
0.018,0.02,0.164,0.011,False,3.8992526551352017861837610052
0.008,0.07,0.165,0.015,False,3.8804067978923364930764223009
0.008,0.07,0.166,0.015,False,3.8804067978923364930764223009
0.009,0.08,0.166,0.010,False,3.8677886197804021615266096007
0.008,0.08,0.164,0.016,False,3.8644105922014787638724359502
0.008,0.08,0.165,0.016,False,3.8644105922014787638724359502
0.002,0.10,0.176,0.005,False,3.8605228833758810754294421594
0.008,0.07,0.164,0.015,False,3.8599564717603993990465354120
0.008,0.08,0.164,0.011,False,3.8589811441458057862956494359
0.008,0.08,0.165,0.011,False,3.8589811441458057862956494359
0.008,0.08,0.166,0.016,False,3.8526991013801543961642673342
0.008,0.08,0.167,0.011,False,3.8450331055601102484808297777
0.009,0.07,0.164,0.010,False,3.8312036161965928534186881780
0.008,0.07,0.166,0.011,False,3.8159210938363016811840716897
0.002,0.10,0.177,0.005,False,3.8146338117420205503567918518
0.002,0.10,0.178,0.005,False,3.8146338117420205503567918518
0.002,0.10,0.179,0.005,False,3.8146338117420205503567918518
0.002,0.10,0.180,0.005,False,3.8146338117420205503567918518
0.009,0.08,0.164,0.011,False,3.8102675104147572906074578973
0.007,0.13,0.171,0.013,False,3.7970692168441901587452392237
0.007,0.13,0.172,0.013,False,3.7970692168441901587452392237
0.018,0.01,0.166,0.010,False,3.7922350869915669737640467106
0.007,0.07,0.167,0.015,False,3.7898798945764790168077084915
0.009,0.08,0.165,0.010,False,3.7820008183052518832040191542
0.009,0.07,0.165,0.011,False,3.7795705151627249144612870918
0.001,0.12,0.184,0.005,False,3.7786546106530670020438981641
0.001,0.12,0.185,0.005,False,3.7786546106530670020438981641
0.001,0.12,0.186,0.005,False,3.7786546106530670020438981641
0.001,0.12,0.187,0.005,False,3.7786546106530670020438981641
0.007,0.14,0.172,0.013,False,3.7760182758605974295396983289
0.008,0.07,0.167,0.015,False,3.7705532717752429678698321364
0.009,0.07,0.166,0.010,False,3.7659460750494729885420093765
0.007,0.13,0.166,0.013,False,3.7640689817025260596678711318
0.007,0.13,0.167,0.013,False,3.7640689817025260596678711318
0.007,0.13,0.168,0.013,False,3.7640689817025260596678711318
0.007,0.13,0.169,0.013,False,3.7640689817025260596678711318
0.007,0.13,0.170,0.013,False,3.7640689817025260596678711318
0.002,0.12,0.200,0.005,False,3.7527806303739966750467799721
0.007,0.13,0.171,0.012,False,3.7522590344407111352537486737
0.007,0.13,0.172,0.012,False,3.7522590344407111352537486737
0.007,0.13,0.173,0.012,False,3.7522590344407111352537486737
0.001,0.12,0.189,0.005,False,3.7491416549883879976206627536
0.001,0.12,0.190,0.005,False,3.7491416549883879976206627536
0.001,0.12,0.191,0.005,False,3.7491416549883879976206627536
