StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.02,0.147,0.003,True,4.1004758716647294412118082355
0.028,0.01,0.149,0.014,True,4.0829973000836141811512390430
0.028,0.01,0.150,0.014,True,4.0829973000836141811512390430
0.028,0.01,0.151,0.014,True,4.0826052035699960246780124993
0.030,0.01,0.151,0.016,True,4.0762697347564644354425822067
0.028,0.02,0.151,0.014,True,4.0661114620979955597066149779
0.028,0.02,0.149,0.014,True,4.0641990533111561188755241718
0.028,0.02,0.150,0.014,True,4.0641990533111561188755241718
0.027,0.02,0.146,0.001,True,4.0559749618296244272495721654
0.027,0.02,0.150,0.013,True,4.0522107849558894138807228501
0.027,0.02,0.151,0.013,True,4.0522107849558894138807228501
0.027,0.02,0.146,0.003,True,4.0504222960575094211411237950
0.019,0.16,0.089,0.025,False,4.0441561594470265468630226546
0.027,0.02,0.147,0.001,True,4.0396349984777646596262222998
0.030,0.01,0.149,0.016,True,4.0275753144430275439093888472
0.030,0.01,0.148,0.016,True,4.0273149116722127098038231776
0.027,0.02,0.146,0.002,True,4.0170926371607075060224638117
0.027,0.02,0.147,0.002,True,4.0170926371607075060224638117
0.027,0.01,0.150,0.013,True,4.0146395202736793232044133163
0.027,0.01,0.151,0.013,True,4.0146395202736793232044133163
0.019,0.06,0.160,0.020,True,4.0072521269353281553028889345
0.019,0.16,0.090,0.025,False,4.0019866272416705924463929172
0.024,0.07,0.118,0.023,False,3.9944554049807764464214589241
0.018,0.15,0.089,0.025,False,3.9855324173553995304980269947
0.018,0.15,0.090,0.025,False,3.9855324173553995304980269947
0.030,0.02,0.148,0.016,True,3.9828471328038193792098061258
0.030,0.02,0.147,0.016,True,3.9823685303158596620204584029
0.030,0.01,0.151,0.015,True,3.9725666845355522277193121515
0.028,0.02,0.150,0.013,True,3.9623785110445791001573796723
0.019,0.15,0.090,0.024,False,3.9539840389417026398384897564
0.019,0.01,0.157,0.014,False,3.9454099622998732607323003685
0.028,0.02,0.147,0.001,True,3.9401673399616070470989228968
0.030,0.02,0.149,0.015,True,3.9370067966480579605018872182
0.030,0.02,0.150,0.015,True,3.9367076116020206146771853018
0.030,0.02,0.148,0.015,True,3.9347002078169013288814937036
0.028,0.01,0.151,0.013,True,3.9255288274367760128519286522
0.028,0.01,0.150,0.013,True,3.9254924343454564482651177289
0.030,0.01,0.148,0.015,True,3.9249410791018335063699905130
0.030,0.01,0.149,0.015,True,3.9249410791018335063699905130
0.019,0.08,0.160,0.020,True,3.9185401584610202326836278054
0.021,0.10,0.114,0.025,False,3.8939330752880056266179387826
0.025,0.07,0.118,0.023,False,3.8938844256789811063825917946
0.030,0.01,0.151,0.012,True,3.8871671609749933686512416397
0.028,0.02,0.146,0.001,True,3.8861496616930897462491660420
