StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.06,0.130,0.024,False,4.0780000821854020439519443667
0.015,0.17,0.139,0.025,False,4.0654729965645699975876512181
0.019,0.06,0.129,0.024,False,4.0426519380756633555559388177
0.019,0.06,0.128,0.024,False,4.0416792693312861555559399510
0.019,0.08,0.130,0.024,False,3.9575718276057718458205651096
0.019,0.08,0.131,0.024,False,3.9575506727557594133454020759
0.019,0.08,0.129,0.024,False,3.9560714846001858833451277848
0.019,0.07,0.128,0.024,False,3.9554389918157079456459308719
0.019,0.07,0.130,0.024,False,3.9505071875612202739532234074
0.019,0.07,0.129,0.024,False,3.9500556363662132854651699667
0.020,0.06,0.127,0.024,False,3.9295977637852352517352657865
0.020,0.06,0.127,0.023,False,3.9285258785280629009375695271
0.020,0.06,0.128,0.023,False,3.9285258785280629009375695271
0.020,0.06,0.126,0.023,False,3.9283208865036806481249081383
0.019,0.05,0.132,0.024,False,3.9205381428755942478397103173
0.019,0.09,0.130,0.024,False,3.9201194868662234572801555256
0.019,0.09,0.131,0.024,False,3.9201194868662234572801555256
0.020,0.06,0.126,0.024,False,3.9198968034550135544685279854
0.019,0.06,0.131,0.024,False,3.9145355578118306473174464256
0.020,0.05,0.130,0.024,False,3.9129290280357402240854704025
0.019,0.06,0.132,0.024,False,3.8972721365145064085465671594
0.019,0.06,0.133,0.024,False,3.8972721365145064085465671594
0.019,0.05,0.130,0.024,False,3.8638784063868574481088367359
0.020,0.06,0.130,0.024,False,3.8614569771143758890000128362
0.020,0.07,0.127,0.024,False,3.8458007922125411425259944461
0.020,0.07,0.126,0.023,False,3.8457251898142475326948868803
0.020,0.07,0.127,0.023,False,3.8457251898142475326948868803
0.017,0.18,0.139,0.025,False,3.8455270830077806489344761188
0.020,0.08,0.130,0.023,False,3.8442733357145370544335219523
0.020,0.07,0.129,0.024,False,3.8429790190087043917445415281
0.020,0.08,0.129,0.023,False,3.8419347992154721588839935817
0.020,0.07,0.128,0.024,False,3.8407184700855604741179191474
0.020,0.07,0.129,0.023,False,3.8406296784611153222071177420
0.020,0.08,0.128,0.023,False,3.8405902154752121670113258965
0.020,0.07,0.128,0.023,False,3.8394891345544835510332176423
0.020,0.07,0.126,0.024,False,3.8365699185421085884491446893
0.019,0.05,0.129,0.024,False,3.8314535416119486776349005572
0.019,0.05,0.128,0.024,False,3.8306920574204630206737845392
0.020,0.09,0.130,0.023,False,3.8098140076455304295061198919
0.020,0.09,0.131,0.023,False,3.8098140076455304295061198919
0.020,0.09,0.129,0.023,False,3.8064375769846947455057906189
0.020,0.06,0.130,0.023,False,3.8029953152468256969872276625
0.015,0.18,0.139,0.025,False,3.7976542840929845788141633563
0.020,0.06,0.132,0.024,False,3.7930268087386790095266031070
0.020,0.06,0.132,0.023,False,3.7919259702477407751573092428
0.021,0.06,0.129,0.024,False,3.7913467035659575368100328635
0.020,0.08,0.131,0.023,False,3.7910651024062730580842355103
0.019,0.07,0.131,0.024,False,3.7903249208668985556330742449
0.020,0.07,0.131,0.023,False,3.7900998346067975914646089690
