StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.02,0.150,0.003,True,3.7560811802746860306125706392
0.027,0.02,0.151,0.002,True,3.7353494896976544847460137360
0.028,0.02,0.150,0.003,True,3.6944468850654314671796006374
0.028,0.02,0.151,0.002,True,3.6759195236208855235947250776
0.027,0.02,0.148,0.003,True,3.6709440391969802235517453098
0.027,0.02,0.149,0.003,True,3.6709440391969802235517453098
0.027,0.02,0.147,0.003,True,3.6666705231536575653144671137
0.027,0.02,0.146,0.004,True,3.6510308715983057110506204611
0.027,0.02,0.147,0.004,True,3.6510308715983057110506204611
0.027,0.02,0.148,0.004,True,3.6510308715983057110506204611
0.027,0.02,0.149,0.004,True,3.6510308715983057110506204611
0.027,0.02,0.148,0.002,True,3.6506423519197283196832151872
0.027,0.02,0.149,0.002,True,3.6506423519197283196832151872
0.019,0,0.12,0.024,False,3.6479596589977747608692339539
0.027,0.01,0.151,0.014,True,3.6443191256736120443693861836
