StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.037,0.01,0.041,0.031,True,1.6035307262065560529943410593
0.037,0.02,0.041,0.031,True,1.5655075471828709119351746219
0.038,0.01,0.041,0.031,True,1.5508678646389138245992744851
0.038,0.02,0.041,0.031,True,1.5128524755351085561555313655
0.034,0.03,0.045,0.028,True,1.4246899761162414761773799238
0.034,0,0.043,0.030,True,1.4134892981715620637813197688
0.036,0.01,0.043,0.030,True,1.3623097392117251726206697796
0.040,0.02,0.041,0.011,True,1.3584992504767642998837288657
0.039,0.01,0.041,0.011,True,1.3490927380635835303236599872
0.038,0,0.041,0.018,False,1.3416998975124077250370205702
0.037,0.02,0.041,0.011,True,1.3267490214839279055685182649
0.033,0.01,0.042,0.011,True,1.3175851224969682291786310127
0.039,0.02,0.041,0.031,True,1.3027590975052436145113649932
0.039,0,0.043,0.017,False,1.3009168993786108800427636449
0.035,0.01,0.042,0.011,True,1.2910373643690529521205021477
0.033,0.01,0.042,0.009,True,1.2876722139605110151923209215
0.037,0,0.041,0.017,False,1.2727679941063905050933054072
0.039,0.02,0.041,0.011,True,1.2725050863441665296565941628
0.039,0.01,0.042,0.010,True,1.2642860440153761922825939579
0.039,0.01,0.042,0.018,False,1.2564079934183226407349104698
0.039,0.01,0.042,0.017,False,1.2526743493398507501385638403
0.039,0.01,0.041,0.017,False,1.2510722903024498001312205877
0.039,0.01,0.041,0.018,False,1.2505165348792051154962357834
0.035,0.02,0.041,0.009,True,1.2452733873788627687723968995
0.034,0.01,0.043,0.030,True,1.2394647495351362866308852654
0.034,0.01,0.042,0.030,True,1.2315481980035606787055251081
0.033,0,0.043,0.033,True,1.2226133675457982051339459220
0.038,0.01,0.041,0.028,True,1.2211851134734344733302615171
0.038,0,0.043,0.018,False,1.2199145345653315327833372093
0.033,0.02,0.041,0.010,True,1.2165070747486190591817581159
0.032,0.01,0.042,0.009,True,1.2157372657804902121684544004
0.034,0.02,0.043,0.030,True,1.2053032764758087908394324701
0.034,0.02,0.042,0.030,True,1.2003372892656190359308670535
0.038,0.01,0.041,0.030,True,1.1918527898957918370545106714
0.035,0,0.043,0.032,True,1.1902439180604777525809488228
0.039,0.02,0.041,0.028,True,1.1871217305963091723636517581
0.038,0.02,0.041,0.028,True,1.1860519996808326954481312661
0.034,0.02,0.042,0.009,True,1.1840634191649192510017979122
0.034,0.02,0.041,0.011,True,1.1827329857768827712767615708
0.037,0.01,0.041,0.017,False,1.1821081331775038286903861725
0.035,0.01,0.042,0.010,True,1.1802277758021642378598358193
0.039,0.02,0.041,0.029,True,1.1780529995342010851243536295
0.040,0.01,0.041,0.017,False,1.1737960742910070594565582128
0.040,0.01,0.042,0.017,False,1.1737288915444702664203937980
0.035,0,0.043,0.018,False,1.1643916826472516932035306532
0.035,0,0.043,0.030,True,1.1603925739333014907563259204
0.038,0.02,0.041,0.030,True,1.1582071559588207319984723891
0.034,0.02,0.041,0.010,True,1.1579519661332629928805900692
0.037,0.02,0.041,0.017,False,1.1527405903826410847909055501
0.038,0,0.044,0.018,False,1.1433518838553170253631111948
0.040,0.02,0.041,0.017,False,1.1389504256686335316994440299
0.033,0.02,0.041,0.009,True,1.1372432602331932108851248560
0.033,0,0.043,0.032,True,1.1306890066383769007953488422
0.038,0.01,0.041,0.018,False,1.1231025915337479570116829120
0.032,0,0.043,0.032,True,1.1188138924721988876546811259
0.033,0.02,0.042,0.009,True,1.1173968499219060779644537469
0.033,0,0.043,0.029,True,1.1023157906738448747726382020
0.036,0,0.043,0.018,False,1.1005921875964612618856133028
0.033,0.01,0.042,0.010,True,1.0975416651484045327070584229
0.038,0.02,0.041,0.018,False,1.0826306283035338719482089829
0.036,0,0.043,0.017,False,1.0816855114763392497139898419
0.035,0.05,0.043,0.030,True,1.0720738877073516576836173849
0.037,0,0.043,0.017,False,1.0229458291176218218507587024
0.037,0,0.043,0.019,False,1.0210902543959689563131998595
0.035,0,0.043,0.021,False,1.0162464460818801628834948035
0.039,0.02,0.041,0.017,False,1.0151297255690069643477542570
0.032,0.01,0.042,0.010,True,1.0087117078500460700213191841
0.034,0,0.041,0.021,False,0.9950053282241700806643269971
0.039,0.01,0.041,0.008,False,0.9818639043991380123754153723
0.037,0,0.043,0.018,False,0.9450835797939025468941654898
0.039,0.02,0.041,0.018,False,0.9300382233456889840268067772
0.037,0.02,0.041,0.019,False,0.8872345288375801201307347009
0.036,0.01,0.043,0.018,False,0.8713379241602716632742009250
0.036,0.01,0.043,0.017,False,0.8535485181450985879239468366
0.035,0.01,0.041,0.021,False,0.8519632932209010061079785001
0.038,0.01,0.042,0.018,False,0.8443543121078120634860956825
0.033,0,0.043,0.021,False,0.8281435592278852122867552879
0.038,0.02,0.042,0.018,False,0.8183301361940096456966892411
0.037,0.02,0.041,0.018,False,0.8156143608243674314658754964
0.037,0.01,0.043,0.017,False,0.7928063723311445489675298548
0.037,0.01,0.043,0.019,False,0.7869831599731803968052836041
0.037,0.02,0.043,0.017,False,0.7682110165379370665704033886
0.037,0.02,0.043,0.019,False,0.7577387641332837303020227553
0.036,0.01,0.043,0.021,False,0.7525734046206791969311058769
0.038,0.02,0.041,0.017,False,0.7394937791852928650776207833
0.038,0.02,0.041,0.019,False,0.7244894033646294925694899251
0.036,0.01,0.043,0.020,False,0.7212794601428824111388169730
0.037,0.01,0.043,0.018,False,0.7101100537599316698039398038
0.037,0.02,0.043,0.018,False,0.6842514941964542369297955650
0.037,0.01,0.042,0.017,False,0.6571132423853801009245949852
0.037,0.01,0.042,0.018,False,0.6567411873808292982792412850
0.037,0.02,0.043,0.021,False,0.6496705057595407582861180589
0.037,0.01,0.042,0.019,False,0.6471377690576126559722516401
0.037,0.02,0.042,0.017,False,0.6368190859376993111006158699
0.037,0.02,0.042,0.018,False,0.6364458785784236520547022348
0.033,0.01,0.042,0.020,False,0.6325429078825183697256188605
0.037,0.02,0.042,0.019,False,0.6114709940242210190718393231
0.035,0.01,0.044,0.021,False,0.5916254336388823743201335632
0.037,0.01,0.043,0.020,False,0.5786108775906591264561155448
0.035,0.01,0.045,0.021,False,0.5212880055162796587988087248
