StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.09,0.199,0.025,False,2.2329630049637048844773537227
0.014,0.08,0.198,0.011,False,2.2136544231082750780038459293
0.014,0.08,0.199,0.011,False,2.2136544231082750780038459293
0,0.10,0.199,0.025,False,2.2073629068849361256331970461
0.015,0.08,0.198,0.011,False,2.1752318882029761053388273862
0.016,0.09,0.197,0.011,False,2.1274587194369562651327085983
0,0.10,0.198,0.025,False,2.0958345773900523949149164429
0,0.22,0.200,0.009,False,2.0698671941199971740994826420
0.016,0.09,0.198,0.012,False,2.0243488915988172309213294674
0,0,0.193,0.025,False,2.0151111710516031451371233404
0,0,0.192,0.025,False,2.0151111710516031451371233404
0,0,0.196,0.025,False,2.0151111710516031451371233404
0,0,0.195,0.025,False,2.0151111710516031451371233404
0,0,0.194,0.025,False,2.0151111710516031451371233404
0,0,0.197,0.025,False,2.0108506888685183395322041625
0,0.01,0.197,0.025,False,2.0071170611755403314747605854
0,0,0.192,0.026,False,2.0036807305888102282352710376
0,0,0.193,0.026,False,2.0036807305888102282352710376
0,0,0.194,0.026,False,2.0036807305888102282352710376
0,0,0.195,0.026,False,2.0036807305888102282352710376
0,0,0.196,0.026,False,2.0036807305888102282352710376
0,0,0.198,0.025,False,2.0011690937459091396743088407
0,0,0.199,0.025,False,2.0011690937459091396743088407
0,0.01,0.193,0.025,False,1.9997359016428526929203690791
0,0.01,0.192,0.025,False,1.9997359016428526929203690791
0,0.01,0.196,0.025,False,1.9997359016428526929203690791
0,0.01,0.194,0.025,False,1.9997359016428526929203690791
0,0.01,0.195,0.025,False,1.9997359016428526929203690791
0,0,0.197,0.026,False,1.9994202484057254226303518597
0,0.01,0.198,0.025,False,1.9974354660529311316168652636
0,0.01,0.199,0.025,False,1.9974354660529311316168652636
0,0.01,0.197,0.026,False,1.9956866207127474145729082826
0,0.02,0.198,0.025,False,1.9937730625932518992044002591
0,0.02,0.199,0.025,False,1.9937730625932518992044002591
0,0.02,0.197,0.025,False,1.9917072231643339348851816539
0,0.02,0.193,0.025,False,1.9912275708324378626944062159
0,0.02,0.194,0.025,False,1.9912275708324378626944062159
0,0.02,0.195,0.025,False,1.9912275708324378626944062159
0,0.02,0.196,0.025,False,1.9912275708324378626944062159
0,0.02,0.192,0.025,False,1.9912275708324378626944062159
0,0,0.198,0.026,False,1.9897386532831162227724565379
0,0,0.199,0.026,False,1.9897386532831162227724565379
0,0.01,0.194,0.026,False,1.9877555867343686930458181600
0,0.01,0.193,0.026,False,1.9877555867343686930458181600
0,0.01,0.195,0.026,False,1.9877555867343686930458181600
0,0.01,0.192,0.026,False,1.9877555867343686930458181600
0,0.01,0.196,0.026,False,1.9877555867343686930458181600
0,0.01,0.198,0.026,False,1.9860050255901382147150129608
0,0.01,0.199,0.026,False,1.9860050255901382147150129608
0.014,0.08,0.199,0.008,False,1.9848438454714479221556317442
0.014,0.08,0.198,0.008,False,1.9848438454714479221556317442
0.014,0.08,0.197,0.008,False,1.9848438454714479221556317442
0,0.03,0.198,0.025,False,1.9845381407826142085922374333
0,0.03,0.199,0.025,False,1.9845381407826142085922374333
0,0.03,0.197,0.025,False,1.9829073853944822448893244629
0,0.02,0.198,0.026,False,1.9823407367699331450607539720
0,0.02,0.199,0.026,False,1.9823407367699331450607539720
0,0.02,0.197,0.026,False,1.9797250228953240977688367505
0,0.02,0.192,0.026,False,1.9792453705634280255780613125
0,0.02,0.193,0.026,False,1.9792453705634280255780613125
0,0.02,0.194,0.026,False,1.9792453705634280255780613125
0,0.02,0.196,0.026,False,1.9792453705634280255780613125
0,0.02,0.195,0.026,False,1.9792453705634280255780613125
0,0.03,0.196,0.025,False,1.9781262279273625537234355228
0,0.03,0.192,0.025,False,1.9781262279273625537234355228
0,0.03,0.194,0.025,False,1.9781262279273625537234355228
0,0.03,0.195,0.025,False,1.9781262279273625537234355228
0,0.03,0.193,0.025,False,1.9781262279273625537234355228
0,0.04,0.199,0.025,False,1.9628125166838731657434164950
0,0.04,0.198,0.025,False,1.9628125166838731657434164950
0.023,0,0.195,0.024,False,1.9627879519822626636091675379
0.016,0.09,0.197,0.013,False,1.9608786566773795052220504081
0,0.04,0.196,0.025,False,1.9586608167482871762710174981
0,0.04,0.197,0.025,False,1.9586608167482871762710174981
0,0.04,0.192,0.025,False,1.9586608167482871762710174981
0,0.04,0.195,0.025,False,1.9586608167482871762710174981
0,0.04,0.193,0.025,False,1.9586608167482871762710174981
0,0.04,0.194,0.025,False,1.9586608167482871762710174981
0.016,0.06,0.196,0.011,False,1.9113189444386584477187915877
