StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.032,0.05,0.035,0.018,False,2.2538220133514125340430375361
0.032,0.04,0.035,0.018,False,2.2423680959624421331182566356
0.033,0.05,0.035,0.017,False,2.2324972824464544512354531836
0.032,0.04,0.035,0.014,False,2.2037252701791502388732625322
0.032,0.05,0.035,0.014,False,2.1877595525815124483556970121
0.039,0.10,0.030,0.021,False,2.1720340460665333658382918049
0.038,0.08,0.030,0.022,False,2.1653140501106564039063164929
0.033,0.04,0.035,0.017,False,2.1552630745730833342343041440
0.038,0.10,0.030,0.022,False,2.1541854716978284733618806441
0.033,0.05,0.035,0.018,False,2.1475663665903959462973216968
0.038,0.01,0.035,0.022,False,2.1303033939391846423887851421
0.039,0.01,0.035,0.023,False,2.1283412021804018999263775260
0.032,0.04,0.035,0.015,False,2.1261880238957735079473868925
0.039,0.10,0.030,0.020,False,2.1237957918101264767460232695
0.010,0.03,0.035,0.019,False,2.1225221421200628038117087331
0.040,0.09,0.030,0.015,False,2.1139849135722292707934928168
0.032,0.05,0.035,0.015,False,2.1122481733365853069258901126
0.038,0.06,0.035,0.022,False,2.1118597577089712540904617103
0.040,0.09,0.029,0.013,False,2.1096580385610151035928889740
0.039,0.06,0.035,0.022,False,2.1037273238414488508236351749
0.037,0.09,0.030,0.021,False,2.1037251477490321541369708880
0.010,0.02,0.035,0.019,False,2.1018775596070623757538889196
0.010,0.01,0.035,0.019,False,2.1018571843862882989676780881
0.038,0.10,0.030,0.021,False,2.0998834739663955973648498153
0,0.08,0.045,0.015,False,2.0958887206978439791894446200
0.032,0.04,0.035,0.013,False,2.0897840683217974528451802112
0.012,0.06,0.022,0.018,False,2.0876556189295456137277489207
0.039,0.06,0.035,0.021,False,2.0861722338160352937113579378
0.034,0.02,0.035,0.015,False,2.0844081837494499168703157631
0.040,0.09,0.030,0.013,False,2.0827076571458281711651399518
0,0.09,0.045,0.015,False,2.0741328592818888920681340276
0.038,0.06,0.035,0.023,False,2.0717800847383624764933985441
0.033,0.04,0.035,0.018,False,2.0699108507081194445495225622
0.032,0.05,0.035,0.013,False,2.0694042072904318295747892197
0.040,0.10,0.029,0.013,False,2.0638037735637272752217727865
0.033,0.05,0.035,0.014,False,2.0627589619207382336613652135
0.012,0.05,0.022,0.018,False,2.0609280898216598261405780029
0.039,0.06,0.035,0.023,False,2.0607654484126828119128489527
0.038,0.07,0.035,0.022,False,2.0561906923156486872679102327
0.015,0.10,0.021,0.011,True,2.0554333245975274625611115406
0.032,0.05,0.035,0.017,False,2.0545014790128953661118554592
0.033,0.05,0.035,0.015,False,2.0493472929090400807748757952
0.040,0.09,0.030,0.016,False,2.0474982046623703394024171595
0.039,0.07,0.035,0.022,False,2.0441881871474074130466844262
0.032,0.04,0.035,0.017,False,2.0421479522691304840793419217
0.037,0.08,0.030,0.018,False,2.0406326697196392568807567623
0.038,0.01,0.035,0.023,False,2.0377283183706266903507577693
0.040,0.10,0.030,0.015,False,2.0375536605926130957036072670
0.040,0.09,0.030,0.014,False,2.0374199942110304148155979039
0.034,0.05,0.034,0.014,False,2.0369503739167153004673454078
0.032,0.03,0.035,0.014,False,2.0364074520224770665809464186
0.039,0.02,0.035,0.022,False,2.0288280784238974652991973529
0.034,0.01,0.034,0.015,False,2.0287061260356234642664887089
0.015,0.04,0.022,0.018,False,2.0270379216497061073281732529
0.040,0.10,0.030,0.013,False,2.0261126459781356886998250137
0.039,0.07,0.035,0.021,False,2.0257357244368106144467242031
0.040,0.09,0.029,0.015,False,2.0252336427223797466854811005
0.037,0.09,0.030,0.020,False,2.0221656778552920377011195457
0.038,0.10,0.030,0.020,False,2.0215802016314670999440669162
0.040,0.09,0.030,0.019,False,2.0213776850795212538982873782
0.015,0.07,0.022,0.018,False,2.0195781016392929186227085928
0.012,0.07,0.022,0.018,False,2.0175457556304129022776795456
0.012,0.01,0.022,0.018,False,2.0173216190875018502674716185
0.038,0.07,0.035,0.023,False,2.0161834695057168666255363258
0.012,0.04,0.022,0.018,False,2.0143160939513484543048366761
0.033,0.03,0.035,0.015,False,2.0132213817189095516854873396
0.033,0.04,0.035,0.014,False,2.0128435866197179004787256196
0.016,0.06,0.022,0.011,True,2.0115749903122546907441134082
0.039,0.02,0.035,0.023,False,2.0114908626191082946905393997
0.039,0.10,0.029,0.019,False,2.0113545463427562854119723825
0.032,0.03,0.035,0.018,False,2.0105949492293436304042965954
0.015,0.06,0.022,0.018,False,2.0094964611385919289753332617
0.033,0.02,0.035,0.015,False,2.0090545287544566752208531865
0.037,0.08,0.030,0.021,False,2.0073788933259410187864571025
0.012,0.03,0.022,0.018,False,2.0073010240260498415618418234
0.034,0.02,0.034,0.015,False,2.0068958011939784237579680303
0.032,0.03,0.035,0.017,False,2.0054429380902646680212862992
0.034,0.03,0.034,0.016,False,2.0044430696070232363124240437
0.032,0.04,0.035,0.011,False,2.0029273416965001123321344960
0.039,0.07,0.035,0.023,False,2.0017141011792444836812843824
0.038,0.09,0.030,0.022,False,2.0015758511258273063173564872
0.016,0.10,0.021,0.012,True,2.0011437896540674928406351151
0.014,0.12,0.02,0.010,True,2.0008143921536834240376749131
0.040,0.09,0.030,0.018,False,1.9986910106622578278112913593
0.033,0.04,0.035,0.015,False,1.9974604006053352934996282684
0.038,0.08,0.030,0.021,False,1.9973304990364828310239570628
0.040,0.08,0.030,0.019,False,1.9949786100645811016845010454
0.015,0.05,0.022,0.018,False,1.9934958997265370806946217423
0.038,0,0.035,0.022,False,1.9929594713309876051510159306
0.040,0.08,0.030,0.013,False,1.9920481307799283732804870576
0.012,0.02,0.022,0.018,False,1.9895723100789179310078223958
0.040,0.10,0.030,0.014,False,1.9889306660435277213088488200
0.040,0.08,0.030,0.015,False,1.9852951800182747935290480103
0.032,0.03,0.035,0.015,False,1.9825163478126788642495268969
0.040,0.10,0.029,0.015,False,1.9823710703104348584981838623
0.037,0.08,0.030,0.022,False,1.9808302537868517922358632924
