StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.013,0.02,0.150,0.006,True,2.8959605504324383418674279746
0.014,0.02,0.150,0.006,True,2.8958131063268625560180878824
0.015,0.01,0.150,0.006,True,2.8828822915880582608491195474
0.015,0,0.150,0.006,True,2.8780015424757775701817512309
0.015,0.02,0.150,0.006,True,2.8662686430457749454379143808
0.013,0.01,0.150,0.006,True,2.8639684657099611223262121853
0.013,0,0.150,0.006,True,2.8581274293254927248333590164
0.014,0.01,0.150,0.006,True,2.8433195426160034185780331218
0.014,0,0.150,0.006,True,2.8380715618843523351839444645
0.016,0.01,0.150,0.006,True,2.7840763750139888206264948264
0.016,0.02,0.150,0.006,True,2.7790114772317008056346291921
0.016,0,0.150,0.006,True,2.7787356829729262612638929273
0.017,0.01,0.150,0.006,True,2.7636070314407994223295348292
0.017,0.02,0.150,0.006,True,2.7584483190978893782167025717
0.017,0,0.150,0.006,True,2.7582627561922582341325508576
0.019,0.01,0.150,0.006,True,2.7491804873519183064813806044
0.018,0.01,0.150,0.006,True,2.7429157970051236076086002302
0.019,0.02,0.150,0.006,True,2.7429139255757804788463589946
0.018,0,0.150,0.006,True,2.7375675585619887120159165210
0.018,0.02,0.150,0.006,True,2.7374681218540321781227398536
0.001,0.21,0.148,0.006,False,2.7086033282833166978977622490
0.001,0.21,0.149,0.006,False,2.7086033282833166978977622490
0.001,0.21,0.150,0.006,False,2.7086033282833166978977622490
0.001,0.21,0.151,0.006,False,2.7086033282833166978977622490
0.001,0.21,0.152,0.006,False,2.7086033282833166978977622490
0.001,0.21,0.153,0.006,False,2.7086033282833166978977622490
0.019,0.01,0.149,0.006,True,2.7070592586179259040190416172
0.019,0.02,0.149,0.006,True,2.7008719279728109625410606910
0.013,0.02,0.149,0.006,True,2.6865142309918096092361122451
0.014,0.02,0.149,0.006,True,2.6860153747128668034398977876
0.013,0,0.155,0.006,True,2.6783899899365509432399613293
0.013,0,0.156,0.006,True,2.6783297198637827085634063608
0.013,0,0.157,0.006,True,2.6783297198637827085634063608
0.019,0,0.150,0.006,True,2.6687999542521291592292892668
0.014,0,0.154,0.006,True,2.6593893790173443804705217352
0.014,0,0.155,0.006,True,2.6593893790173443804705217352
0.014,0,0.156,0.006,True,2.6593240925528709307011126433
0.014,0,0.157,0.006,True,2.6593240925528709307011126433
0.013,0.01,0.149,0.006,True,2.6545221462693323896948964558
0.013,0,0.149,0.006,True,2.6486811098848639922020432869
0.015,0.01,0.149,0.006,True,2.6417531185056081455842083608
0.015,0,0.149,0.006,True,2.6368723693933274549168400443
0.012,0.03,0.150,0.006,True,2.6364512944246350353959372305
0.030,0.02,0.156,0.006,False,2.6361252976943370635795333889
0.030,0.02,0.154,0.006,False,2.6350293507168337782245381391
0.030,0.02,0.155,0.006,False,2.6343502102107626304846850905
0.014,0.01,0.149,0.006,True,2.6335218110020076659998430270
0.030,0.02,0.157,0.006,False,2.6288833166888998998556771485
0.014,0,0.149,0.006,True,2.6282738302703565826057543697
0.019,0,0.149,0.006,True,2.6266787255181367567669502796
0.013,0.02,0.151,0.006,True,2.6255810544724482423509091693
0.014,0.02,0.151,0.006,True,2.6254311186362705851673365139
0.015,0.02,0.149,0.006,True,2.6251394699633248301730031942
0.029,0.02,0.154,0.006,False,2.6222804217662663420586520022
0.029,0.02,0.155,0.006,False,2.6222804217662663420586520022
0.029,0.02,0.156,0.006,False,2.6214545232837748477512780194
0.029,0.02,0.157,0.006,False,2.6214545232837748477512780194
0.012,0.02,0.150,0.006,True,2.6133782581435610682349106234
0.015,0.01,0.151,0.006,True,2.6124982316377242610728549656
0.015,0.02,0.156,0.006,True,2.6103968746687880460695986607
0.015,0.02,0.157,0.006,True,2.6103968746687880460695986607
0.015,0.02,0.153,0.006,True,2.6085975157282825137641928328
0.015,0.02,0.154,0.006,True,2.6085975157282825137641928328
0.015,0.02,0.155,0.006,True,2.6085975157282825137641928328
0.015,0,0.151,0.006,True,2.6076174825254435704054866491
0.024,0.01,0.144,0.027,True,2.6017762665294778770992775491
0.013,0.02,0.152,0.006,True,2.5987588458401485963023204256
0.013,0.02,0.153,0.006,True,2.5987588458401485963023204256
0.013,0.02,0.154,0.006,True,2.5987588458401485963023204256
0.013,0.02,0.155,0.006,True,2.5987588458401485963023204256
0.013,0.02,0.156,0.006,True,2.5986985757673803616257654571
0.013,0.02,0.157,0.006,True,2.5986985757673803616257654571
0.014,0.02,0.152,0.006,True,2.5986089100039709391187477702
0.014,0.02,0.154,0.006,True,2.5986089100039709391187477702
