StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.036,0.01,0.130,0.005,True,2.7701203202632606649119287111
0,0.01,0.151,0.017,False,2.7015874780270385982902062862
0,0.01,0.150,0.017,False,2.7015874780270385982902062862
0,0.01,0.152,0.017,False,2.7015874780270385982902062862
0,0.01,0.148,0.017,False,2.7005550718483798314413180202
0,0.01,0.149,0.017,False,2.7005550718483798314413180202
0,0.01,0.147,0.017,False,2.7005550718483798314413180202
0.015,0,0.156,0.028,False,2.6966038102103178347646866095
0.021,0.09,0.145,0.029,False,2.6950444316993405354969926987
0.019,0.01,0.160,0.029,False,2.6908282529077711219451471786
0.019,0.01,0.159,0.029,False,2.6908282529077711219451471786
0,0.05,0.132,0.014,False,2.6860692841801743972022793512
0,0.05,0.131,0.014,False,2.6860692841801743972022793512
0.019,0.10,0.133,0.012,False,2.6832831579620928349070473024
0.019,0.10,0.132,0.012,False,2.6832831579620928349070473024
0,0.02,0.150,0.017,False,2.6789008762338317179101989292
0,0.02,0.151,0.017,False,2.6789008762338317179101989292
0,0.02,0.152,0.017,False,2.6789008762338317179101989292
0,0.02,0.149,0.017,False,2.6777300628467048224338023328
0.022,0.09,0.144,0.029,False,2.6686194161983419672366185425
0.019,0,0.158,0.029,False,2.6661809450445661289978934394
0.019,0,0.159,0.029,False,2.6661809450445661289978934394
0.019,0,0.160,0.029,False,2.6661809450445661289978934394
0,0.04,0.154,0.017,False,2.6458565891986358968889039336
0,0.04,0.155,0.017,False,2.6458565891986358968889039336
0.015,0.10,0.152,0.029,False,2.6421800583033052372762506693
0.015,0.10,0.153,0.029,False,2.6421800583033052372762506693
0,0.04,0.139,0.015,False,2.6413806410448088293148659301
0.018,0.01,0.160,0.029,False,2.6342094214067166023025064293
0.015,0,0.156,0.029,False,2.6309569857744121216859707259
0.019,0.01,0.138,0.029,False,2.6136490129228306699272751118
0.019,0.01,0.139,0.029,False,2.6136490129228306699272751118
0.019,0.01,0.140,0.029,False,2.6136490129228306699272751118
0.033,0.01,0.144,0.022,False,2.6129349149065977072627161554
0.010,0.12,0.158,0.028,False,2.6103897353738013087631705028
0.010,0.12,0.160,0.028,False,2.6103897353738013087631705028
