StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0,0.194,0.001,False,2.7609093885480454937148691781
0.028,0,0.198,0.005,False,2.6704899049844512218540381166
0.028,0,0.199,0.005,False,2.6235720341822791179177196017
0.029,0,0.199,0.005,False,2.6180558514754392453341408886
0.029,0,0.198,0.005,False,2.6180558514754392453341408886
0.028,0,0.199,0.006,False,2.6167914564561752449889722254
0.029,0,0.198,0.004,False,2.6130876958704151952236559599
0.029,0,0.199,0.004,False,2.6130876958704151952236559599
0.030,0.02,0.171,0.006,False,2.6091397566859006352515557161
0.030,0,0.199,0.006,False,2.5943780462829337815832923303
0.007,0,0.193,0.001,False,2.5913567568087908055032502258
0.008,0,0.193,0.001,False,2.5907620316759717761163029747
0.030,0,0.199,0.005,False,2.5878696248286585306546948354
0.030,0,0.198,0.005,False,2.5878696248286585306546948354
0.030,0,0.198,0.004,False,2.5835636005192279770595931883
0.030,0,0.199,0.004,False,2.5835636005192279770595931883
0.029,0,0.199,0.006,False,2.5750165436940438227967509984
0.027,0,0.199,0.006,False,2.5647887973356269723773626900
0.028,0,0.198,0.004,False,2.5621556091818211335812412040
0.015,0,0.180,0.028,False,2.5574106153813185066127719964
0.031,0,0.199,0.006,False,2.5516879730472567803842983114
0.031,0,0.198,0.005,False,2.5455411316781854667570473955
0.031,0,0.199,0.005,False,2.5455411316781854667570473955
0.015,0,0.179,0.028,False,2.5419566903819429963579301568
0.031,0,0.199,0.004,False,2.5408377373803523381137549814
0.031,0,0.198,0.004,False,2.5408377373803523381137549814
0.015,0,0.177,0.028,False,2.5244458242565510441540531281
0.015,0,0.178,0.028,False,2.5244458242565510441540531281
0.028,0,0.199,0.004,False,2.5133273547867288513588907445
0.016,0,0.179,0.028,False,2.5096980689286026019346951153
0.032,0,0.198,0.005,False,2.5043848773823432483529966372
0.032,0,0.199,0.005,False,2.5043848773823432483529966372
0.032,0,0.198,0.004,False,2.5000979172074849570444732027
0.032,0,0.199,0.004,False,2.5000979172074849570444732027
0.028,0.01,0.191,0.024,False,2.4931088147973337824467792665
0.016,0,0.176,0.028,False,2.4922315834840080587246996480
0.016,0,0.177,0.028,False,2.4922315834840080587246996480
0.016,0,0.178,0.028,False,2.4922315834840080587246996480
0.016,0,0.180,0.028,False,2.4873222129971151806181598963
0.012,0.03,0.191,0.017,False,2.4855333489529602009723802982
0.012,0.03,0.193,0.017,False,2.4855333489529602009723802982
0.012,0.03,0.194,0.017,False,2.4855333489529602009723802982
0.012,0.03,0.192,0.017,False,2.4855333489529602009723802982
0.024,0,0.195,0.024,False,2.4773168810432406096020854754
0.010,0,0.177,0.032,False,2.4766193602443167164267000917
0.028,0.01,0.193,0.024,False,2.4730801406889142862977347006
0.028,0.01,0.192,0.024,False,2.4730801406889142862977347006
0.028,0.01,0.193,0.025,False,2.4723642165764860588508881551
0.028,0.01,0.194,0.025,False,2.4723642165764860588508881551
0.028,0.01,0.192,0.025,False,2.4723642165764860588508881551
0.028,0,0.199,0.009,False,2.4705959113016462053526483074
0.021,0,0.173,0.020,False,2.4675825695924927124294600498
0.028,0,0.198,0.008,False,2.4604102761275017145619458787
0.028,0,0.199,0.008,False,2.4604102761275017145619458787
0.028,0,0.197,0.008,False,2.4604102761275017145619458787
0.010,0.02,0.178,0.033,False,2.4574794487935212878353058637
0.010,0.02,0.177,0.033,False,2.4574794487935212878353058637
0.012,0.02,0.192,0.017,False,2.4547434514826653664307326269
0.012,0.02,0.193,0.017,False,2.4547434514826653664307326269
0.012,0.02,0.194,0.017,False,2.4547434514826653664307326269
0.010,0.01,0.177,0.033,False,2.4522761982521160605733028934
0.010,0.01,0.178,0.033,False,2.4522761982521160605733028934
0.028,0.01,0.195,0.026,False,2.4507217544750330978624284771
0.027,0,0.198,0.005,False,2.4503340363202517290954907488
0.027,0,0.199,0.005,False,2.4503340363202517290954907488
0.026,0,0.199,0.006,False,2.4494398232445969337193785844
0.028,0,0.196,0.006,False,2.4487108961808020569050681929
0.028,0,0.197,0.006,False,2.4487108961808020569050681929
0.028,0,0.198,0.006,False,2.4487108961808020569050681929
0.025,0,0.199,0.006,False,2.4477042862343232138000518417
0.024,0,0.199,0.040,True,2.4450690949766273844088810051
0.028,0,0.197,0.005,False,2.4390155777746879844607567836
0.017,0,0.179,0.028,False,2.4367275929413515571901342419
0.030,0,0.192,0.012,True,2.4327041289746119074765211977
0.024,0,0.199,0.039,True,2.4318217641917067178953998645
0.032,0.02,0.199,0.040,True,2.4278959383482511851269759893
0.030,0.03,0.171,0.006,False,2.4269157055146753723056266869
0.027,0,0.199,0.009,False,2.4266646887747882471918505217
0.010,0.02,0.161,0.001,False,2.4256036310328005296618161378
0.010,0.02,0.162,0.001,False,2.4256036310328005296618161378
0.010,0.02,0.163,0.001,False,2.4256036310328005296618161378
0.010,0.02,0.164,0.001,False,2.4256036310328005296618161378
0.017,0,0.177,0.028,False,2.4193055897013551353990491720
0.017,0,0.178,0.028,False,2.4193055897013551353990491720
0.017,0,0.176,0.028,False,2.4193055897013551353990491720
0.025,0,0.195,0.024,False,2.4181253784560627317562266473
0.013,0.03,0.193,0.017,False,2.4162068943776414379908512338
0.013,0.03,0.194,0.017,False,2.4162068943776414379908512338
0.013,0.03,0.192,0.017,False,2.4162068943776414379908512338
0.013,0.03,0.191,0.017,False,2.4162068943776414379908512338
0.017,0,0.180,0.028,False,2.4158846384290917739296475465
0.024,0,0.198,0.040,True,2.4131146163920838629199154455
0.024,0.01,0.199,0.040,True,2.4113096570236205815016688302
0.011,0,0.179,0.029,False,2.4095487834359540421948265794
0.010,0.02,0.178,0.034,False,2.4037328222298402482928986071
0.014,0,0.183,0.028,False,2.4001154136989345024286493115
0.014,0,0.177,0.029,False,2.3996683146040906540702533326
0.014,0,0.179,0.029,False,2.3996683146040906540702533326
0.014,0,0.178,0.029,False,2.3996683146040906540702533326
0.013,0,0.175,0.032,False,2.3983932201219007357678088471
0.013,0,0.182,0.028,False,2.3983400300870191164702131858
0.010,0.01,0.178,0.034,False,2.3971831363478959664470975421
0.013,0,0.177,0.032,False,2.3954898512939478374674561382
0.013,0,0.176,0.032,False,2.3954898512939478374674561382
0.024,0,0.196,0.024,False,2.3954384161857842631329024761
0.011,0.02,0.178,0.033,False,2.3907096408046410689750604091
0.011,0.02,0.177,0.033,False,2.3907096408046410689750604091
0.019,0,0.173,0.029,False,2.3864917634511996257732551828
0.011,0.01,0.177,0.033,False,2.3840354736652948669730464544
0.011,0.01,0.178,0.033,False,2.3840354736652948669730464544
0.013,0.02,0.194,0.017,False,2.3834148541109531017539304564
0.013,0.02,0.192,0.017,False,2.3834148541109531017539304564
0.013,0.02,0.193,0.017,False,2.3834148541109531017539304564
0.024,0.01,0.163,0.005,False,2.3815560616025699867907759581
0.024,0.01,0.164,0.005,False,2.3806281615119302797860041228
0.024,0,0.193,0.024,False,2.3797244172511623437614304620
0.024,0,0.194,0.024,False,2.3797244172511623437614304620
0.024,0.02,0.165,0.005,False,2.3776916562463278553573812575
0.024,0.02,0.164,0.005,False,2.3770980204710470616473446184
0.038,0.23,0.161,0.020,False,2.3766146749238566159140770039
0.014,0,0.180,0.029,False,2.3735764729935458815618701161
0.012,0.05,0.197,0.014,False,2.3727178580030998712040442613
0.012,0.05,0.199,0.014,False,2.3727178580030998712040442613
0.012,0.05,0.198,0.014,False,2.3727178580030998712040442613
0.016,0,0.173,0.029,False,2.3711332745067418581275768875
0.010,0,0.181,0.031,False,2.3706744473509589210922682543
0.027,0,0.199,0.004,False,2.3675488626447533842151580607
0.014,0,0.182,0.029,False,2.3674041438991966201094462825
0.014,0,0.181,0.029,False,2.3674041438991966201094462825
0.027,0.02,0.177,0.004,False,2.3666366083592342905480249430
0.015,0,0.178,0.029,False,2.3642741010327971690965150558
0.015,0,0.177,0.029,False,2.3642741010327971690965150558
0.015,0,0.179,0.029,False,2.3642741010327971690965150558
0.025,0.01,0.199,0.040,True,2.3615302834132275719513647389
0.026,0,0.195,0.024,False,2.3589936985859018411105046015
0.025,0,0.199,0.040,True,2.3521431353664434674163998264
0.026,0.01,0.199,0.040,True,2.3518723137470163694505759573
0.025,0,0.198,0.024,False,2.3449167626776467120678846152
0.025,0,0.199,0.024,False,2.3449167626776467120678846152
0.024,0,0.195,0.026,False,2.3370696521531672083865376462
0.025,0,0.196,0.024,False,2.3332540381352671802306425693
0.025,0,0.197,0.024,False,2.3305552098054518805917052443
0.025,0,0.194,0.024,False,2.3204193811689325604899739001
0.025,0,0.192,0.024,False,2.3204193811689325604899739001
0.025,0,0.193,0.024,False,2.3204193811689325604899739001
0.010,0,0.181,0.030,False,2.3191545763096974173457184367
0.019,0.04,0.173,0.029,False,2.3002216888290338637935443822
0.015,0,0.180,0.029,False,2.2947525163295388976755516447
0.016,0,0.178,0.029,False,2.2911310544289035059562148908
0.016,0,0.177,0.029,False,2.2911310544289035059562148908
0.016,0,0.179,0.029,False,2.2911310544289035059562148908
0.015,0,0.182,0.029,False,2.2885767663419566013411964649
0.015,0,0.181,0.029,False,2.2885767663419566013411964649
