Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/05/15,0.001,0,0.117,0.006,True,False,False,True,0.7766193725816589504246794442,0.7766193725816589504246794442,0.0000000000000000000000000000,0.0000000000000000000000000000
06/10/15,0.001,0.01,0.121,0.006,True,False,False,True,0.8075338954394650296105060169,0.8030737741388965276177829557,-0.0044601213005685019927230612,0.0264544015572375771931035115
06/11/15,0.001,0,0.117,0.006,True,False,False,True,0.8102013578880055796491443242,0.8000263879319575221029985094,-0.0101749699560480575461458148,0.0189468940497300696855960040
08/10/15,0,0,0.150,0.017,False,False,False,True,0.9028786092125760190756400057,0.8878659369828609965039782366,-0.0150126722297150225716617691,0.0966114731445854865404299164
08/11/15,0.001,0,0.117,0.006,True,False,False,True,0.8960924599152662818504400536,0.8869134423040128840974106879,-0.0091790176112533977530293657,0.0806463062360223515622005986
08/20/15,0,0,0.150,0.017,False,False,False,True,0.8956217151632291395400812249,0.8860084263018209036991795494,-0.0096132888614082358409016755,0.0705622726225769734109400944
02/22/16,0,0.01,0.153,0.017,False,False,False,True,1.3086589411501973368394288561,1.2470390556043346028646025962,-0.0616198855458627339748262599,0.4219796130636824367354614657
04/27/16,0.012,0.10,0.154,0.029,False,False,False,True,1.4454850490035483336974907315,1.4187164951561125466060505764,-0.0267685538474357870914401551,0.5320371670695976465020831860
06/27/16,0,0.01,0.153,0.017,False,False,False,True,1.4849750024793766894878033801,1.4750339163260169172056566761,-0.0099410861533597722821467040,0.5615860343920662300102491306
06/28/16,0.012,0.10,0.154,0.029,False,False,False,True,1.4846229574219073281645607857,1.4741808621555524797730770886,-0.0104420952663548483914836971,0.5507918940682420202955228391
07/04/16,0,0.01,0.153,0.017,False,False,False,True,1.4764938922249433818548041511,1.4538118279800477252209309268,-0.0226820642448956566338732243,0.5199807646263824173518929802
08/18/16,0.010,0.05,0.150,0.006,True,True,True,True,1.6036870521623005821651206431,1.5942737455899428588368680560,-0.0094133065723577233282525871,0.6377606179913818943339568851
08/22/16,0,0.01,0.153,0.017,False,False,False,True,1.6100267386586259086163261530,1.5894986299148544981696609382,-0.0205281087437714104466652148,0.6235721957439358103384971802
10/17/16,0.008,0.19,0.141,0.029,False,False,False,True,1.7647833148652118879717902010,1.6992285896163249467187772274,-0.0655547252488869412530129736,0.7127740467016348484409482546
11/15/16,0.012,0.18,0.146,0.029,False,False,False,True,2.1751273119982732197196990835,2.1506622689386511353936603072,-0.0244650430596220843260387763,1.0986530007750740958628183608
11/16/16,0.008,0.19,0.141,0.029,False,False,False,True,2.1729980884990269690200352894,2.1380325489060038930364073129,-0.0349655395930230759836279765,1.0615582376828047691795265902
11/18/16,0.012,0.18,0.146,0.029,False,False,False,True,2.1904016262127370601187015772,2.1338259465804987167204295076,-0.0565756796322383433982720696,1.0223860957642765168799208084
11/22/16,0.008,0.19,0.141,0.029,False,False,False,True,2.2427402719360311482154000244,2.1196410277089964117396492082,-0.1230992442270347364757508162,0.9516254972605358685008684394
11/29/16,0.012,0.18,0.146,0.029,False,False,False,True,2.1804265638685974092458836221,2.1751023947247928547710712003,-0.0053241691438045544748124218,0.8839876200492975750565396153
12/07/16,0.010,0.18,0.151,0.030,False,False,False,True,2.2979981536511961671538407034,2.2279331905788965633764134938,-0.0700649630722996037774272096,0.9314942467595967291870694870
12/26/16,0,0.01,0.153,0.017,False,False,False,True,2.2495073738407671026143985238,2.2228601122121910079476852644,-0.0266472616285760946667132594,0.8563562053205915699809140480
01/10/17,0.003,0.20,0.124,0.008,False,True,False,True,2.1868922843152209371583775880,2.1771213148595338586465701056,-0.0097709694556870785118074824,0.7839701463393583260130856298
01/11/17,0,0.01,0.153,0.017,False,False,False,True,2.1928241107231876311475275931,2.1690894184880390005539485823,-0.0237346922351486305935790108,0.7661672805121763894086566241
01/13/17,0.012,0.18,0.146,0.029,False,False,False,True,2.2052734565858637711496470056,2.1805682700491163940736095540,-0.0247051865367473770760374516,0.7539114398381051523347385850
01/17/17,0.010,0.01,0.150,0.006,True,True,True,True,2.2844871217757086070989925073,2.1620014457046803088383040666,-0.1224856760710282982606884407,0.7106394289569216900233956460
02/08/17,0.003,0.20,0.124,0.008,False,True,False,True,2.3226459365524484492739111446,2.3195814613983501165329547714,-0.0030644751540983327409563732,0.7457337685795631994573579101
02/09/17,0.010,0.01,0.150,0.006,True,True,True,True,2.3520342915870293618159736394,2.3414149873827728018722539683,-0.0106193042042565599437196711,0.7645028194098875520557007338
03/07/17,0,0.04,0.126,0.015,False,False,False,True,2.4436481202774427585762934407,2.4416791470840187617224625826,-0.0019689731934239968538308581,0.8541476749068769519621896770
03/09/17,0.010,0.01,0.150,0.006,True,True,True,True,2.4347320224217262105839060407,2.4271307848664571722887983102,-0.0076012375552690382951077305,0.8376303394958913656746945465
03/10/17,0,0.04,0.126,0.015,False,False,False,True,2.4100963837397303735713490279,2.4047418459680633079139985820,-0.0053545377716670656573504459,0.8076401630422284630047870878
03/13/17,0,0.03,0.134,0.015,False,False,False,True,2.4377002954280394879115568868,2.4111733068166534504944259510,-0.0265269886113860374171309358,0.8087170861191515399278640109
03/17/17,0.003,0.21,0.132,0.008,False,True,False,True,2.4038866650945019692699293729,2.4015498740549536873026938656,-0.0023367910395482819672355073,0.7725666647460657393190009897
