StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.004,0,0.191,0.002,False,1.2918226051234952991527987042
0.004,0.01,0.191,0.002,False,1.2836344795154958667773697527
0.009,0,0.191,0.003,False,1.2766686516029967053893248560
0.009,0,0.191,0.002,False,1.2745361504459698756403182693
0.005,0,0.191,0.002,False,1.2719604727323691322479877621
0.004,0.02,0.191,0.003,False,1.2706807245150124652201324965
0.004,0.02,0.191,0.002,False,1.2685427086634224554799263692
0.005,0.01,0.191,0.002,False,1.2637881160200942959236278112
0.010,0,0.191,0.003,False,1.2636115481746220022524405395
0.010,0,0.191,0.002,False,1.2614743708277822513014210707
0.012,0,0.191,0.002,False,1.2598194547817412428179982910
0.012,0,0.191,0.003,False,1.2597784949864628917657861536
0.006,0,0.191,0.002,False,1.2566026746133644019160649824
0.011,0,0.191,0.003,False,1.2525060020743777739792921594
0.004,0,0.191,0.003,False,1.2515131005696444844503949514
0.005,0.02,0.191,0.002,False,1.2504512806371733059906196186
0.011,0,0.191,0.002,False,1.2503647506345644803801073295
0.013,0,0.191,0.002,False,1.2490573905755777035674871430
0.013,0,0.191,0.003,False,1.2490182027343461910582228155
0.006,0.01,0.191,0.002,False,1.2477855389522000154747689398
0.006,0,0.191,0.016,False,1.2450056916884667922898508949
0.003,0,0.191,0.003,False,1.2422153312370595065533661936
0.012,0.01,0.191,0.002,False,1.2421084117724974339962946888
0.006,0,0.191,0.003,False,1.2418189525280112597437182805
0.004,0.01,0.191,0.003,False,1.2395424920245125354714923415
0.012,0.01,0.191,0.003,False,1.2392831645199545264428848288
0.014,0,0.191,0.002,False,1.2379514289832928896595020603
0.014,0,0.191,0.003,False,1.2379145994485287925633245441
0.007,0,0.191,0.016,False,1.2376718492126838056798011141
0.003,0,0.191,0.002,False,1.2374024443814964666211637894
0.009,0,0.191,0.023,False,1.2373439125110055901945610938
0.006,0.01,0.191,0.016,False,1.2353429682657937537311378871
0.004,0,0.191,0.012,True,1.2349246257341266719538394162
0.006,0.02,0.191,0.002,False,1.2344711164824575237631151556
