StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.008,0,0.102,0.019,False,1.1607708447252292226252560978
0.008,0.01,0.102,0.019,False,1.1537926258135302224524238447
0.008,0,0.103,0.019,False,1.1508949663972249182938515189
0.008,0.02,0.102,0.019,False,1.1485292570709666264332045311
0.008,0.01,0.103,0.019,False,1.1452670914318471596947553580
0.008,0.02,0.103,0.019,False,1.1413503706571242100925332912
0.008,0.03,0.102,0.019,False,1.1411422695193415019281464339
0.008,0.03,0.103,0.019,False,1.1340314500373437252172401200
0.008,0.04,0.102,0.019,False,1.1284225651286529463011939543
0.008,0.04,0.103,0.019,False,1.1284225651286529463011939543
0.008,0.16,0.109,0.012,False,1.0525879291158016100656601106
0.008,0.16,0.110,0.012,False,1.0525879291158016100656601106
0.010,0.25,0.106,0.017,False,1.0412774915614005599560964165
0.009,0.05,0.101,0.040,False,1.0370468971057503141013353125
0.009,0.05,0.102,0.040,False,1.0370468971057503141013353125
0.009,0.05,0.103,0.040,False,1.0370468971057503141013353125
0.008,0.11,0.107,0.012,False,1.0296882967807945556292837895
0.010,0.25,0.108,0.017,False,1.0246311814036731268104197437
0.010,0.25,0.109,0.017,False,1.0246311814036731268104197437
0.016,0.17,0.109,0.002,False,1.0230596513511159447536280405
0.016,0.17,0.110,0.002,False,1.0230596513511159447536280405
0.010,0.05,0.101,0.040,False,1.0228171283139120013203443939
0.010,0.05,0.102,0.040,False,1.0228171283139120013203443939
0.010,0.05,0.103,0.040,False,1.0228171283139120013203443939
0.010,0.26,0.108,0.017,False,1.0187529180010922028552461068
0.010,0.26,0.109,0.017,False,1.0187529180010922028552461068
0.002,0.18,0.109,0.002,False,1.0165869416037880919829038945
0.002,0.18,0.110,0.002,False,1.0165869416037880919829038945
0.002,0.18,0.104,0.002,False,1.0146003358722210317043052751
0.002,0.18,0.105,0.002,False,1.0146003358722210317043052751
0.002,0.18,0.106,0.002,False,1.0146003358722210317043052751
0.002,0.18,0.107,0.002,False,1.0146003358722210317043052751
0.010,0.26,0.106,0.017,False,1.0144549778229741436115631426
0.003,0.23,0.102,0.002,False,1.0124800540158213561288994515
0.003,0.23,0.103,0.002,False,1.0124800540158213561288994515
0.003,0.23,0.104,0.002,False,1.0124800540158213561288994515
0.003,0.23,0.105,0.002,False,1.0124800540158213561288994515
0.003,0.23,0.106,0.002,False,1.0124800540158213561288994515
0.003,0.23,0.107,0.002,False,1.0124800540158213561288994515
0.010,0.25,0.107,0.017,False,1.0116679404537923889816561156
0.010,0.06,0.101,0.040,False,1.0111353112612118156108702501
0.011,0.03,0.103,0.015,False,1.0110173970581575549641696800
0.009,0.05,0.101,0.039,False,1.0109347689875808616398329912
0.009,0.05,0.102,0.039,False,1.0109347689875808616398329912
0.009,0.05,0.103,0.039,False,1.0109347689875808616398329912
0.011,0.05,0.101,0.040,False,1.0090592662903257211211212582
0.011,0.05,0.102,0.040,False,1.0090592662903257211211212582
0.011,0.05,0.103,0.040,False,1.0090592662903257211211212582
0.003,0.24,0.102,0.002,False,1.0067304119499106009856413754
0.003,0.24,0.103,0.002,False,1.0067304119499106009856413754
0.003,0.24,0.104,0.002,False,1.0067304119499106009856413754
0.003,0.24,0.105,0.002,False,1.0067304119499106009856413754
0.003,0.24,0.106,0.002,False,1.0067304119499106009856413754
0.003,0.24,0.107,0.002,False,1.0067304119499106009856413754
0.008,0.16,0.107,0.012,False,1.0046871171773378898048100977
0.009,0.01,0.103,0.015,False,1.0019133550798757207767187487
0.011,0.06,0.101,0.040,False,0.9973731305333923017056883533
0.009,0.02,0.103,0.015,False,0.9973069308884654859366499786
0.015,0.17,0.109,0.002,False,0.9969829910801384430452380140
0.015,0.17,0.110,0.002,False,0.9969829910801384430452380140
0.003,0.23,0.108,0.002,False,0.9952013417950443887928911068
0.003,0.23,0.109,0.002,False,0.9952013417950443887928911068
0.003,0.23,0.110,0.002,False,0.9952013417950443887928911068
0.002,0.18,0.108,0.002,False,0.9917058861444940928681474703
0.006,0.27,0.108,0.021,False,0.9912343948888432523959426290
0.006,0.27,0.109,0.021,False,0.9912343948888432523959426290
0.003,0.24,0.108,0.002,False,0.9911695991300614912686873160
0.003,0.24,0.109,0.002,False,0.9911695991300614912686873160
0.003,0.24,0.110,0.002,False,0.9911695991300614912686873160
0.002,0.19,0.104,0.002,False,0.9909858461187980018348284231
0.002,0.19,0.105,0.002,False,0.9909858461187980018348284231
0.002,0.19,0.106,0.002,False,0.9909858461187980018348284231
0.002,0.19,0.107,0.002,False,0.9909858461187980018348284231
0.012,0.05,0.101,0.040,False,0.9906701612915121682769247930
0.012,0.05,0.102,0.040,False,0.9906701612915121682769247930
0.012,0.05,0.103,0.040,False,0.9906701612915121682769247930
0.009,0.03,0.103,0.015,False,0.9905110639737086938573647207
0.002,0.17,0.109,0.002,False,0.9904707986593332953477123259
0.002,0.17,0.110,0.002,False,0.9904707986593332953477123259
0.011,0.03,0.101,0.015,False,0.9902341412451857568038797275
0.011,0.03,0.102,0.015,False,0.9901755454426211519656190002
0.010,0.20,0.108,0.017,False,0.9893701771794299434342946860
0.002,0.17,0.106,0.002,False,0.9883693379532313164421246059
0.002,0.17,0.107,0.002,False,0.9883693379532313164421246059
0.006,0.26,0.108,0.021,False,0.9873367712153858283424219075
0.006,0.26,0.109,0.021,False,0.9873367712153858283424219075
0.010,0.26,0.107,0.017,False,0.9864581076364571207527720843
0.010,0.17,0.107,0.010,False,0.9847581922303686068080443409
0.010,0.20,0.109,0.017,False,0.9823717199673237414089250577
0.012,0.06,0.101,0.040,False,0.9809171329743145945293206649
0.017,0.17,0.109,0.002,False,0.9781767838320839493451239778
0.017,0.17,0.110,0.002,False,0.9781767838320839493451239778
0.008,0.16,0.108,0.012,False,0.9760715599269229274811639138
0.013,0.05,0.101,0.040,False,0.9742383161138002198766756964
0.013,0.05,0.102,0.040,False,0.9742383161138002198766756964
0.013,0.05,0.103,0.040,False,0.9742383161138002198766756964
0.004,0.21,0.102,0.002,False,0.9738762492755482190996155175
0.004,0.21,0.103,0.002,False,0.9738762492755482190996155175
0.004,0.21,0.104,0.002,False,0.9738762492755482190996155175
0.004,0.21,0.105,0.002,False,0.9738762492755482190996155175
0.004,0.21,0.106,0.002,False,0.9738762492755482190996155175
0.004,0.21,0.107,0.002,False,0.9738762492755482190996155175
0.006,0.27,0.104,0.021,False,0.9735430826925881336562480902
0.006,0.27,0.105,0.021,False,0.9735430826925881336562480902
0.006,0.27,0.106,0.021,False,0.9735430826925881336562480902
0.006,0.27,0.107,0.021,False,0.9735430826925881336562480902
0.010,0.02,0.101,0.015,False,0.9716150937244601394208378197
0.010,0.02,0.102,0.015,False,0.9715709160046892113081767394
0.002,0.19,0.108,0.002,False,0.9689078298051640444119070942
0.002,0.20,0.104,0.002,False,0.9686658215271093773649196131
0.002,0.20,0.105,0.002,False,0.9686658215271093773649196131
