StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.008,0,0.102,0.019,False,1.1607708447252292226252560978
0.008,0.01,0.103,0.019,False,1.1529176144167421524552914508
0.008,0.02,0.102,0.019,False,1.1509137396019603061581311729
0.008,0.02,0.103,0.019,False,1.1509137396019603061581311729
0.008,0,0.103,0.019,False,1.1508949663972249182938515189
0.008,0.01,0.102,0.019,False,1.1035914679698020780355543306
0.009,0,0.101,0.007,False,1.0796533801606607385264795499
0.008,0.04,0.101,0.019,False,1.0783322784299347896473932379
0.008,0.04,0.102,0.019,False,1.0692123215402438915593572969
0.008,0.04,0.103,0.019,False,1.0692123215402438915593572969
0.013,0.02,0.101,0.007,False,1.0605007719700468228000886512
0.010,0,0.101,0.007,False,1.0542049929891221788306084489
0.009,0.01,0.101,0.007,False,1.0450318666380701969455035779
0.008,0.03,0.101,0.019,False,1.0388376633304638854704056534
0.008,0,0.101,0.007,False,1.0351934476505825151662080520
0.009,0.02,0.101,0.007,False,1.0340004422737407275735036759
0.008,0.03,0.102,0.019,False,1.0297177064407729873823697124
0.008,0.03,0.103,0.019,False,1.0297177064407729873823697124
0.011,0,0.101,0.007,False,1.0284275415082346125835711146
0.010,0.03,0.101,0.007,False,1.0250761062955704469565930732
0.010,0.02,0.101,0.007,False,1.0240345907706537481032597080
0.010,0.01,0.101,0.007,False,1.0213374686455145294845300085
0.008,0.09,0.107,0.012,False,1.0075761681701625728232005902
0.013,0,0.101,0.007,False,1.0014426594417743784538037630
0.008,0.01,0.101,0.007,False,0.9988194967347650653830406254
0.011,0.01,0.101,0.007,False,0.9973155622203332416345340085
0.011,0.03,0.101,0.007,False,0.9966941521380810547041014934
0.011,0.02,0.101,0.007,False,0.9958053330232944828432465356
0.012,0,0.101,0.007,False,0.9951901734692899533431267312
0.006,0.04,0.103,0.002,False,0.9925868390505489023962871017
0.009,0.03,0.101,0.007,False,0.9914079839406503924708634575
0.012,0.02,0.101,0.007,False,0.9888061433195091646345027691
0.012,0.03,0.101,0.007,False,0.9798670254323392353191827996
0.005,0.03,0.101,0.002,False,0.9792566013428104154206620235
0.005,0.03,0.102,0.002,False,0.9792566013428104154206620235
0.005,0.03,0.103,0.002,False,0.9792566013428104154206620235
0.005,0.04,0.101,0.002,False,0.9779256193209642274974592508
0.005,0.04,0.102,0.002,False,0.9779256193209642274974592508
0.005,0.04,0.103,0.002,False,0.9779256193209642274974592508
0.008,0.04,0.101,0.040,False,0.9738682411362571078858134437
0.008,0.04,0.102,0.040,False,0.9738682411362571078858134437
0.008,0.04,0.103,0.040,False,0.9738682411362571078858134437
0.013,0.01,0.101,0.007,False,0.9738458491634775012023317164
0.012,0.01,0.101,0.007,False,0.9658346951370362424440578736
0.009,0.04,0.101,0.040,False,0.9623926121272416443673065978
0.009,0.04,0.102,0.040,False,0.9623926121272416443673065978
0.009,0.04,0.103,0.040,False,0.9623926121272416443673065978
0.014,0.04,0.102,0.031,True,0.9622274996849756119039084513
0.008,0.12,0.107,0.012,False,0.9620903395270797652882936127
0.008,0,0.103,0.040,False,0.9542406912308512473065140521
0.008,0.04,0.107,0.040,False,0.9518071963862140474146485946
0.014,0.04,0.103,0.031,True,0.9516968613408623474403202045
0.008,0.13,0.110,0.012,False,0.9509812222833336218694411986
0.010,0.04,0.101,0.040,False,0.9435523888375677492080329819
0.010,0.04,0.102,0.040,False,0.9435523888375677492080329819
0.010,0.04,0.103,0.040,False,0.9435523888375677492080329819
0.007,0.02,0.108,0.013,True,0.9427405493600114277516254814
0.007,0.02,0.109,0.013,True,0.9427405493600114277516254814
0.006,0,0.105,0.014,True,0.9424563728522979330398420317
0.006,0.04,0.101,0.002,False,0.9407629130416089642432676112
0.006,0.04,0.102,0.002,False,0.9407629130416089642432676112
0.009,0,0.103,0.040,False,0.9382735547614017103156254280
0.005,0.01,0.105,0.010,True,0.9369583694711488683966159139
0.008,0.12,0.108,0.012,False,0.9354119386128232611180193894
0.008,0.13,0.108,0.012,False,0.9354119386128232611180193894
0.008,0.13,0.109,0.012,False,0.9354119386128232611180193894
0.008,0.12,0.109,0.012,False,0.9354119386128232611180193894
0.008,0.02,0.108,0.013,True,0.9349702679884015653322583254
0.008,0.02,0.109,0.013,True,0.9349702679884015653322583254
0.006,0.07,0.110,0.022,True,0.9343010065622410862131632043
0.006,0,0.107,0.014,True,0.9338582864808726738737443010
0.008,0.04,0.101,0.039,False,0.9324909776093777260602895205
0.008,0.04,0.102,0.039,False,0.9324909776093777260602895205
0.008,0.04,0.103,0.039,False,0.9324909776093777260602895205
0.005,0.02,0.105,0.010,True,0.9323006667234648249144703532
0.006,0,0.108,0.014,True,0.9315982404949463517727648983
0.006,0,0.109,0.014,True,0.9315982404949463517727648983
0.015,0.04,0.102,0.031,True,0.9309327774905818617982388923
0.015,0.04,0.103,0.031,True,0.9309327774905818617982388923
0.006,0.01,0.107,0.014,True,0.9307837373059268319116409382
0.011,0.04,0.101,0.040,False,0.9303538639353335898292406206
0.011,0.04,0.102,0.040,False,0.9303538639353335898292406206
0.011,0.04,0.103,0.040,False,0.9303538639353335898292406206
0.008,0.11,0.107,0.012,False,0.9292887240607535034066237899
0.006,0.01,0.108,0.014,True,0.9285236913200005098106615355
0.006,0.01,0.109,0.014,True,0.9285236913200005098106615355
0.008,0.04,0.107,0.039,False,0.9275643891361984445228939377
0.015,0.04,0.101,0.027,False,0.9270033526994648358587475815
0.008,0.05,0.104,0.017,False,0.9250641407923306085456261117
0.008,0.05,0.105,0.017,False,0.9244919144369059162392679737
0.008,0.05,0.106,0.017,False,0.9244919144369059162392679737
0.008,0.05,0.107,0.017,False,0.9244919144369059162392679737
0.009,0.04,0.101,0.005,False,0.9237116713206960424494546753
0.009,0.04,0.102,0.005,False,0.9237116713206960424494546753
0.006,0.08,0.110,0.022,True,0.9226692273213315008534581174
0.009,0.05,0.101,0.005,False,0.9216541493582093037120407062
0.009,0.05,0.102,0.005,False,0.9216541493582093037120407062
0.010,0,0.103,0.040,False,0.9205538432715071892300067089
0.006,0.02,0.107,0.014,True,0.9197524504629802480498343011
0.009,0.04,0.101,0.039,False,0.9185451174673246301927210628
0.009,0.04,0.102,0.039,False,0.9185451174673246301927210628
0.009,0.04,0.103,0.039,False,0.9185451174673246301927210628
0.007,0.02,0.105,0.013,True,0.9182807007145566118729069407
0.006,0.02,0.108,0.014,True,0.9174924044770539259488548984
0.006,0.02,0.109,0.014,True,0.9174924044770539259488548984
0.008,0.05,0.107,0.012,False,0.9167182803573386985191529847
0.005,0.01,0.108,0.010,True,0.9164123415089836566677898153
0.005,0.02,0.108,0.010,True,0.9164123415089836566677898153
0.005,0.01,0.109,0.010,True,0.9164123415089836566677898153
0.005,0.02,0.109,0.010,True,0.9164123415089836566677898153
0.009,0.04,0.103,0.005,False,0.9150482383603075465590292261
0.009,0.05,0.104,0.032,False,0.9146377189189952675794757259
0.009,0.02,0.102,0.007,False,0.9145384781880356630591188147
0.009,0.02,0.103,0.007,False,0.9145384781880356630591188147
0.006,0.01,0.105,0.011,True,0.9144427330268123269509738721
0.008,0.06,0.104,0.017,False,0.9143243817358570669417721788
0.008,0.07,0.104,0.017,False,0.9143243817358570669417721788
0.009,0.01,0.102,0.007,False,0.9139860675185408094503912984
0.009,0.01,0.103,0.007,False,0.9139860675185408094503912984
0.008,0.07,0.105,0.017,False,0.9137521553804323746354140408
0.008,0.06,0.105,0.017,False,0.9137521553804323746354140408
0.008,0.06,0.106,0.017,False,0.9137521553804323746354140408
0.008,0.07,0.106,0.017,False,0.9137521553804323746354140408
0.008,0.06,0.107,0.017,False,0.9137521553804323746354140408
0.008,0.07,0.107,0.017,False,0.9137521553804323746354140408
0.012,0.04,0.101,0.040,False,0.9136143739582698395975499039
0.012,0.04,0.102,0.040,False,0.9136143739582698395975499039
0.012,0.04,0.103,0.040,False,0.9136143739582698395975499039
0.009,0.05,0.103,0.005,False,0.9129907163978208078216152570
0.008,0,0.103,0.039,False,0.9128670248866583853985906641
0.008,0.12,0.110,0.012,False,0.9125125991665794090318894430
0.009,0.05,0.105,0.032,False,0.9124893802641916515392609220
0.009,0.05,0.106,0.032,False,0.9124893802641916515392609220
0.009,0.05,0.101,0.032,False,0.9115231742957132851621410927
0.009,0.05,0.102,0.032,False,0.9115231742957132851621410927
0.009,0.05,0.103,0.032,False,0.9115231742957132851621410927
0.006,0.02,0.105,0.011,True,0.9097922650478388299775160339
0.005,0.01,0.106,0.010,True,0.9097493805627342457999157278
0.005,0.02,0.106,0.010,True,0.9097493805627342457999157278
0.005,0.01,0.107,0.010,True,0.9097493805627342457999157278
0.005,0.02,0.107,0.010,True,0.9097493805627342457999157278
0.013,0.04,0.101,0.007,False,0.9096440971924311278196899335
0.008,0.01,0.103,0.040,False,0.9095330837740354248038244227
0.008,0.04,0.106,0.022,True,0.9094015798749221504503208420
0.008,0.04,0.107,0.022,True,0.9094015798749221504503208420
0.007,0.02,0.104,0.013,True,0.9086220750158363410899649104
0.008,0.02,0.101,0.040,False,0.9075292089592535785066641448
0.008,0.02,0.102,0.040,False,0.9075292089592535785066641448
0.008,0.02,0.103,0.040,False,0.9075292089592535785066641448
0.016,0.04,0.101,0.031,True,0.9067524783796968498007807657
0.016,0.04,0.102,0.031,True,0.9067524783796968498007807657
0.016,0.04,0.103,0.031,True,0.9067524783796968498007807657
0.015,0,0.101,0.027,False,0.9053670393513584410075811960
0.007,0.13,0.110,0.012,False,0.9053154445244503076279586665
0.011,0,0.103,0.040,False,0.9049860505775746372251497819
0.007,0,0.105,0.014,True,0.9047627444158473280088450416
0.008,0.03,0.101,0.040,False,0.9045275502560832606678240548
0.008,0.03,0.102,0.040,False,0.9045275502560832606678240548
0.008,0.03,0.103,0.040,False,0.9045275502560832606678240548
