StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0,0.098,0.015,False,2.2461362632838605430299336410
0.012,0,0.099,0.015,False,2.2461362632838605430299336410
0.013,0,0.098,0.015,False,2.2133323674392318922656138971
0.013,0,0.099,0.015,False,2.2133323674392318922656138971
0.013,0,0.097,0.015,False,2.1695822494703006253609746197
0.013,0,0.096,0.015,False,2.1473750832511173877585230030
0.018,0,0.099,0.024,False,2.0620055610260981619670955971
0.013,0,0.095,0.015,False,2.0426841375091969480464971605
0.012,0,0.100,0.015,False,2.0100289944804829347130310995
0.018,0,0.098,0.024,False,1.9995369936423772785537517821
0.013,0.20,0.098,0.008,False,1.9982009318482249638175746106
0.013,0,0.100,0.015,False,1.9777591038638930480201630892
0.011,0,0.098,0.015,False,1.9718924900149378115745050153
0.011,0,0.099,0.015,False,1.9718924900149378115745050153
0.018,0,0.097,0.024,False,1.9583396325270122698539963317
0.012,0,0.095,0.015,False,1.9194010850801288541535846879
0.012,0,0.096,0.015,False,1.9194010850801288541535846879
0.018,0,0.100,0.024,False,1.8922144298016456076569930392
0.012,0.21,0.094,0.030,False,1.8857990061733198206219269080
0.012,0.21,0.095,0.030,False,1.8857990061733198206219269080
0.012,0.21,0.096,0.030,False,1.8857990061733198206219269080
0.018,0.02,0.099,0.024,False,1.8823069550807532664114087720
0.012,0,0.097,0.015,False,1.8789891814962662105077558050
0.012,0.21,0.100,0.030,False,1.8703613176063365298836134539
0.012,0.01,0.098,0.015,False,1.8646136340606852981275848240
0.012,0.01,0.099,0.015,False,1.8646136340606852981275848240
0.011,0,0.099,0.017,False,1.8562874899947863177977614125
0.011,0,0.100,0.015,False,1.8523102672322133756334920372
0.015,0.20,0.097,0.007,False,1.8488124986156294231912733004
0.011,0.21,0.095,0.030,False,1.8463305813934731769847696312
0.011,0.21,0.096,0.030,False,1.8463305813934731769847696312
0.013,0,0.094,0.015,False,1.8374015883005961700948647838
0.031,0.02,0.100,0.037,True,1.8297277801138523898888621989
0.011,0,0.099,0.016,False,1.8297097857047300959541595644
0.013,0.01,0.098,0.015,False,1.8296680098380436621877101269
0.013,0.01,0.099,0.015,False,1.8296680098380436621877101269
0.031,0.02,0.100,0.036,True,1.8272129099692468331420943819
0.031,0.02,0.100,0.035,True,1.8242282066484374442400714875
0.010,0.21,0.095,0.030,False,1.8179049311563479579117425456
0.010,0.21,0.096,0.030,False,1.8179049311563479579117425456
0.025,0,0.092,0.016,False,1.8166907995943386759014138283
0.014,0.20,0.097,0.009,False,1.7982072132915481307275514953
0.011,0,0.100,0.017,False,1.7939978084977313357904664111
0.018,0.01,0.099,0.024,False,1.7935416796817226545610262968
0.018,0.03,0.100,0.031,True,1.7859901782470125658912068838
0.013,0.01,0.097,0.015,False,1.7859178918691123952830708495
0.023,0.03,0.096,0.032,True,1.7856991094081552647666606499
0.023,0.03,0.097,0.032,True,1.7856991094081552647666606499
0.023,0.03,0.098,0.032,True,1.7856991094081552647666606499
0.012,0,0.095,0.016,False,1.7842395911771740426687384675
0.012,0.21,0.093,0.030,False,1.7840010937489777638216417748
0.035,0.02,0.100,0.033,True,1.7837198453040920495115921045
0.025,0,0.092,0.015,False,1.7822953376871754337952727661
0.031,0.03,0.100,0.033,True,1.7818265462762187716964601654
0.031,0.02,0.100,0.033,True,1.7814436886199528006552867287
0.008,0,0.099,0.017,False,1.7771105503905866763981606623
0.035,0.02,0.100,0.034,True,1.7767387387344786203319460298
0.012,0.21,0.097,0.030,False,1.7746666222623640947590346580
