StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.012,0.24,0.130,0.029,False,2.1356768168328603115357830661
0.032,0.23,0.128,0.028,False,2.1261863530377531176179760123
0.021,0.23,0.130,0.028,False,2.1206268728560619437686167458
0.021,0.23,0.130,0.029,False,2.1184769823073432664131762389
0.021,0.23,0.129,0.028,False,2.1028202824956610649282556638
0.034,0.25,0.129,0.024,False,2.0808339721720503413665044872
0.012,0.23,0.130,0.029,False,2.0744251892975888704744322368
0.033,0.22,0.129,0.025,False,2.0691547916222184087435302318
0.013,0.24,0.130,0.029,False,2.0676783870078875391532576212
0.020,0.24,0.130,0.029,False,2.0659103139102236427729415526
0.022,0.22,0.127,0.028,False,2.0556449954989833547312886690
0.034,0.22,0.129,0.024,False,2.0360458589782359571717315088
0.032,0.23,0.127,0.028,False,2.0231754542749984097521738895
0.016,0.23,0.128,0.026,False,2.0205549231596964139251487592
0.016,0.23,0.129,0.026,False,2.0205549231596964139251487592
0.016,0.23,0.130,0.026,False,2.0205549231596964139251487592
0.013,0.24,0.130,0.028,False,2.0200887526669952639505368505
0.013,0.24,0.129,0.028,False,2.0179715287659719733713065011
0.024,0.03,0.130,0.006,True,2.0137987687725067260547319654
0.013,0.23,0.130,0.029,False,2.0044207296286015668794987617
0.030,0.24,0.127,0.023,False,2.0041973594626871491618560253
0.033,0.22,0.130,0.024,False,2.0011376963573334788522071290
0.039,0.30,0.129,0.006,True,1.9977157203707471285123650556
0.039,0.30,0.130,0.006,True,1.9977157203707471285123650556
0.035,0.22,0.128,0.024,False,1.9893345959998929774683623800
0.020,0.23,0.130,0.029,False,1.9838192826665708568142119376
0.018,0.23,0.130,0.025,False,1.9815034471637737750606717208
0.019,0.22,0.130,0.029,False,1.9809543091192859071562924463
0.039,0.30,0.126,0.006,True,1.9809318952347970202365822815
0.039,0.30,0.127,0.006,True,1.9809318952347970202365822815
0.039,0.30,0.128,0.006,True,1.9809318952347970202365822815
0.040,0.30,0.128,0.006,True,1.9774499993156924344331997058
0.040,0.30,0.129,0.006,True,1.9774499993156924344331997058
0.040,0.30,0.130,0.006,True,1.9774499993156924344331997058
0.033,0.23,0.127,0.027,False,1.9773666629101341366946281809
0.033,0.24,0.127,0.027,False,1.9706646995777497234615754581
0.040,0.30,0.128,0.007,True,1.9701716188283618933022973339
0.040,0.30,0.129,0.007,True,1.9701716188283618933022973339
0.040,0.30,0.130,0.007,True,1.9701716188283618933022973339
0.019,0.22,0.129,0.025,False,1.9666800740002771992832782091
0.019,0.22,0.130,0.025,False,1.9666800740002771992832782091
0.022,0.22,0.127,0.030,False,1.9664422069510105135343625433
0.020,0.22,0.128,0.029,False,1.9620889249908074528135726947
0.013,0.23,0.130,0.028,False,1.9607890170421393041027233221
0.030,0.25,0.128,0.023,False,1.9600119282997489918169440005
0.013,0.23,0.129,0.028,False,1.9586717931411160135234929727
0.020,0.24,0.123,0.010,False,1.9562710640969631362054262763
0.024,0.22,0.125,0.029,False,1.9554160698872945227605233852
0.020,0.25,0.130,0.029,False,1.9544928458376917817808065814
0.040,0.30,0.126,0.006,True,1.9542768917290515836209110850
0.040,0.30,0.127,0.006,True,1.9542768917290515836209110850
0.022,0.22,0.122,0.025,False,1.9521158411659793237912245672
0.022,0.22,0.123,0.025,False,1.9521158411659793237912245672
0.035,0.23,0.128,0.024,False,1.9513797627906044507192095890
0.024,0.22,0.125,0.028,False,1.9501569683434776604668240135
0.040,0.30,0.126,0.007,True,1.9493264746527630131698113511
0.040,0.30,0.127,0.007,True,1.9493264746527630131698113511
0.018,0.24,0.130,0.025,False,1.9481703171535158386948080363
0.019,0.22,0.129,0.030,False,1.9476772481383146838432223302
0.014,0.24,0.130,0.028,False,1.9476054660390460364942026140
0.020,0.22,0.123,0.010,False,1.9453819885907569039803586882
0.020,0.27,0.124,0.009,False,1.9453373820450912945209024780
0.020,0.27,0.125,0.009,False,1.9453373820450912945209024780
0.024,0.22,0.125,0.030,False,1.9446048657762717224912905918
0.014,0.24,0.129,0.028,False,1.9432545864389277819973030678
0.020,0.23,0.123,0.010,False,1.9431055426252164659144372182
0.035,0.24,0.128,0.024,False,1.9423188386004219978052055182
0.036,0.22,0.128,0.023,False,1.9417256401083406362246765927
0.023,0.22,0.126,0.030,False,1.9412659106473986884477141140
0.023,0.22,0.127,0.030,False,1.9412659106473986884477141140
0.032,0.22,0.129,0.026,False,1.9398664537938520979868434422
0.032,0.22,0.130,0.026,False,1.9398664537938520979868434422
0.014,0.24,0.130,0.029,False,1.9391745001836062872441148300
0.022,0.22,0.122,0.030,False,1.9352044862182960508127192001
0.022,0.22,0.123,0.030,False,1.9352044862182960508127192001
0.022,0.22,0.124,0.030,False,1.9352044862182960508127192001
0.022,0.22,0.125,0.030,False,1.9352044862182960508127192001
0.027,0.25,0.129,0.023,False,1.9348120191535386917112313006
0.027,0.25,0.130,0.023,False,1.9348120191535386917112313006
0.032,0.22,0.128,0.027,False,1.9340450420782146455043072342
0.036,0.24,0.128,0.024,False,1.9329562306655958842163311557
0.036,0.24,0.129,0.024,False,1.9329562306655958842163311557
0.036,0.24,0.130,0.024,False,1.9329562306655958842163311557
0.007,0.12,0.124,0.009,True,1.9323824218687097989939399358
0.019,0.22,0.121,0.030,False,1.9316807493106652043526508126
0.019,0.22,0.122,0.030,False,1.9316807493106652043526508126
0.019,0.22,0.123,0.030,False,1.9316807493106652043526508126
0.019,0.22,0.124,0.030,False,1.9316807493106652043526508126
0.019,0.22,0.125,0.030,False,1.9316807493106652043526508126
0.023,0.22,0.126,0.028,False,1.9304566793859451966965362825
0.023,0.22,0.127,0.028,False,1.9304566793859451966965362825
0.036,0.24,0.129,0.023,False,1.9290122291008773272184389742
0.036,0.24,0.130,0.023,False,1.9290122291008773272184389742
0.024,0.22,0.125,0.031,False,1.9284147770393627967714698049
0.023,0.22,0.122,0.025,False,1.9283166952869960091609252631
0.023,0.22,0.123,0.025,False,1.9283166952869960091609252631
0.020,0.22,0.128,0.031,False,1.9280477853124911466160728214
0.020,0.22,0.129,0.031,False,1.9280477853124911466160728214
0.020,0.22,0.130,0.031,False,1.9280477853124911466160728214
0.034,0.25,0.130,0.024,False,1.9276623562229926591222867450
0.026,0.25,0.130,0.023,False,1.9271072382893742693114667208
0.026,0.23,0.127,0.024,False,1.9265866670289241815397806167
0.019,0.23,0.129,0.025,False,1.9224934041113531830365888647
0.019,0.23,0.130,0.025,False,1.9224934041113531830365888647
0.033,0.22,0.128,0.023,False,1.9221916714251353863503674665
0.033,0.22,0.129,0.023,False,1.9221916714251353863503674665
0.033,0.22,0.130,0.023,False,1.9221916714251353863503674665
0.015,0.24,0.130,0.029,False,1.9215703751246064279206606816
0.020,0.22,0.130,0.029,False,1.9194828869803942637068837471
0.024,0.02,0.130,0.006,True,1.9181475735307844233037661560
0.024,0.22,0.126,0.029,False,1.9179485627296389983516290677
0.024,0.22,0.127,0.029,False,1.9179485627296389983516290677
0.021,0.27,0.123,0.009,False,1.9175233259256172712762846603
0.021,0.27,0.124,0.009,False,1.9175233259256172712762846603
0.012,0.25,0.130,0.029,False,1.9157937711448601201389374080
0.026,0.25,0.130,0.024,False,1.9145472496271258699126353464
0.039,0.30,0.122,0.006,True,1.9140006827034882567883265443
0.039,0.30,0.123,0.006,True,1.9140006827034882567883265443
0.039,0.30,0.124,0.006,True,1.9140006827034882567883265443
0.039,0.30,0.125,0.006,True,1.9140006827034882567883265443
0.018,0.20,0.130,0.029,False,1.9138927229636223853106022545
0.024,0.22,0.126,0.028,False,1.9116027587857408171274300146
0.024,0.22,0.127,0.028,False,1.9116027587857408171274300146
0.019,0.24,0.129,0.025,False,1.9112833213591620792912128157
0.023,0.22,0.122,0.030,False,1.9093017428419163707980392890
0.023,0.22,0.123,0.030,False,1.9093017428419163707980392890
0.023,0.22,0.124,0.030,False,1.9093017428419163707980392890
0.023,0.22,0.125,0.030,False,1.9093017428419163707980392890
0.020,0.24,0.128,0.023,False,1.9083335938346447437667369211
0.020,0.24,0.129,0.023,False,1.9083335938346447437667369211
0.020,0.24,0.130,0.023,False,1.9083335938346447437667369211
0.024,0.22,0.126,0.030,False,1.9082262129046382720998870441
0.024,0.22,0.127,0.030,False,1.9082262129046382720998870441
0.035,0.25,0.128,0.024,False,1.9078865833443835119985149542
0.018,0.21,0.130,0.029,False,1.9071663973736109580951356767
0.018,0.22,0.130,0.029,False,1.9049521978983739541060912384
0.025,0.03,0.130,0.006,True,1.9043113532154121160343939251
0.036,0.23,0.128,0.023,False,1.9034272960303949501386693424
0.022,0.22,0.126,0.030,False,1.9003421241814863477296361907
0.023,0.22,0.122,0.028,False,1.8987427058618443052122930118
0.023,0.22,0.123,0.028,False,1.8987427058618443052122930118
0.023,0.22,0.124,0.028,False,1.8987427058618443052122930118
0.023,0.22,0.125,0.028,False,1.8987427058618443052122930118
0.036,0.25,0.128,0.024,False,1.8967008234376820009126793877
0.036,0.25,0.129,0.024,False,1.8967008234376820009126793877
0.036,0.25,0.130,0.024,False,1.8967008234376820009126793877
0.019,0.22,0.126,0.030,False,1.8959283530042784788661510740
0.019,0.22,0.127,0.030,False,1.8959283530042784788661510740
0.036,0.25,0.129,0.023,False,1.8951950004279177051484109344
0.036,0.25,0.130,0.023,False,1.8951950004279177051484109344
0.036,0.24,0.128,0.023,False,1.8950560536383012738866516417
0.017,0.25,0.130,0.029,False,1.8950033125143427269523568603
0.034,0.22,0.128,0.025,False,1.8941151207141106947683190920
