StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.035,0.19,0.186,0.028,False,3.0563040260304860961143091341
0.035,0.19,0.186,0.028,False,3.0563040260304860961143091341
0.035,0.18,0.186,0.028,False,2.9813430116044654895634222176
0.035,0.18,0.186,0.028,False,2.9813430116044654895634222176
0.035,0.19,0.187,0.028,False,2.8349442011176721607753801738
0.035,0.19,0.187,0.028,False,2.8349442011176721607753801738
0.033,0.19,0.186,0.028,False,2.8312101918663416619616519142
0.033,0.19,0.186,0.028,False,2.8312101918663416619616519142
0.035,0.20,0.186,0.028,False,2.7943680392687344034634944530
0.035,0.20,0.186,0.028,False,2.7943680392687344034634944530
0.036,0.19,0.185,0.027,False,2.7666783586266140891834378119
0.036,0.19,0.186,0.027,False,2.7666783586266140891834378119
0.035,0.19,0.188,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.188,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.189,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.189,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.190,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.190,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.191,0.028,False,2.7630537250049755891323235121
0.035,0.19,0.191,0.028,False,2.7630537250049755891323235121
0.033,0.18,0.186,0.028,False,2.7598082474204757477166285111
0.033,0.18,0.186,0.028,False,2.7598082474204757477166285111
0.035,0.18,0.187,0.028,False,2.7585749892235680863420332859
0.035,0.18,0.187,0.028,False,2.7585749892235680863420332859
0.040,0.18,0.178,0.002,False,2.7238828164149748749440818535
0.040,0.18,0.179,0.002,False,2.7238828164149748749440818535
0.035,0.18,0.188,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.188,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.189,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.189,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.190,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.190,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.191,0.028,False,2.7212686495946870221682981507
0.035,0.18,0.191,0.028,False,2.7212686495946870221682981507
0.035,0.19,0.197,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.197,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.198,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.198,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.199,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.199,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.200,0.028,False,2.7160542540630125397894257540
0.035,0.19,0.200,0.028,False,2.7160542540630125397894257540
0.028,0.19,0.186,0.028,False,2.7142547414284016027481613971
0.028,0.19,0.186,0.028,False,2.7142547414284016027481613971
0.031,0.19,0.186,0.028,False,2.7096022561830296955741224827
0.031,0.19,0.186,0.028,False,2.7096022561830296955741224827
0.030,0.19,0.186,0.028,False,2.7037463604197922674400037173
0.030,0.19,0.186,0.028,False,2.7037463604197922674400037173
0.029,0.19,0.186,0.028,False,2.6873432994109347092955870745
0.029,0.19,0.186,0.028,False,2.6873432994109347092955870745
0.032,0.19,0.186,0.028,False,2.6861135749103107729136615134
0.032,0.19,0.186,0.028,False,2.6861135749103107729136615134
0.035,0.18,0.197,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.197,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.198,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.198,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.199,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.199,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.200,0.028,False,2.6745656447125225872046233197
0.035,0.18,0.200,0.028,False,2.6745656447125225872046233197
0.040,0.06,0.166,0.008,False,2.6630358037062893939403050078
0.039,0.06,0.169,0.009,False,2.6575054929506384399252173328
0.039,0.06,0.170,0.009,False,2.6575054929506384399252173328
0.039,0.06,0.171,0.009,False,2.6575054929506384399252173328
0.027,0.19,0.186,0.028,False,2.6553629091849312752403547468
0.027,0.19,0.186,0.028,False,2.6553629091849312752403547468
0.035,0.19,0.192,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.192,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.193,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.193,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.194,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.194,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.195,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.195,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.196,0.028,False,2.6548630760591240592940298972
0.035,0.19,0.196,0.028,False,2.6548630760591240592940298972
0.028,0.18,0.186,0.028,False,2.6517769164013422510961362794
0.028,0.18,0.186,0.028,False,2.6517769164013422510961362794
0.026,0.18,0.186,0.028,False,2.6459390704250460525139378019
0.026,0.18,0.186,0.028,False,2.6459390704250460525139378019
0.018,0.08,0.179,0.001,False,2.6425960860226569162634002616
0.031,0.18,0.186,0.028,False,2.6411925779220148122218136769
0.031,0.18,0.186,0.028,False,2.6411925779220148122218136769
0.030,0.18,0.186,0.028,False,2.6365053339724689241175860299
0.030,0.18,0.186,0.028,False,2.6365053339724689241175860299
0.039,0.06,0.166,0.009,False,2.6353665870276610797449351849
0.039,0.06,0.167,0.009,False,2.6353665870276610797449351849
0.026,0.19,0.186,0.028,False,2.6321163386553310548156824988
0.026,0.19,0.186,0.028,False,2.6321163386553310548156824988
0.040,0.18,0.174,0.002,False,2.6234106267438232799522589848
0.040,0.18,0.175,0.002,False,2.6234106267438232799522589848
0.029,0.18,0.186,0.028,False,2.6220372278461337465234564621
0.029,0.18,0.186,0.028,False,2.6220372278461337465234564621
0.033,0.19,0.187,0.028,False,2.6161243307018266557970960461
0.033,0.19,0.187,0.028,False,2.6161243307018266557970960461
0.032,0.18,0.186,0.028,False,2.6148756501115542784412472128
0.032,0.18,0.186,0.028,False,2.6148756501115542784412472128
0.035,0.18,0.192,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.192,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.193,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.193,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.194,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.194,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.195,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.195,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.196,0.028,False,2.6134443799949254833239391248
0.035,0.18,0.196,0.028,False,2.6134443799949254833239391248
0.040,0.06,0.169,0.008,False,2.6124053091149824195429878922
0.040,0.06,0.170,0.008,False,2.6124053091149824195429878922
0.034,0.20,0.179,0.029,False,2.6105300787696901357958242262
0.027,0.18,0.186,0.028,False,2.5944195004192591475977379384
0.027,0.18,0.186,0.028,False,2.5944195004192591475977379384
0.037,0.06,0.166,0.009,False,2.5933905229085591756192427234
0.040,0.06,0.162,0.008,False,2.5783569593695509730257132721
0.035,0.20,0.187,0.028,False,2.5739838858724468425814199277
0.035,0.20,0.187,0.028,False,2.5739838858724468425814199277
0.040,0.06,0.163,0.008,False,2.5730573385412732468788252477
0.040,0.06,0.164,0.008,False,2.5730573385412732468788252477
0.040,0.06,0.165,0.008,False,2.5730573385412732468788252477
0.033,0.20,0.186,0.028,False,2.5723456407543591347183268049
0.033,0.20,0.186,0.028,False,2.5723456407543591347183268049
0.023,0.08,0.168,0.003,True,2.5722703923613225911982115493
0.023,0.08,0.169,0.003,True,2.5722703923613225911982115493
0.017,0.07,0.179,0.003,False,2.5638694996996921570086852644
0.034,0.20,0.187,0.029,False,2.5594977922080256985625357612
0.024,0.08,0.168,0.003,True,2.5528094638489149394974152785
0.024,0.08,0.169,0.003,True,2.5528094638489149394974152785
0.039,0.06,0.162,0.009,False,2.5515828406938815705829725220
0.039,0.06,0.163,0.009,False,2.5515828406938815705829725220
0.033,0.19,0.188,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.188,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.189,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.189,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.190,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.190,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.191,0.028,False,2.5480627382174800186819391887
0.033,0.19,0.191,0.028,False,2.5480627382174800186819391887
0.039,0.06,0.164,0.009,False,2.5473022935896831756230278208
0.039,0.06,0.165,0.009,False,2.5473022935896831756230278208
0.033,0.18,0.187,0.028,False,2.5433141887878772736696126716
