StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.039,0.30,0.030,0.003,False,2.0807085965484992351889162612
0.039,0.30,0.030,0.003,False,2.0807085965484992351889162612
0.040,0.30,0.030,0.003,False,2.0650888662023235966719023645
0.039,0.30,0.029,0.003,False,1.9475180650604354750751669011
0.039,0.30,0.029,0.003,False,1.9475180650604354750751669011
0.040,0.30,0.029,0.003,False,1.9310413922202641224609223818
0.039,0.30,0.028,0.003,False,1.8355413588164022298008693273
0.039,0.30,0.028,0.003,False,1.8355413588164022298008693273
0.038,0.30,0.030,0.004,False,1.8223790909055709008843863624
0.038,0.30,0.030,0.004,False,1.8223790909055709008843863624
0.040,0.30,0.028,0.003,False,1.8158428145569945600731306790
0.038,0.30,0.028,0.003,False,1.8064210350275415815098630152
0.038,0.30,0.028,0.003,False,1.8064210350275415815098630152
0.038,0.30,0.030,0.003,False,1.8017142599481937740247235968
0.038,0.30,0.030,0.003,False,1.8017142599481937740247235968
0.038,0.30,0.029,0.003,False,1.7981216433786369398144981855
0.038,0.30,0.029,0.003,False,1.7981216433786369398144981855
0.030,0.30,0.030,0.003,False,1.7947664278211963327764439635
0.030,0.30,0.030,0.003,False,1.7947664278211963327764439635
0.039,0.30,0.030,0.004,False,1.7918949657733354969016631543
0.039,0.30,0.030,0.004,False,1.7918949657733354969016631543
0.012,0.29,0.029,0.021,False,1.7898979918426281084322950885
0.012,0.29,0.029,0.021,False,1.7898979918426281084322950885
0.037,0.30,0.030,0.004,False,1.7780355492506199343564973893
0.037,0.30,0.030,0.004,False,1.7780355492506199343564973893
0.031,0.30,0.030,0.003,False,1.7584960704924963499318481132
0.031,0.30,0.030,0.003,False,1.7584960704924963499318481132
0.039,0.30,0.029,0.004,False,1.7537073638571997325301804737
0.039,0.30,0.029,0.004,False,1.7537073638571997325301804737
0.012,0.29,0.030,0.021,False,1.7480561333917450657562402655
0.012,0.29,0.030,0.021,False,1.7480561333917450657562402655
0.011,0.29,0.030,0.022,False,1.7393193484490460352558204067
0.011,0.29,0.030,0.022,False,1.7393193484490460352558204067
0.037,0.30,0.028,0.003,False,1.7354062313387779831591476040
0.037,0.30,0.028,0.003,False,1.7354062313387779831591476040
0.036,0.30,0.029,0.004,False,1.7318819944347680810153680498
0.036,0.30,0.029,0.004,False,1.7318819944347680810153680498
0.015,0.28,0.029,0.021,False,1.7313153436602822408137786779
0.015,0.28,0.029,0.021,False,1.7313153436602822408137786779
0.015,0.28,0.030,0.021,False,1.7292255441470153560653547785
0.015,0.28,0.030,0.021,False,1.7292255441470153560653547785
0.037,0.29,0.030,0.004,False,1.7280452926527344232524980046
0.037,0.29,0.030,0.004,False,1.7280452926527344232524980046
0.030,0.30,0.029,0.003,False,1.7135675218692211622266476773
0.030,0.30,0.029,0.003,False,1.7135675218692211622266476773
0.034,0.30,0.028,0.004,False,1.7106350257311907547133585689
0.034,0.30,0.029,0.004,False,1.7106350257311907547133585689
0.034,0.30,0.028,0.004,False,1.7106350257311907547133585689
0.034,0.30,0.029,0.004,False,1.7106350257311907547133585689
0.006,0.23,0.025,0.018,False,1.7100645907579384122811447106
0.006,0.23,0.025,0.018,False,1.7100645907579384122811447106
0.038,0.29,0.030,0.004,False,1.7096866853608811309027309952
0.038,0.29,0.030,0.004,False,1.7096866853608811309027309952
0.038,0.30,0.029,0.004,False,1.7075595812710006292257437221
0.038,0.30,0.029,0.004,False,1.7075595812710006292257437221
0.011,0.27,0.030,0.022,False,1.6996617841942154078297288756
0.011,0.27,0.030,0.022,False,1.6996617841942154078297288756
0.036,0.30,0.028,0.004,False,1.6980495803991957884672069463
0.036,0.30,0.028,0.004,False,1.6980495803991957884672069463
0.012,0.28,0.029,0.021,False,1.6974066465767572184601023292
0.012,0.28,0.029,0.021,False,1.6974066465767572184601023292
0.012,0.30,0.029,0.021,False,1.6858787296846070371728726471
0.012,0.30,0.029,0.021,False,1.6858787296846070371728726471
0.039,0.30,0.024,0.003,False,1.6841111132279386470366767520
0.039,0.30,0.024,0.003,False,1.6841111132279386470366767520
0.006,0.24,0.025,0.018,False,1.6837455130294866776522267305
0.006,0.24,0.025,0.018,False,1.6837455130294866776522267305
0.012,0.27,0.029,0.021,False,1.6834424951290088538545138220
0.012,0.27,0.029,0.021,False,1.6834424951290088538545138220
0.037,0.30,0.029,0.004,False,1.6821354808090921293919151557
0.037,0.30,0.029,0.004,False,1.6821354808090921293919151557
0.039,0.30,0.028,0.004,False,1.6816774517731056594983340114
0.039,0.30,0.028,0.004,False,1.6816774517731056594983340114
0.037,0.30,0.030,0.003,False,1.6778489866880856834614135454
0.037,0.30,0.030,0.003,False,1.6778489866880856834614135454
0.013,0.29,0.029,0.021,False,1.6776494107384626566965674952
0.013,0.29,0.029,0.021,False,1.6776494107384626566965674952
0.039,0.29,0.030,0.004,False,1.6775373744014754311170516690
0.039,0.29,0.030,0.004,False,1.6775373744014754311170516690
0.031,0.30,0.029,0.003,False,1.6766070334156074457726660437
0.031,0.30,0.029,0.003,False,1.6766070334156074457726660437
0.002,0.29,0.026,0.020,False,1.6647517014040206675635318905
0.002,0.29,0.026,0.020,False,1.6647517014040206675635318905
0.015,0.27,0.029,0.021,False,1.6643428828220372424607775182
0.015,0.27,0.029,0.021,False,1.6643428828220372424607775182
0.011,0.28,0.030,0.022,False,1.6636351645856122046157437682
0.011,0.28,0.030,0.022,False,1.6636351645856122046157437682
0.015,0.27,0.030,0.021,False,1.6621584428504074356089572359
0.015,0.27,0.030,0.021,False,1.6621584428504074356089572359
0.039,0.30,0.027,0.003,False,1.6619009441213027818687989761
0.039,0.30,0.027,0.003,False,1.6619009441213027818687989761
0.040,0.30,0.024,0.003,False,1.6581275637994862812141162088
0.012,0.28,0.030,0.021,False,1.6554431021901655225262436664
0.012,0.28,0.030,0.021,False,1.6554431021901655225262436664
0.005,0.29,0.025,0.018,False,1.6539101238846712007370228394
0.005,0.29,0.025,0.018,False,1.6539101238846712007370228394
0.037,0.03,0.023,0.021,False,1.6538596554921444001075130054
0.037,0.03,0.023,0.021,False,1.6538596554921444001075130054
0.037,0.30,0.028,0.004,False,1.6483097489467278238506158984
0.037,0.30,0.028,0.004,False,1.6483097489467278238506158984
0.037,0.30,0.029,0.003,False,1.6474609646494071407368918904
0.037,0.30,0.029,0.003,False,1.6474609646494071407368918904
0.012,0.30,0.030,0.021,False,1.6440368712337239944968178241
0.012,0.30,0.030,0.021,False,1.6440368712337239944968178241
0.002,0.29,0.023,0.020,False,1.6422998424512680852662814614
0.002,0.29,0.023,0.020,False,1.6422998424512680852662814614
0.012,0.27,0.030,0.021,False,1.6406445064317975994597151824
0.012,0.27,0.030,0.021,False,1.6406445064317975994597151824
0.038,0.30,0.028,0.004,False,1.6355460829598858383648922993
0.038,0.30,0.028,0.004,False,1.6355460829598858383648922993
0.013,0.29,0.030,0.021,False,1.6350436410419061079583612254
0.013,0.29,0.030,0.021,False,1.6350436410419061079583612254
0.040,0.30,0.027,0.003,False,1.6349360225461681255619021860
0.012,0.29,0.030,0.022,False,1.6325143803621997950017404185
0.012,0.29,0.030,0.022,False,1.6325143803621997950017404185
0.035,0.30,0.028,0.004,False,1.6312622438731513824187153855
0.035,0.30,0.029,0.004,False,1.6312622438731513824187153855
0.035,0.30,0.028,0.004,False,1.6312622438731513824187153855
0.035,0.30,0.029,0.004,False,1.6312622438731513824187153855
