StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.029,0,0.088,0.014,False,1.9795396144354229948111739942
0.029,0,0.088,0.013,False,1.9775775733435855238970501009
0.028,0,0.088,0.014,False,1.9552612197473114021771122110
0.029,0.02,0.087,0.014,False,1.9055070459310595901447533345
0.003,0.29,0.089,0.030,False,1.8927274470744036824175517360
0.003,0.30,0.089,0.030,False,1.8903497472625654735639351806
0.028,0,0.088,0.013,False,1.8787324191824320826520810472
0.029,0.03,0.088,0.011,True,1.8594489042286413129648292654
0.003,0.28,0.089,0.030,False,1.8498965645963411282716672552
0.003,0.29,0.088,0.030,False,1.8420569580310096567171588964
0.003,0.30,0.088,0.030,False,1.8404595966221222336721083649
0.003,0.28,0.088,0.030,False,1.7976341883184840550113678358
0.029,0.01,0.087,0.014,False,1.7764777193570408420703910864
0.029,0.01,0.088,0.011,True,1.7669397282697646164027555522
0.029,0,0.088,0.011,True,1.7593929716033017863645352441
0.028,0.01,0.088,0.014,False,1.7572447683586224599245894626
0.029,0.02,0.088,0.011,True,1.7568375488978396904132239232
0.029,0.03,0.087,0.014,False,1.7509730620932221808767239651
0.028,0.02,0.088,0.014,False,1.7490468571487486354662527649
0.028,0,0.086,0.014,False,1.7354447710417981312705496685
0.029,0.02,0.088,0.014,False,1.7225830851043676726046241755
0.028,0,0.089,0.014,False,1.6942444182974974514942941935
0.025,0,0.090,0.015,False,1.6923505858568699048356870451
0.028,0,0.087,0.014,False,1.6912897371712998706394116292
0.028,0,0.089,0.013,False,1.6860418699857567518823012154
0.029,0,0.087,0.014,False,1.6786098014117310091050472185
0.003,0.30,0.087,0.030,False,1.6697683507788373497471713358
0.028,0,0.085,0.014,False,1.6570839489961354413974535696
0.024,0,0.088,0.012,False,1.6569652435554577316939217262
0.028,0,0.084,0.014,False,1.6505627047543862891411008257
0.003,0.28,0.087,0.030,False,1.6494248846622751666816506737
0.028,0,0.087,0.005,False,1.6457121864361846204016224624
0.003,0.29,0.087,0.030,False,1.6453284076795835101871463258
0.029,0,0.088,0.012,False,1.6412555516711525875090597969
0.028,0.01,0.087,0.005,False,1.6332146216084344240039506073
0.029,0.02,0.088,0.013,False,1.6263786750098670969966937321
0.028,0.02,0.087,0.005,False,1.6220702925995928636909007899
0.029,0,0.086,0.014,False,1.6214830774812355529554823743
0.002,0.29,0.089,0.030,False,1.6204818509269710742609153410
0.030,0.01,0.087,0.013,False,1.6197705212799944506166644341
0.029,0.03,0.088,0.014,True,1.6162544606006311708439988683
0.028,0,0.088,0.012,False,1.6130110859785028190451598594
0.030,0.02,0.087,0.013,False,1.6110640211086521656289428196
0.003,0.30,0.090,0.030,False,1.6030465107155984619244341846
0.030,0.03,0.087,0.013,False,1.5966097956643761293069281597
