StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.028,0.01,0.022,0.017,False,2.3633013976529140878828636454
0.033,0.01,0.022,0.016,False,2.3435786286170052168683364910
0.028,0.01,0.025,0.019,False,2.2983616061619243820277830669
0.029,0,0.025,0.018,False,2.2980073236024712316454709969
0.029,0.01,0.025,0.019,False,2.2714477098034136175482712400
0.033,0.01,0.022,0.017,False,2.2682422345597906204459129987
0.033,0.01,0.021,0.017,False,2.2199007641489642947837844960
0.032,0.01,0.022,0.016,False,2.2198282531144379703448105522
0.033,0.01,0.021,0.016,False,2.2175375934186782296217143808
0.034,0.01,0.022,0.021,False,2.2101853872022632904707409169
0.033,0.02,0.022,0.016,False,2.1901197475551971563323868184
0.028,0.01,0.022,0.016,False,2.1687285738392066566401017058
0.031,0.01,0.023,0.017,False,2.1686040396149435791089124716
0.033,0.01,0.022,0.015,False,2.1647113476577375569087279007
0.029,0,0.024,0.018,False,2.1629092326651302337821210055
0.034,0.01,0.022,0.016,False,2.1593598430106426468673747870
0.036,0.01,0.023,0.018,False,2.1560303551070068152972589911
0.029,0,0.024,0.019,False,2.1529659835362367001458296851
0.034,0.02,0.022,0.021,False,2.1487854673507379887454881188
0.033,0.01,0.024,0.018,False,2.1450800544938460175277823976
0.032,0.01,0.030,0.022,False,2.1402842960742970416675816176
0.028,0,0.025,0.019,False,2.1394388198711848979313203452
0.031,0.01,0.022,0.017,False,2.1296998603485506962721524755
0.033,0.03,0.022,0.016,False,2.1248515718209048632156610960
0.031,0.02,0.023,0.017,False,2.1133139250043117110667486210
0.034,0.01,0.023,0.014,False,2.1073102803030070892293171954
0.036,0.02,0.023,0.018,False,2.1009358924642563302444835909
0.034,0.02,0.022,0.016,False,2.1007744479175852999595123634
0.033,0.02,0.022,0.022,False,2.0983368473071633949249755917
0.033,0.01,0.021,0.015,False,2.0977505359360568346928251826
0.029,0,0.025,0.016,False,2.0943480842919912781307576966
0.033,0.02,0.022,0.017,False,2.0929891652542866266219401016
0.034,0.01,0.023,0.019,False,2.0873656844358636852345686127
0.035,0.01,0.022,0.021,False,2.0859642317315421454234881281
0.036,0.01,0.022,0.017,False,2.0855227586629717392302733688
0.029,0,0.023,0.018,False,2.0844123271929043189298411162
0.033,0.01,0.023,0.018,False,2.0837654527010423353267528393
0.034,0.01,0.023,0.022,False,2.0827040163910685675084376466
0.034,0.01,0.021,0.015,False,2.0825920648331854094569979874
0.032,0.01,0.022,0.017,False,2.0787502284801222483841248095
0.030,0.02,0.025,0.019,False,2.0782206173897857899964139071
0.034,0.01,0.023,0.016,False,2.0768080980579036186810171655
0.031,0.02,0.022,0.017,False,2.0738161320039286519694599751
0.035,0.01,0.023,0.018,False,2.0694703770119032217691648704
0.033,0.01,0.023,0.019,False,2.0680094098820817794935166476
0.031,0.01,0.022,0.016,False,2.0670573826008434904622227916
0.028,0.01,0.021,0.019,False,2.0653367196752451566365577815
0.033,0.01,0.025,0.016,False,2.0640328422659853437619180636
0.033,0.01,0.023,0.017,False,2.0619856877224901481834637582
0.034,0.01,0.023,0.015,False,2.0618671608967712876480461287
0.035,0.01,0.022,0.018,False,2.0607401128983065040393115623
0.030,0,0.023,0.017,False,2.0574682844633805131080411581
0.029,0.02,0.022,0.017,False,2.0573805083279120184295547582
0.033,0.01,0.025,0.019,False,2.0539930471510515995269911712
0.033,0.03,0.022,0.017,False,2.0534193905758579085976832461
0.033,0.01,0.023,0.016,False,2.0532073253903629758530308644
0.030,0.01,0.023,0.017,False,2.0528105496792947074630382524
0.034,0.01,0.023,0.021,False,2.0520914252226739102141464268
0.034,0.01,0.023,0.018,False,2.0450245023050861062955487388
0.028,0.01,0.022,0.019,False,2.0436030816686897816204874137
0.033,0.01,0.023,0.015,False,2.0401210905579044029162869978
0.031,0.04,0.024,0.017,False,2.0311269446542631835585378472
0.028,0.01,0.025,0.017,False,2.0302240886658703186704079029
0.034,0.02,0.021,0.015,False,2.0294856249787557436773482239
0.029,0.01,0.025,0.018,False,2.0294650915940238589315386878
0.034,0.01,0.022,0.014,False,2.0277241751992805527313525309
0.033,0.02,0.022,0.015,False,2.0275844805519654964947321456
0.032,0.01,0.023,0.017,False,2.0213887433650258008405136978
0.033,0.01,0.025,0.015,False,2.0207157356626570306145875009
0.034,0.01,0.023,0.017,False,2.0205747472187310665429511081
0.029,0.01,0.025,0.016,False,2.0172101230531493223579969963
0.029,0,0.025,0.019,False,2.0153988381501081255321372409
0.030,0.04,0.024,0.018,False,2.0120308069124414801131992602
0.034,0.01,0.022,0.017,False,2.0118334782031222578112563838
0.033,0.01,0.024,0.019,False,2.0110303753303243522847883299
0.035,0.01,0.022,0.017,False,2.0087940389512675437938808079
0.028,0.01,0.025,0.018,False,2.0046368754233903564082476956
0.033,0.01,0.025,0.018,False,2.0012343988924270409959001780
0.033,0.01,0.024,0.016,False,2.0010365356261508055556003873
0.030,0.02,0.023,0.017,False,1.9978182261194144595439697146
0.034,0.01,0.024,0.018,False,1.9975230562019985163450528212
0.028,0.01,0.025,0.016,False,1.9970159852893610709305431028
0.028,0.02,0.025,0.019,False,1.9939428413943714965580885067
0.032,0.01,0.022,0.021,False,1.9918807137654695781467508121
0.029,0,0.025,0.017,False,1.9899591941788069930649158025
0.028,0,0.022,0.017,False,1.9889769331785896488583373292
0.034,0.02,0.022,0.014,False,1.9881116307124918774228314851
0.025,0.01,0.021,0.013,False,1.9860549979182888564268368202
0.033,0.01,0.022,0.019,False,1.9857935911121212186095528794
0.029,0.01,0.022,0.019,False,1.9849578872166884593180378125
0.028,0,0.023,0.017,False,1.9821034803826654185868208413
0.034,0.01,0.022,0.015,False,1.9804793706212180700813552766
0.028,0.02,0.022,0.017,False,1.9776741578551541743489293234
0.029,0.01,0.022,0.017,False,1.9776252352577311850562095175
0.030,0.01,0.024,0.018,False,1.9760236481930535076261587340
0.033,0.01,0.021,0.019,False,1.9758606283303647502477689753
0.028,0.01,0.023,0.017,False,1.9755038413863977153657279697
0.028,0,0.025,0.016,False,1.9748593791000559695758864817
0.033,0.03,0.022,0.022,False,1.9745117848244527811598104406
0.031,0.03,0.024,0.017,False,1.9741302610711666941202535201
