StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.01,0.022,0.016,False,2.4445988953532696565074556777
0.032,0,0.022,0.016,False,2.3811736718617415294873000940
0.033,0.01,0.022,0.015,False,2.3271417090477193204185834706
0.032,0.01,0.022,0.016,False,2.3208485198507024099839297389
0.032,0,0.022,0.017,False,2.3193433491774336501909545839
0.028,0.01,0.022,0.017,False,2.3083375504166849102670283407
0.033,0.02,0.022,0.012,False,2.2981301291897117240634595784
0.033,0.02,0.022,0.016,False,2.2925056633627133600084797025
0.033,0.01,0.022,0.012,False,2.2864021782930968915212970939
0.033,0.01,0.021,0.015,False,2.2846491001488820339187833352
0.028,0.01,0.025,0.019,False,2.2816640575451915455148069824
0.034,0.01,0.022,0.016,False,2.2802129880718461388969783702
0.034,0.02,0.021,0.015,False,2.2785874075933375251177872818
0.029,0,0.025,0.018,False,2.2785422711599331253110182458
0.028,0.01,0.022,0.016,False,2.2668156851555680871756683668
0.033,0.01,0.023,0.015,False,2.2647472085664720685300996920
0.029,0.01,0.025,0.019,False,2.2501417924951399583183450323
0.034,0.01,0.023,0.015,False,2.2481469899014266858716147629
0.032,0.01,0.030,0.022,False,2.2446322207329427978134481575
0.031,0.01,0.023,0.017,False,2.2339271804622480621763893008
0.031,0.01,0.022,0.016,False,2.2302353513562772758640790113
0.033,0.03,0.022,0.016,False,2.2270424982965948688023602014
0.034,0.01,0.021,0.015,False,2.2235503727242769987856367205
0.034,0.01,0.023,0.014,False,2.2234981738613534785799709657
0.029,0,0.024,0.018,False,2.2232865269701075116334741561
0.034,0.02,0.022,0.016,False,2.2216044039839788137047085380
0.033,0.01,0.022,0.017,False,2.2172611886517114902404150732
0.033,0.01,0.025,0.012,False,2.2108793544953389432914509420
0.031,0.01,0.023,0.016,False,2.2102768280302805409548513761
0.034,0.01,0.022,0.021,False,2.2101853872022632904707409169
0.034,0.01,0.023,0.016,False,2.2077123024384056481317639860
0.033,0.01,0.025,0.015,False,2.2007987543186416742804571645
0.031,0.01,0.022,0.017,False,2.1950230011958551793396293047
0.033,0.01,0.021,0.016,False,2.1942195849676739185923688770
0.033,0.02,0.022,0.015,False,2.1922036013414368642491846799
0.032,0,0.023,0.017,False,2.1909482617380276063636310114
0.033,0.01,0.024,0.015,False,2.1828534538097651193969989488
0.031,0.02,0.023,0.017,False,2.1827418512274739822910719944
0.029,0,0.024,0.019,False,2.1825163342435830781703134521
0.032,0,0.023,0.013,False,2.1762804703284818538117884977
0.033,0.01,0.025,0.016,False,2.1750022454125734908462191001
0.033,0.01,0.024,0.016,False,2.1739130265781145917870974675
0.028,0,0.025,0.019,False,2.1714662799337426822961218821
0.034,0.01,0.022,0.015,False,2.1667591996258734683049239108
0.033,0.01,0.021,0.012,False,2.1652510144975859162906543143
0.025,0.01,0.021,0.013,False,2.1608929311833181355587130571
0.032,0,0.023,0.016,False,2.1574412557562961721713634684
0.034,0.02,0.022,0.021,False,2.1487854673507379887454881188
0.033,0.01,0.023,0.016,False,2.1466976603160181988816802922
0.030,0.04,0.024,0.018,False,2.1439779343201448861992190405
0.034,0.01,0.022,0.014,False,2.1439120687576269420820063012
