StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0,0.02,0.017,False,1.8778171202810405042220008061
0.014,0.14,0.02,0.018,False,1.6939395999559579445018259876
0.009,0,0.02,0.018,False,1.6738283766132429950871473134
0.015,0.14,0.02,0.018,False,1.6438178885153670145584176831
0.007,0,0.02,0.018,False,1.6128384856800520558454210006
0.008,0,0.02,0.017,False,1.6083893531567755581099323136
0.008,0,0.02,0.018,False,1.5956116046456321338990609568
0.010,0,0.02,0.018,False,1.5772850913531815724528660060
0.021,0.14,0.02,0.029,False,1.5762370875228331497115685131
0.030,0.28,0.02,0.019,False,1.5242105583987786589643919130
0.022,0.14,0.02,0.029,False,1.5097907622844394887795579068
0.034,0,0.02,0.002,False,1.5029226138671163404952061879
0.014,0.13,0.02,0.018,False,1.4701252537727749585266970623
0.034,0,0.02,0.001,False,1.4662681947951194904350244032
0.035,0,0.02,0.001,False,1.4504541455445553272454255226
0.014,0.14,0.02,0.019,False,1.4329939170972542631052811556
0.021,0.13,0.02,0.013,True,1.4249841161026752519510241747
0.021,0.14,0.02,0.030,False,1.4219995387008848217494626122
0.021,0.15,0.02,0.029,False,1.4214430700303929732124463326
0.015,0.13,0.02,0.018,False,1.4154050549488151399337444736
0.014,0.13,0.02,0.009,True,1.4105716187058691069888225372
0.018,0.14,0.02,0.010,True,1.4066282659742822545815002104
0.022,0.14,0.02,0.030,False,1.4060993319067786759853620589
0.034,0.04,0.02,0.002,False,1.4007086644361704110128779168
0.013,0.13,0.02,0.009,True,1.4000587214390153618501294428
0.013,0.13,0.02,0.018,False,1.3982578316223690107915812924
0.035,0,0.02,0.002,False,1.3902382814176676124956932606
0.024,0.15,0.02,0.029,False,1.3815737628649242340254725172
0.021,0.13,0.02,0.008,True,1.3799702290999388744799210531
0.021,0.14,0.02,0.028,False,1.3762913367466650032439256294
0.034,0.01,0.02,0.002,False,1.3723368149446577851605397969
0.015,0.14,0.02,0.019,False,1.3606714489858286489261427422
0.034,0,0.02,0.005,False,1.3606469163163271601978681909
0.006,0,0.02,0.018,False,1.3588947697804938633200312838
0.018,0.12,0.02,0.009,True,1.3559189676708296736871030832
0.014,0,0.02,0.010,True,1.3539208872470802935101664623
0.018,0.12,0.02,0.008,True,1.3534217953827780773118544163
0.022,0.15,0.02,0.029,False,1.3529468416421400532452082368
0.021,0.13,0.02,0.007,True,1.3525540226120325199416619141
0.012,0,0.02,0.018,False,1.3499146654438662970311925669
0.034,0.04,0.02,0.001,False,1.3488002286842579154839429442
0.027,0.15,0.02,0.028,False,1.3485081724412925307491275491
0.013,0.13,0.02,0.013,True,1.3465152452107401359432026117
