StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0,0.02,0.017,False,1.9003747925667581322883999732
0.009,0.01,0.02,0.018,False,1.8836212364917940723664094244
0.009,0.03,0.02,0.018,False,1.8728410914626185853995822677
0.014,0.12,0.02,0.010,True,1.8664454296825321547519326963
0.010,0.01,0.02,0.018,False,1.8285157180656230464669192902
0.009,0.02,0.02,0.018,False,1.8247929300582527513270454803
0.009,0.04,0.02,0.018,False,1.8244271120515097101747615657
0.010,0.02,0.02,0.018,False,1.8077155490100574527265432195
0.034,0.12,0.02,0.005,False,1.8002061637384323304668313732
0.021,0.07,0.02,0.013,True,1.7951977066462187781245483149
0.010,0.03,0.02,0.018,False,1.7776778231865368865790451060
0.009,0.05,0.02,0.018,False,1.7643800074207639893788777843
0.009,0.06,0.02,0.018,False,1.7576552465343212108653772150
0.021,0.08,0.02,0.013,True,1.7542986526190344749868013132
0.021,0.06,0.02,0.013,True,1.7437875351005022906312002846
0.034,0.12,0.02,0.006,False,1.7392393787836805674628528450
0.021,0.05,0.02,0.013,True,1.7280083932023969798422209049
0.021,0.09,0.02,0.013,True,1.7152355497055605636907395454
0.034,0.05,0.02,0.001,False,1.7121513182457521916971303200
0.034,0.05,0.02,0.002,False,1.7119650746658183293256426507
0.035,0.15,0.02,0.020,True,1.7117993874515909336532540261
0.010,0.04,0.02,0.018,False,1.7084643779132968813983693231
0.035,0.15,0.02,0.005,False,1.7063776772664868972545100619
0.017,0.12,0.02,0.010,True,1.7055515288108681325245447824
0.015,0.10,0.02,0.008,True,1.7047265840251542744404272464
0.014,0.13,0.02,0.010,True,1.7023441890666960259252968374
0.014,0.14,0.02,0.010,True,1.6969239399051211609129316970
0.009,0,0.02,0.018,False,1.6963860488989606231535464805
0.009,0.07,0.02,0.018,False,1.6912123939029299094746396397
0.021,0.11,0.02,0.013,True,1.6850715109268036158121156932
0.034,0.14,0.02,0.010,False,1.6810371694660393486429197358
0.033,0.12,0.02,0.005,False,1.6665705910972563614660881661
0.009,0.06,0.02,0.017,False,1.6622191325892741386690027634
0.009,0.08,0.02,0.018,False,1.6534069826288026688606219851
0.016,0.12,0.02,0.010,True,1.6518979643930075470188615111
0.016,0.12,0.02,0.009,True,1.6499223884804856460017318327
0.035,0.15,0.02,0.004,False,1.6472786847567669042961497118
0.020,0.13,0.02,0.013,True,1.6466785601100053653574662811
0.012,0.01,0.02,0.018,False,1.6442888962127664827017056581
0.020,0.06,0.02,0.013,True,1.6435144735551590133916038729
0.022,0.07,0.02,0.013,True,1.6424556545497787941062667663
0.017,0.14,0.02,0.010,True,1.6396799221246864829719637557
0.012,0.03,0.02,0.018,False,1.6393088638449568451312439229
0.020,0.12,0.02,0.013,True,1.6391674941299682926712477897
0.021,0.10,0.02,0.013,True,1.6362225696709129374819369391
0.007,0,0.02,0.018,False,1.6353961579657696839118201677
0.015,0.12,0.02,0.010,True,1.6330756915398500462597156163
0.008,0,0.02,0.017,False,1.6309470254424931861763314807
0.012,0.04,0.02,0.018,False,1.6288275438179064585103666289
0.013,0.12,0.02,0.010,True,1.6270628039620903699025303536
0.011,0.03,0.02,0.018,False,1.6250163859175419392436863468
0.015,0.12,0.02,0.009,True,1.6237000581326084914764788858
0.015,0.13,0.02,0.011,True,1.6227327918370655393856802970
0.035,0.12,0.02,0.005,False,1.6216779395153167349811891146
0.012,0.02,0.02,0.018,False,1.6214583552999938601184034547
0.035,0.13,0.02,0.005,False,1.6193297242020276570610061197
0.008,0,0.02,0.018,False,1.6181692769313497619654601239
0.002,0.06,0.02,0.009,False,1.6168193567542239734961607945
0.038,0.13,0.02,0.002,False,1.6160054554682479708592251212
0.035,0.12,0.02,0.003,False,1.6134801330870431213163205250
0.011,0.01,0.02,0.018,False,1.6121960948915864330032681242
0.020,0.14,0.02,0.013,True,1.6098229007812679267864958938
0.034,0.14,0.02,0.005,False,1.6067558834666991534093603814
0.038,0.13,0.02,0.003,False,1.6066421503178816059030082031
0.035,0.13,0.02,0.003,False,1.6052672694190026948067900066
0.015,0.11,0.02,0.007,True,1.6033137941193000449593176287
0.011,0.02,0.02,0.018,False,1.6030466200814453277316854921
0.015,0.15,0.02,0.011,True,1.6009163364918559992513807386
0.022,0.08,0.02,0.013,True,1.6008120225451074317236245856
0.009,0.01,0.02,0.017,False,1.6002766658595536117860002736
0.023,0.07,0.02,0.013,True,1.5999423296338866422438701852
0.010,0,0.02,0.018,False,1.5998427636388992005192651731
0.038,0.10,0.02,0.019,False,1.5990328529139378669045545348
0.011,0.04,0.02,0.018,False,1.5987880297793106643780825004
0.012,0.05,0.02,0.018,False,1.5978527812121223622251953283
0.034,0.14,0.02,0.011,False,1.5955585081029645041001284072
0.012,0.07,0.02,0.018,False,1.5941443433960530636441112429
0.020,0.07,0.02,0.013,True,1.5913506573065757560829295675
0.015,0.12,0.02,0.007,True,1.5876126339888949002005861608
0.015,0.12,0.02,0.008,True,1.5867924735959941436849725686
0.007,0.08,0.02,0.020,False,1.5852299197885977034348344387
0.017,0.15,0.02,0.010,True,1.5835462692421785863496806395
0.020,0.11,0.02,0.013,True,1.5835371835555791805722899665
0.021,0.12,0.02,0.013,True,1.5833335747406300673307092077
0.034,0.13,0.02,0.005,False,1.5826962454562054631077881440
0.034,0.01,0.02,0.001,False,1.5823542122888934970629759191
0.014,0.12,0.02,0.009,True,1.5798507685939258038048119590
0.034,0.01,0.02,0.002,False,1.5784482643231748284353860072
0.015,0.14,0.02,0.011,True,1.5770370828984784303086231460
0.038,0.12,0.02,0.002,False,1.5751188805348778600914540486
0.012,0.06,0.02,0.018,False,1.5732625049621296734609568894
0.018,0.12,0.02,0.010,True,1.5715119212937458418385599180
0.034,0.02,0.02,0.001,False,1.5695135790978491053654382957
0.002,0.07,0.02,0.009,False,1.5681792335055413301826413405
0.034,0.02,0.02,0.002,False,1.5677719257316069136032275137
0.015,0.15,0.02,0.010,True,1.5652513435558578793590090414
0.009,0.09,0.02,0.018,False,1.5641523346844069460815524646
0.015,0.10,0.02,0.007,True,1.5636319248771116877862085068
0.009,0.07,0.02,0.017,False,1.5626329258801987493649099610
0.035,0.14,0.02,0.020,True,1.5616274244030945005890943112
