StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.034,0.25,0.129,0.024,False,2.0917366004621960599900455648
0.036,0.22,0.128,0.023,False,2.0877216611111127222777089353
0.033,0.22,0.129,0.025,False,2.0835875375602903177393066947
0.036,0.24,0.128,0.024,False,2.0799592735709505135841722593
0.036,0.24,0.129,0.024,False,2.0799592735709505135841722593
0.036,0.24,0.130,0.024,False,2.0799592735709505135841722593
0.036,0.24,0.129,0.023,False,2.0750082501036494132714713168
0.036,0.24,0.130,0.023,False,2.0750082501036494132714713168
0.036,0.23,0.128,0.023,False,2.0494233170331670361917016850
0.034,0.22,0.129,0.024,False,2.0469484872683816757952725864
0.036,0.25,0.128,0.024,False,2.0437038663430366302805204913
0.036,0.25,0.129,0.024,False,2.0437038663430366302805204913
0.036,0.25,0.130,0.024,False,2.0437038663430366302805204913
0.036,0.25,0.129,0.023,False,2.0411910214306897912014432770
0.036,0.25,0.130,0.023,False,2.0411910214306897912014432770
0.036,0.24,0.128,0.023,False,2.0410520746410733599396839843
0.038,0.30,0.130,0.029,False,2.0324290922496085794325418872
0.033,0.22,0.130,0.024,False,2.0162792531905729755654579723
0.021,0.23,0.130,0.028,False,2.0112428001453915996377218155
0.032,0.23,0.128,0.028,False,2.0098791295249262130272601074
0.021,0.23,0.130,0.029,False,2.0096775393366853887027696006
0.015,0.05,0.123,0.035,True,2.0084179770632374320130768662
0.036,0.25,0.128,0.023,False,2.0072348459681137378696559445
0.015,0.06,0.123,0.035,True,2.0053433576424502184732227795
0.015,0.05,0.122,0.035,True,1.9985969507556178004032586243
0.020,0.23,0.128,0.024,False,1.9985285867468706990835986187
0.020,0.23,0.129,0.024,False,1.9985285867468706990835986187
0.020,0.23,0.130,0.024,False,1.9985285867468706990835986187
0.035,0.22,0.128,0.024,False,1.9963469865380666960958069787
0.015,0.06,0.122,0.035,True,1.9955223313348305868634045376
0.033,0.23,0.127,0.027,False,1.9946282662760943323802543391
0.021,0.23,0.129,0.028,False,1.9934362097849907207973607335
0.020,0.24,0.128,0.024,False,1.9928120928245553237500756614
0.020,0.24,0.129,0.024,False,1.9928120928245553237500756614
0.020,0.24,0.130,0.024,False,1.9928120928245553237500756614
0.020,0.24,0.128,0.023,False,1.9912294705815777689453906758
0.020,0.24,0.129,0.023,False,1.9912294705815777689453906758
0.020,0.24,0.130,0.023,False,1.9912294705815777689453906758
0.033,0.24,0.127,0.027,False,1.9879263029437099191472016163
0.033,0.23,0.121,0.023,False,1.9788174474043735896273144173
0.020,0.23,0.128,0.023,False,1.9709323778481996296549091264
0.020,0.23,0.129,0.023,False,1.9709323778481996296549091264
0.020,0.23,0.130,0.023,False,1.9709323778481996296549091264
0.020,0.24,0.130,0.029,False,1.9665841684029135629324427654
0.020,0.04,0.122,0.017,False,1.9625653158488687484405454600
0.030,0.24,0.127,0.023,False,1.9597806477479258218628560714
0.035,0.23,0.128,0.024,False,1.9583921533287781693466541877
0.027,0.25,0.129,0.023,False,1.9581087185180611097931210958
0.027,0.25,0.130,0.023,False,1.9581087185180611097931210958
0.026,0.23,0.127,0.024,False,1.9579341885713561491053756190
0.026,0.25,0.130,0.023,False,1.9564350610878896682762699439
0.036,0.26,0.128,0.014,False,1.9558064893245597549305164798
0.036,0.26,0.129,0.014,False,1.9558064893245597549305164798
0.036,0.26,0.130,0.014,False,1.9558064893245597549305164798
0.032,0.22,0.128,0.027,False,1.9553895185102114910783016050
0.021,0.21,0.128,0.023,False,1.9543061693794434591504369587
0.021,0.21,0.129,0.023,False,1.9543061693794434591504369587
0.021,0.21,0.130,0.023,False,1.9543061693794434591504369587
0.021,0.23,0.128,0.023,False,1.9519599080565374660855467204
0.021,0.23,0.129,0.023,False,1.9519599080565374660855467204
0.021,0.23,0.130,0.023,False,1.9519599080565374660855467204
0.035,0.24,0.128,0.024,False,1.9493312291385957164326501169
0.020,0.21,0.128,0.023,False,1.9461183250227455439589090361
0.020,0.21,0.129,0.023,False,1.9461183250227455439589090361
0.020,0.21,0.130,0.023,False,1.9461183250227455439589090361
0.034,0.25,0.130,0.024,False,1.9385649845131383777458278226
0.033,0.22,0.128,0.023,False,1.9383944046680816861877197412
0.033,0.22,0.129,0.023,False,1.9383944046680816861877197412
0.033,0.22,0.130,0.023,False,1.9383944046680816861877197412
0.018,0.23,0.130,0.025,False,1.9369689176051117004916320944
0.013,0.12,0.129,0.011,True,1.9343436921424550298738830854
0.013,0.12,0.130,0.011,True,1.9343436921424550298738830854
0.021,0.23,0.128,0.024,False,1.9322886663106413428081220331
0.021,0.23,0.129,0.024,False,1.9322886663106413428081220331
0.021,0.23,0.130,0.024,False,1.9322886663106413428081220331
0.021,0.24,0.128,0.023,False,1.9223558479392505450034243279
0.021,0.24,0.129,0.023,False,1.9223558479392505450034243279
0.021,0.24,0.130,0.023,False,1.9223558479392505450034243279
0.016,0.05,0.123,0.035,True,1.9214302924691194779560171998
0.021,0.24,0.128,0.024,False,1.9205906968515199073628840914
0.016,0.06,0.123,0.035,True,1.9183577140169141068763820176
0.030,0.25,0.128,0.023,False,1.9155952165849876645179440466
0.035,0.25,0.128,0.024,False,1.9148989738825572306259595529
0.034,0.23,0.121,0.023,False,1.9146854923338121241491625558
0.016,0.05,0.122,0.035,True,1.9140970683990979355127455280
0.032,0.15,0.127,0.035,False,1.9112723160199624601576770369
