StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.007,0,0.194,0.001,False,2.8436017633856082752086423284
0.007,0.01,0.194,0.001,False,2.8381695020048525346173953096
0.007,0.02,0.194,0.001,False,2.8262701016719217275179474676
0.008,0,0.193,0.001,False,2.6778716849738066451969882741
0.007,0,0.193,0.001,False,2.6740491316463535869970233761
0.007,0.01,0.193,0.001,False,2.6683151738366757868676976417
0.007,0.02,0.193,0.001,False,2.6607360512377127918105049558
0.028,0,0.198,0.005,False,2.6464257338614565694476210043
0.008,0.01,0.193,0.001,False,2.6427514043815079243255750600
0.028,0.01,0.198,0.005,False,2.6382464989253302216764002516
0.008,0.02,0.193,0.001,False,2.6372375546196451619450463421
0.034,0.03,0.171,0.012,True,2.6134810692584800888024792043
0.015,0.26,0.189,0.014,False,2.6053123964856759994270822575
0.019,0.04,0.180,0.029,False,2.6004139716673869592033104464
0.028,0,0.199,0.005,False,2.5995078630592844655113024894
0.029,0,0.198,0.005,False,2.5939916803524445929277237763
0.029,0,0.199,0.005,False,2.5939916803524445929277237763
0.033,0.03,0.171,0.012,True,2.5935107226290059546888463068
0.019,0.07,0.180,0.029,False,2.5928119635563176835021615056
0.028,0,0.199,0.006,False,2.5927272853331805925825551131
0.028,0.01,0.199,0.005,False,2.5918432186588055252010597073
0.030,0.03,0.171,0.012,True,2.5896074484315767673200307270
0.029,0,0.198,0.004,False,2.5890235247474205428172388476
0.029,0,0.199,0.004,False,2.5890235247474205428172388476
0.029,0.01,0.198,0.005,False,2.5866062567550323453989778078
0.029,0.01,0.199,0.005,False,2.5866062567550323453989778078
0.028,0.01,0.199,0.006,False,2.5845355324673448029141160046
0.029,0.01,0.198,0.004,False,2.5816358267893310816532457470
0.029,0.01,0.199,0.004,False,2.5816358267893310816532457470
0.024,0,0.195,0.024,False,2.5734082569951964078083861284
0.030,0,0.199,0.006,False,2.5703138751599391291768752180
0.016,0.26,0.189,0.014,False,2.5696427130565522417880542778
0.030,0,0.198,0.005,False,2.5638054537056638782482777231
0.030,0,0.199,0.005,False,2.5638054537056638782482777231
0.035,0.03,0.171,0.012,True,2.5637370836152274214930496564
0.030,0.01,0.199,0.006,False,2.5618438678063098052404744151
0.030,0,0.198,0.004,False,2.5594994293962333246531760760
0.030,0,0.199,0.004,False,2.5594994293962333246531760760
0.021,0.05,0.171,0.015,True,2.5555784126421929714709733413
0.030,0.01,0.198,0.005,False,2.5553331798918675917462440113
0.030,0.01,0.199,0.005,False,2.5553331798918675917462440113
0.030,0.01,0.198,0.004,False,2.5510248851771696979309130532
0.030,0.01,0.199,0.004,False,2.5510248851771696979309130532
0.029,0,0.199,0.006,False,2.5509523725710491703903338861
0.015,0,0.180,0.028,False,2.5505850894114396291478452323
0.031,0.03,0.171,0.012,True,2.5454358109091775921384495186
0.029,0.01,0.199,0.006,False,2.5430471959275692609267345973
0.038,0.03,0.171,0.012,True,2.5427801552366631113553931736
0.027,0,0.199,0.006,False,2.5411460652865901947941752994
0.028,0,0.198,0.004,False,2.5380914380588264811748240917
0.015,0.04,0.180,0.028,False,2.5372508591446774722032276254
0.017,0.26,0.189,0.014,False,2.5354809812760288742568357137
0.015,0,0.179,0.028,False,2.5351311644120641188930033927
0.027,0.01,0.199,0.006,False,2.5335645616384984558573506372
0.014,0.04,0.180,0.029,False,2.5331852883956059033388263474
0.024,0.01,0.197,0.024,False,2.5317631884172449705884413472
0.024,0.01,0.198,0.024,False,2.5317631884172449705884413472
0.024,0.01,0.199,0.024,False,2.5317631884172449705884413472
0.028,0.01,0.198,0.004,False,2.5299099247962675976870392984
0.031,0,0.199,0.006,False,2.5276238019242621279778811991
0.031,0,0.198,0.005,False,2.5214769605551908143506302832
0.031,0,0.199,0.005,False,2.5214769605551908143506302832
0.031,0.01,0.199,0.006,False,2.5197508365119941833904848946
0.036,0.03,0.171,0.012,True,2.5188790768593023114587482004
0.010,0,0.177,0.032,False,2.5185791521979523637119437066
0.025,0,0.195,0.024,False,2.5177239046752540952697528326
0.015,0,0.177,0.028,False,2.5176202982866721666891263640
0.015,0,0.178,0.028,False,2.5176202982866721666891263640
0.031,0,0.198,0.004,False,2.5167735662573576857073378691
0.031,0,0.199,0.004,False,2.5167735662573576857073378691
0.014,0,0.177,0.029,False,2.5164534275749927075362461367
0.014,0,0.178,0.029,False,2.5164534275749927075362461367
0.014,0,0.179,0.029,False,2.5164534275749927075362461367
0.031,0.01,0.198,0.005,False,2.5136017326175825859520552935
0.031,0.01,0.199,0.005,False,2.5136017326175825859520552935
0.024,0,0.199,0.040,True,2.5118136837212161289976255938
0.032,0.03,0.171,0.012,True,2.5093972921729706697310164312
0.031,0.01,0.198,0.004,False,2.5088960718595824947431299705
0.031,0.01,0.199,0.004,False,2.5088960718595824947431299705
0.011,0,0.179,0.029,False,2.5054506947447670283457082969
0.016,0,0.179,0.028,False,2.5048605876171821169536628778
0.022,0.05,0.171,0.015,True,2.5023087472855956234138073155
0.016,0,0.173,0.029,False,2.5020933416179815917573262461
0.037,0.03,0.171,0.012,True,2.5011402408755109537212113528
0.014,0.01,0.177,0.029,False,2.5000692512470573258421316866
0.014,0.01,0.178,0.029,False,2.5000692512470573258421316866
0.014,0.01,0.179,0.029,False,2.5000692512470573258421316866
0.030,0.22,0.162,0.012,True,2.4995501552225812390591521650
0.024,0,0.199,0.039,True,2.4976435634996651954040503835
0.024,0.05,0.171,0.005,False,2.4970469040034446826351011843
0.015,0.04,0.180,0.029,False,2.4970419216034680909686555893
0.030,0.22,0.162,0.013,True,2.4937284757226842045688564875
0.014,0.01,0.181,0.029,False,2.4927278140954300966629012614
0.014,0.01,0.182,0.029,False,2.4927278140954300966629012614
0.024,0,0.196,0.024,False,2.4915297921377400613392031291
0.014,0.01,0.180,0.029,False,2.4911896552840070849096493403
0.014,0,0.180,0.029,False,2.4903615859644479350278629202
0.027,0,0.198,0.005,False,2.4893206859691909072265076274
0.027,0,0.199,0.005,False,2.4893206859691909072265076274
0.028,0,0.199,0.004,False,2.4892631836637341989524736322
0.021,0,0.173,0.020,False,2.4888089846868323350709694837
0.011,0.01,0.179,0.029,False,2.4882641096972358457483745243
0.015,0,0.177,0.029,False,2.4881381677269113770995890184
0.015,0,0.178,0.029,False,2.4881381677269113770995890184
0.015,0,0.179,0.029,False,2.4881381677269113770995890184
0.024,0,0.195,0.026,False,2.4879649726145410847583442737
0.026,0,0.199,0.006,False,2.4875614038329990764223908087
0.016,0,0.176,0.028,False,2.4873941021725875737436674105
0.016,0,0.177,0.028,False,2.4873941021725875737436674105
0.016,0,0.178,0.028,False,2.4873941021725875737436674105
0.010,0.01,0.164,0.001,False,2.4848162594506982902102358325
0.014,0,0.181,0.029,False,2.4841892568700986735754390866
0.014,0,0.182,0.029,False,2.4841892568700986735754390866
0.025,0,0.199,0.006,False,2.4840237894915719305766444539
0.016,0,0.180,0.028,False,2.4824847316856946956371276588
0.013,0.03,0.178,0.005,False,2.4821833461830751826328662522
