StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0,0.01,0.150,0.017,False,2.7947825353968532496582557125
0,0.01,0.151,0.017,False,2.7947825353968532496582557125
0,0.01,0.152,0.017,False,2.7947825353968532496582557125
0,0.01,0.147,0.017,False,2.7937501292181944828093674465
0,0.01,0.148,0.017,False,2.7937501292181944828093674465
0,0.01,0.149,0.017,False,2.7937501292181944828093674465
0.015,0.10,0.152,0.029,False,2.7773406842938717226751820438
0.015,0.10,0.153,0.029,False,2.7773406842938717226751820438
0.021,0.09,0.145,0.029,False,2.7769028387789865531961077430
0.022,0.09,0.144,0.029,False,2.7504778232779879849357335868
0,0.02,0.150,0.017,False,2.7467295964700403714954869047
0,0.02,0.151,0.017,False,2.7467295964700403714954869047
0,0.02,0.152,0.017,False,2.7467295964700403714954869047
0,0.02,0.149,0.017,False,2.7455587830829134760190903083
0.015,0.10,0.146,0.029,False,2.7333214978273039966005602790
0,0.05,0.131,0.014,False,2.7286368944285479810174488458
0,0.05,0.132,0.014,False,2.7286368944285479810174488458
0,0.04,0.154,0.017,False,2.7136853094348445504741919091
0,0.04,0.155,0.017,False,2.7136853094348445504741919091
0.015,0,0.156,0.029,False,2.7127209653981458136506428224
0.019,0.01,0.159,0.029,False,2.7062078768291934213547111531
0.019,0.01,0.160,0.029,False,2.7062078768291934213547111531
0.033,0.01,0.144,0.022,False,2.6949748262148016983935365545
0.021,0.08,0.145,0.029,False,2.6914238459000475908674619568
0.014,0.10,0.153,0.029,False,2.6914155893957189394955003108
0.014,0.10,0.154,0.029,False,2.6914155893957189394955003108
0.019,0,0.158,0.029,False,2.6815605689659884284074574139
0.019,0,0.159,0.029,False,2.6815605689659884284074574139
0.019,0,0.160,0.029,False,2.6815605689659884284074574139
0,0.02,0.147,0.017,False,2.6723952749519173720825403388
0,0.02,0.148,0.017,False,2.6723952749519173720825403388
0.022,0.10,0.145,0.029,False,2.6568076413015725008215188648
0.022,0.10,0.146,0.029,False,2.6568076413015725008215188648
0.022,0.10,0.147,0.029,False,2.6568076413015725008215188648
0.034,0.01,0.144,0.022,False,2.6510029512748662666588326895
0.018,0.01,0.160,0.029,False,2.6476083736026913191501411281
0.018,0.09,0.142,0.029,False,2.6408312771728805408499872616
0.018,0.09,0.143,0.029,False,2.6408312771728805408499872616
0.018,0.09,0.144,0.029,False,2.6408312771728805408499872616
0.014,0.10,0.146,0.029,False,2.6408084313945819307494065445
0.016,0.10,0.152,0.029,False,2.6398848181846737261054624198
0.016,0.10,0.153,0.029,False,2.6398848181846737261054624198
0.033,0.01,0.138,0.022,False,2.6383571585912353578568503275
0.033,0.01,0.139,0.022,False,2.6375598188008341884295525866
0.036,0.01,0.130,0.005,True,2.6351574026090057524568480474
0.025,0.10,0.148,0.029,False,2.6347863441809167678824728312
0.016,0,0.160,0.029,False,2.6339201318200032061707707640
0.020,0,0.157,0.029,False,2.6329526041164204339962827745
0.020,0,0.158,0.029,False,2.6329526041164204339962827745
0.020,0,0.159,0.029,False,2.6329526041164204339962827745
0.020,0,0.160,0.029,False,2.6329526041164204339962827745
0.022,0.09,0.145,0.029,False,2.6327294712790915308933588324
0.019,0.01,0.138,0.029,False,2.6290286368442529693368390863
0.019,0.01,0.139,0.029,False,2.6290286368442529693368390863
0.019,0.01,0.140,0.029,False,2.6290286368442529693368390863
0.011,0.18,0.147,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.148,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.149,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.150,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.151,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.152,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.153,0.030,False,2.6287422272152549065292714924
0.023,0.10,0.145,0.029,False,2.6230772884269465137480118631
0.015,0,0.156,0.028,False,2.6229162365734535676135020283
0.018,0,0.159,0.029,False,2.6218039410304557904269656294
0.018,0,0.160,0.029,False,2.6218039410304557904269656294
0.022,0.10,0.144,0.029,False,2.6180317394370290581972714443
0,0.25,0.140,0.024,False,2.6179550224904073187882664066
0,0.25,0.141,0.024,False,2.6179550224904073187882664066
0,0.25,0.142,0.024,False,2.6179550224904073187882664066
0,0.25,0.143,0.024,False,2.6179550224904073187882664066
0.010,0.02,0.160,0.030,False,2.6163384450076322333497196205
0.018,0.09,0.145,0.029,False,2.6144731666439287038487832460
0.019,0,0.157,0.029,False,2.6079567819546019183901227523
0.033,0.01,0.143,0.022,False,2.5962254476799747632329952413
0.033,0.01,0.141,0.022,False,2.5960023900612779997893469186
0.033,0.01,0.142,0.022,False,2.5960023900612779997893469186
0.033,0.01,0.140,0.022,False,2.5954185609530998499724292765
0.010,0.12,0.157,0.029,False,2.5916895751381159385682500068
0.010,0.12,0.158,0.029,False,2.5916895751381159385682500068
0.010,0.12,0.159,0.029,False,2.5916895751381159385682500068
0.010,0.12,0.160,0.029,False,2.5916895751381159385682500068
0.012,0.04,0.160,0.030,False,2.5899927365445602757619881718
0.012,0.10,0.154,0.029,False,2.5891667365365105877246215967
0.012,0.10,0.155,0.029,False,2.5891667365365105877246215967
0.012,0.10,0.156,0.029,False,2.5891667365365105877246215967
0.018,0.01,0.138,0.029,False,2.5887289079798163569928270744
0.018,0.01,0.139,0.029,False,2.5887289079798163569928270744
0.018,0.01,0.140,0.029,False,2.5887289079798163569928270744
0.018,0.02,0.138,0.008,False,2.5885096724398692624856551351
0.034,0.01,0.138,0.022,False,2.5883223356223682172936171798
0,0.01,0.144,0.016,False,2.5871402620106563119621547311
0.012,0.18,0.147,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.148,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.149,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.150,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.151,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.152,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.153,0.030,False,2.5868575589559311755788023536
0.012,0.10,0.158,0.030,False,2.5815622085796637871197793600
0.023,0.09,0.145,0.029,False,2.5751148770007254651591429360
0.021,0,0.156,0.029,False,2.5713795812494485002783417249
0,0.04,0.139,0.015,False,2.5708594932698408541421220556
0.021,0,0.157,0.029,False,2.5707104812440267770628412545
0.021,0,0.158,0.029,False,2.5707104812440267770628412545
0.021,0,0.159,0.029,False,2.5707104812440267770628412545
0.021,0,0.160,0.029,False,2.5707104812440267770628412545
0.019,0.10,0.132,0.012,False,2.5706912101376933169519978534
0.019,0.10,0.133,0.012,False,2.5706912101376933169519978534
0.019,0.10,0.134,0.012,False,2.5706912101376933169519978534
0.012,0.10,0.159,0.030,False,2.5639212228719015218774053034
0.010,0.09,0.148,0.006,True,2.5638937411572882453044488702
0.020,0.01,0.138,0.029,False,2.5624469886979978282501420662
0.020,0.01,0.139,0.029,False,2.5624469886979978282501420662
0.010,0.14,0.152,0.030,False,2.5590241060258654850839030141
0.010,0.14,0.153,0.030,False,2.5590241060258654850839030141
0.010,0.14,0.154,0.030,False,2.5590241060258654850839030141
0.010,0.14,0.155,0.030,False,2.5590241060258654850839030141
0.018,0.06,0.159,0.029,False,2.5556660554283193880759282943
0.018,0.06,0.160,0.029,False,2.5556660554283193880759282943
0.018,0.01,0.142,0.024,False,2.5550040577205693970681991604
0.018,0.01,0.143,0.024,False,2.5549338117249301514906806752
0.018,0.01,0.144,0.024,False,2.5549338117249301514906806752
0.018,0,0.158,0.029,False,2.5500063993940063540193652307
0.017,0.10,0.152,0.029,False,2.5492873706129067794314027558
0.034,0.01,0.143,0.022,False,2.5489057223851708222128483912
0.021,0.09,0.146,0.029,False,2.5487483867505228861715712866
0.021,0.09,0.147,0.029,False,2.5487483867505228861715712866
0.018,0.02,0.137,0.008,False,2.5487270463646754377515264177
0.034,0.01,0.141,0.022,False,2.5486728295754926180262930861
0.034,0.01,0.142,0.022,False,2.5486728295754926180262930861
0.034,0.01,0.140,0.022,False,2.5485661497605092309726408070
0.005,0.13,0.150,0.005,False,2.5433252918538775096497308248
0.005,0.13,0.151,0.005,False,2.5433252918538775096497308248
0.005,0.13,0.152,0.005,False,2.5433252918538775096497308248
0.020,0.08,0.144,0.029,False,2.5428855604259248683672886298
0.014,0.01,0.158,0.029,False,2.5417832572860696423105076473
