StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0.01,0.112,0.017,False,2.5019163254734206378063865093
0.009,0.01,0.111,0.017,False,2.4040820089368849306138918085
0.026,0.30,0.111,0.006,False,2.3601059410976691674366975214
0.026,0.30,0.112,0.006,False,2.3601059410976691674366975214
0.009,0.02,0.112,0.017,False,2.3437613813253258750971566866
0.026,0.30,0.113,0.006,False,2.3289087168393146565336127541
0.026,0.30,0.111,0.005,False,2.2785256728411558207810504244
0.026,0.30,0.112,0.005,False,2.2785256728411558207810504244
0.026,0.30,0.113,0.005,False,2.2785256728411558207810504244
0.002,0.01,0.112,0.008,False,2.2726838904238174595974106909
0.009,0.01,0.113,0.017,False,2.2621637610876424931818279843
0.034,0.24,0.120,0.003,False,2.2618389462663169042574318912
0.036,0.25,0.119,0.031,False,2.2543552466532777288116995045
0.025,0.30,0.112,0.005,False,2.2541980451223422111119343819
0.025,0.30,0.113,0.005,False,2.2541980451223422111119343819
0.020,0.29,0.115,0.006,False,2.2537846117767001593630056628
0.009,0.02,0.111,0.017,False,2.2459702614964694848603917250
0.002,0.02,0.112,0.008,False,2.2252356288521989256453994379
0.035,0.24,0.119,0.003,False,2.2236300260970843443405484025
0.035,0.24,0.120,0.003,False,2.2236300260970843443405484025
0.037,0.25,0.119,0.031,False,2.2236149343140202662610840830
0.021,0.30,0.111,0.006,False,2.2198111270972331466496121632
0.021,0.30,0.112,0.006,False,2.2198111270972331466496121632
0.021,0.30,0.113,0.006,False,2.2198111270972331466496121632
0.003,0.06,0.112,0.008,False,2.2185334339340876936258285093
0.028,0.30,0.111,0.005,False,2.2117614736438245263393325311
0.003,0.08,0.112,0.008,False,2.2028909919674407443117932060
0.025,0.30,0.113,0.006,False,2.1991626035131522238150467178
0.002,0.02,0.112,0.009,False,2.1977808174315227008693670261
0.034,0.24,0.119,0.003,False,2.1923777371236767413725027801
0.036,0.24,0.119,0.003,False,2.1866263758156871950551549670
0.036,0.24,0.120,0.003,False,2.1866263758156871950551549670
0.027,0.29,0.114,0.006,False,2.1852944699215204021227702140
0.027,0.29,0.115,0.006,False,2.1852944699215204021227702140
0.040,0.02,0.115,0.011,True,2.1850155193811723957312816949
0.028,0.30,0.112,0.005,False,2.1805843955092375006363276524
0.012,0.04,0.115,0.009,False,2.1776532022701847386880160028
0.012,0.04,0.116,0.009,False,2.1776532022701847386880160028
0.026,0.29,0.111,0.006,False,2.1747725230573844862130508716
0.026,0.29,0.112,0.006,False,2.1747725230573844862130508716
0.001,0,0.115,0.009,False,2.1744159046692001423275348469
0.012,0.03,0.117,0.009,False,2.1717451278496911346303996426
0.012,0.03,0.118,0.009,False,2.1717451278496911346303996426
