StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.021,0.14,0.087,0.001,False,2.1988199304459901051076844310
0.019,0.09,0.085,0.002,False,2.1977166643145154447998090796
0.022,0.14,0.087,0.001,False,2.1145931200567949067106898353
0.025,0.14,0.087,0.002,False,2.1056574022743920281593007160
0.025,0.14,0.088,0.002,False,2.1056574022743920281593007160
0.022,0.14,0.086,0.002,False,2.1001214362624367448592743463
0.022,0.14,0.087,0.002,False,2.1001214362624367448592743463
0.022,0.14,0.088,0.002,False,2.1001214362624367448592743463
0.023,0.14,0.087,0.002,False,2.0790496294304021092546343088
0.023,0.14,0.088,0.002,False,2.0790496294304021092546343088
0.025,0.15,0.086,0.002,False,2.0735907180123080762545363475
0.025,0.15,0.087,0.002,False,2.0735907180123080762545363475
0.021,0.14,0.086,0.002,False,2.0731415858923756569613000910
0.021,0.14,0.087,0.002,False,2.0731415858923756569613000910
0.025,0.15,0.088,0.002,False,2.0555130829878380313139340727
0.021,0.14,0.086,0.001,False,2.0526874385755460431289493587
0.021,0.14,0.085,0.001,False,2.0508731598198767756078531273
0.019,0.08,0.084,0.002,False,2.0506796452291480232333784398
0.022,0.15,0.088,0.002,False,2.0506161097852939244431263580
0.023,0.14,0.087,0.001,False,2.0227319073208111876576055317
0.023,0.15,0.087,0.002,False,2.0204352593890496821128450614
0.023,0.15,0.088,0.002,False,2.0204352593890496821128450614
0.018,0.10,0.086,0.001,False,2.0199149039303822478297051152
0.018,0.08,0.085,0.001,False,2.0042669296834453406822621427
0.019,0.09,0.084,0.001,False,2.0034234380419109132754047166
0.020,0.03,0.088,0.002,False,1.9993879711845067641635433904
0.024,0.14,0.087,0.001,False,1.9968382311954873686875003458
0.019,0.08,0.085,0.002,False,1.9957250443218609406980256017
0.019,0.09,0.084,0.002,False,1.9954524609500190022726298085
0.024,0.14,0.087,0.002,False,1.9918628206282046354454578285
0.037,0.02,0.081,0.005,False,1.9918039058643904055143743081
0.022,0.15,0.086,0.001,False,1.9916192453120688639591088061
0.022,0.15,0.087,0.001,False,1.9916192453120688639591088061
0.019,0.14,0.089,0.002,False,1.9911873934027134088830271927
0.015,0.11,0.084,0.023,False,1.9821018535643029107189315457
0.025,0.14,0.087,0.001,False,1.9816329753643166119966929191
0.025,0.16,0.086,0.002,False,1.9807924820533521119537598204
0.019,0.14,0.089,0.006,False,1.9798671127393370664569492974
0.019,0.14,0.086,0.002,False,1.9788876146329685363441451151
0.019,0.14,0.087,0.002,False,1.9788876146329685363441451151
0.019,0.14,0.088,0.002,False,1.9788876146329685363441451151
0.024,0.15,0.086,0.001,False,1.9783845291883300792981697473
0.024,0.15,0.087,0.001,False,1.9783845291883300792981697473
