StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.028,0.01,0.190,0.026,False,2.4987717448977096672178490019
0.040,0.03,0.189,0.031,True,2.4889384025889916689193748874
0.040,0.03,0.190,0.031,True,2.4889384025889916689193748874
0.040,0.04,0.189,0.031,True,2.4649207257757443172721165483
0.040,0.04,0.190,0.031,True,2.4649207257757443172721165483
0.016,0.03,0.189,0.017,False,2.4122426791851368364488316930
0.016,0.03,0.190,0.017,False,2.4122426791851368364488316930
0.021,0.03,0.190,0.016,False,2.3760565582075767575462357776
0.010,0,0.181,0.031,False,2.3452102986448377051277888094
0.014,0,0.183,0.028,False,2.3393367576221561971255275451
0.013,0,0.182,0.028,False,2.3392398884830242929496008920
0.038,0.03,0.189,0.030,True,2.3354893051317872792725219298
0.038,0.03,0.190,0.030,True,2.3354893051317872792725219298
0.014,0,0.181,0.029,False,2.3285144344684420164117515509
0.014,0,0.182,0.029,False,2.3285144344684420164117515509
0.016,0.04,0.189,0.017,False,2.3172091082993084052576694147
0.016,0.04,0.190,0.017,False,2.3172091082993084052576694147
0.038,0.04,0.189,0.030,True,2.3114713098456767550697045351
0.038,0.04,0.190,0.030,True,2.3114713098456767550697045351
0.014,0,0.184,0.028,False,2.3042471831695915733443761411
0.014,0,0.185,0.028,False,2.3034622369686229607385638919
0.005,0,0.181,0.028,False,2.3004600530604203874161697420
0.014,0,0.186,0.028,False,2.2938879359609100130711667345
0.014,0,0.187,0.028,False,2.2938879359609100130711667345
0.010,0,0.181,0.030,False,2.2929160594556208091786687627
0.014,0,0.188,0.028,False,2.2928787073731289549576611780
0.038,0.03,0.189,0.029,True,2.2913334568036709521946396334
0.038,0.03,0.190,0.029,True,2.2913334568036709521946396334
0.017,0,0.188,0.021,False,2.2909320559135304105981501004
0.014,0,0.182,0.028,False,2.2905637234846635970832063604
0.012,0.03,0.189,0.017,False,2.2885978011470821877431920506
0.012,0.03,0.190,0.017,False,2.2885978011470821877431920506
0.011,0.01,0.187,0.005,False,2.2879382895074022280572672335
0.011,0.01,0.188,0.005,False,2.2879382895074022280572672335
0.014,0,0.189,0.028,False,2.2868734201895678241669703635
0.014,0,0.190,0.028,False,2.2868734201895678241669703635
0.036,0,0.189,0.004,True,2.2867480510820457511439088019
0.040,0.06,0.187,0.023,True,2.2853864350658520437093659971
0.019,0.03,0.190,0.017,True,2.2817204415890787750528966415
0.014,0,0.188,0.040,False,2.2728658554841687007561764676
0.014,0,0.189,0.040,False,2.2728658554841687007561764676
0.034,0,0.189,0.004,True,2.2727468458934150639464394376
0.034,0,0.190,0.004,True,2.2727468458934150639464394376
0.005,0,0.189,0.028,False,2.2721710553054935811107948168
0.005,0,0.190,0.028,False,2.2721710553054935811107948168
0.034,0,0.189,0.005,True,2.2681746750446139998922654479
0.034,0,0.190,0.005,True,2.2681746750446139998922654479
0.013,0,0.181,0.028,False,2.2675056262843570529074362544
0.038,0.04,0.189,0.029,True,2.2673275356240353871182277058
0.038,0.04,0.190,0.029,True,2.2673275356240353871182277058
0.014,0.01,0.188,0.040,False,2.2610634191537658945736042048
0.014,0.01,0.189,0.040,False,2.2610634191537658945736042048
0.014,0.03,0.188,0.040,False,2.2604111499553914239054657911
0.014,0.03,0.189,0.040,False,2.2604111499553914239054657911
0.040,0.03,0.189,0.030,True,2.2564799025619002034889795352
0.040,0.03,0.190,0.030,True,2.2564799025619002034889795352
0.005,0,0.188,0.028,False,2.2535092996210473300505431398
0.014,0.05,0.188,0.040,False,2.2519262595249555667938069215
0.014,0.05,0.189,0.040,False,2.2519262595249555667938069215
0.014,0.04,0.188,0.040,False,2.2511764544204004245595737873
0.014,0.04,0.189,0.040,False,2.2511764544204004245595737873
0.014,0,0.187,0.040,False,2.2505392719132994644747625142
0.030,0,0.190,0.012,True,2.2500112399300547589089556583
0.017,0.08,0.181,0.006,False,2.2484598918776644091821869123
0.015,0,0.181,0.029,False,2.2462403728939243788117974200
0.015,0,0.182,0.029,False,2.2462403728939243788117974200
0.028,0.01,0.190,0.011,True,2.2452732106542793166070110881
0.040,0.05,0.187,0.023,True,2.2452437501377872463078893219
0.040,0.03,0.187,0.023,True,2.2445042273250649750401074996
0.040,0.04,0.187,0.023,True,2.2445042273250649750401074996
0.013,0.02,0.186,0.003,False,2.2441450803591030917650616155
0.014,0.01,0.187,0.040,False,2.2434098345860491730990805507
0.031,0,0.189,0.012,True,2.2433956453986724703913472999
0.031,0,0.190,0.012,True,2.2433956453986724703913472999
0.014,0.03,0.187,0.040,False,2.2427575653876747024309421370
0.025,0.02,0.181,0.029,False,2.2414831536712284783681884404
0.005,0,0.186,0.028,False,2.2409299437205684406961706880
0.005,0,0.187,0.028,False,2.2409299437205684406961706880
0.025,0.02,0.182,0.029,False,2.2408600642645541994093997556
0.024,0,0.189,0.023,True,2.2402640482657394834011939778
0.014,0,0.181,0.028,False,2.2395523888857575534392382069
0.040,0.06,0.187,0.020,True,2.2363573811496890323419439066
0.040,0.06,0.187,0.022,True,2.2354875395968755500226073181
0.040,0.06,0.187,0.021,True,2.2349295538674707086431651619
0.014,0.04,0.187,0.040,False,2.2346596924449912554715775909
0.010,0.01,0.189,0.004,False,2.2342470254481291221709063207
0.040,0.04,0.189,0.030,True,2.2324802982423539488603438968
0.040,0.04,0.190,0.030,True,2.2324802982423539488603438968
0.011,0,0.181,0.031,False,2.2318706405279531336169757323
0.028,0.03,0.190,0.026,False,2.2315663432680489065671209249
0.014,0.03,0.189,0.021,False,2.2221613543612660121636356323
0.014,0.05,0.187,0.040,False,2.2195729219116111842240860968
0.015,0,0.182,0.028,False,2.2194891739687075366714320514
0.013,0.03,0.189,0.017,False,2.2184912737150126793303067677
0.013,0.03,0.190,0.017,False,2.2184912737150126793303067677
0.008,0.07,0.190,0.023,False,2.2182900017477820763494114834
0.011,0,0.181,0.030,False,2.2178773496164941429104594350
0.038,0.06,0.187,0.020,True,2.2133310724013306620456751802
0.036,0,0.189,0.003,True,2.2113654776630538924592590029
0.015,0,0.183,0.028,False,2.2104780161730282513627219886
0.025,0,0.188,0.029,False,2.2103633852287225178459988513
0.025,0,0.189,0.029,False,2.2103633852287225178459988513
0.028,0.03,0.189,0.026,False,2.2082626088848874991921156185
0.040,0.03,0.189,0.029,True,2.2078537304439809182359035320
0.040,0.03,0.190,0.029,True,2.2078537304439809182359035320
0.005,0,0.184,0.028,False,2.2062364115831042178925754902
0.005,0,0.185,0.028,False,2.2062364115831042178925754902
0.015,0.03,0.188,0.040,False,2.2054792395446440676565644376
0.029,0.01,0.189,0.011,True,2.2031809134858464175290813473
0.029,0.01,0.190,0.011,True,2.2031809134858464175290813473
0.005,0,0.182,0.028,False,2.2027350060275068381973285730
0.015,0.01,0.188,0.040,False,2.2023087903809432545863650120
0.017,0,0.189,0.021,False,2.2018168424718004353969599564
0.017,0,0.190,0.021,False,2.2018168424718004353969599564
0.032,0,0.189,0.012,True,2.2006943947662545509732967143
0.032,0,0.190,0.012,True,2.2006943947662545509732967143
0.034,0,0.189,0.003,True,2.1997714544449560120788877519
0.034,0,0.190,0.003,True,2.1997714544449560120788877519
0.017,0.03,0.189,0.021,False,2.1978915794585195235237417515
0.017,0.03,0.190,0.021,False,2.1978915794585195235237417515
0.015,0.04,0.188,0.040,False,2.1978065134098125105566369742
0.040,0.05,0.187,0.020,True,2.1976471611444319356794256640
0.040,0.03,0.187,0.020,True,2.1969096338438029665750782778
0.040,0.04,0.187,0.020,True,2.1969096338438029665750782778
0.040,0.05,0.187,0.022,True,2.1967382782182867884494710702
0.015,0.05,0.188,0.040,False,2.1965565885251459499190777344
0.040,0.05,0.187,0.021,True,2.1962155622916608045143221077
0.040,0.03,0.187,0.022,True,2.1959994190427275346735057722
0.040,0.04,0.187,0.022,True,2.1959994190427275346735057722
0.040,0.03,0.187,0.021,True,2.1954773682850295146063806427
0.040,0.04,0.187,0.021,True,2.1954773682850295146063806427
0.014,0.02,0.188,0.040,False,2.1908666183894639434526567524
0.014,0.02,0.189,0.040,False,2.1908666183894639434526567524
0.014,0.03,0.190,0.020,False,2.1902389497504842702441139761
0.015,0.03,0.187,0.040,False,2.1893165851297540610030928192
0.004,0,0.181,0.028,False,2.1891632519853121198591474415
0.015,0.01,0.186,0.040,False,2.1861461359660532479328933936
0.015,0.01,0.187,0.040,False,2.1861461359660532479328933936
0.038,0.03,0.190,0.028,True,2.1845845471949914954341442475
0.005,0,0.183,0.028,False,2.1840316433065496954500231435
0.040,0.04,0.189,0.029,True,2.1838661487532079474316588200
0.040,0.04,0.190,0.029,True,2.1838661487532079474316588200
