StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.021,0.09,0.145,0.029,False,2.7769028387789865531961077430
0.022,0.09,0.144,0.029,False,2.7504778232779879849357335868
0.015,0.10,0.146,0.029,False,2.7333214978273039966005602790
0.033,0.01,0.144,0.022,False,2.6949748262148016983935365545
0.022,0.10,0.145,0.029,False,2.6568076413015725008215188648
0.022,0.10,0.146,0.029,False,2.6568076413015725008215188648
0.022,0.10,0.147,0.029,False,2.6568076413015725008215188648
0.034,0.01,0.144,0.022,False,2.6510029512748662666588326895
0.018,0.09,0.142,0.029,False,2.6408312771728805408499872616
0.018,0.09,0.143,0.029,False,2.6408312771728805408499872616
0.018,0.09,0.144,0.029,False,2.6408312771728805408499872616
0.014,0.10,0.146,0.029,False,2.6408084313945819307494065445
0.011,0.18,0.147,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.148,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.149,0.030,False,2.6287422272152549065292714924
0.011,0.18,0.150,0.030,False,2.6287422272152549065292714924
0.023,0.10,0.145,0.029,False,2.6230772884269465137480118631
0.022,0.10,0.144,0.029,False,2.6180317394370290581972714443
0.018,0.09,0.145,0.029,False,2.6144731666439287038487832460
0.021,0.08,0.145,0.029,False,2.6113666338222645521262400045
0.020,0,0.141,0.029,False,2.6062007106053493019060211473
0,0.25,0.143,0.024,False,2.6023897306053510199945250986
0.033,0.01,0.143,0.022,False,2.5962254476799747632329952413
0.033,0.01,0.141,0.022,False,2.5960023900612779997893469186
0.033,0.01,0.142,0.022,False,2.5960023900612779997893469186
0.012,0.18,0.147,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.148,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.149,0.030,False,2.5868575589559311755788023536
0.012,0.18,0.150,0.030,False,2.5868575589559311755788023536
0.022,0,0.145,0.021,False,2.5687730340533844878222384467
0.022,0.09,0.145,0.029,False,2.5535531400447306163029425948
0,0.01,0.141,0.017,False,2.5522292440432663937905972621
0.034,0.01,0.143,0.022,False,2.5489057223851708222128483912
0.034,0.01,0.141,0.022,False,2.5486728295754926180262930861
0.034,0.01,0.142,0.022,False,2.5486728295754926180262930861
0.020,0.08,0.144,0.029,False,2.5428855604259248683672886298
0.024,0.09,0.142,0.029,False,2.5357962028600988910143031485
0.017,0,0.141,0.029,False,2.5316637790766932013778783306
0.024,0.01,0.141,0.009,False,2.5258446672061801282876765776
0.021,0,0.141,0.029,False,2.5224431761780288571130790262
0.022,0,0.141,0.005,False,2.5199172525079884310466901475
0.023,0.10,0.144,0.029,False,2.5190262412557181005288704476
0.024,0.01,0.141,0.005,False,2.5184827271892160983076194535
0.012,0.10,0.147,0.030,False,2.5141256991931612544127618559
0.012,0.10,0.148,0.030,False,2.5141256991931612544127618559
0.012,0.10,0.149,0.030,False,2.5141256991931612544127618559
0.012,0.10,0.150,0.030,False,2.5141256991931612544127618559
0.025,0.10,0.148,0.029,False,2.5053084600653851386007726911
0.023,0,0.141,0.005,False,2.5042871454596368547207216345
0,0.01,0.141,0.018,False,2.5030334372874079874741866767
0.021,0,0.145,0.021,False,2.4985993371486439428216603070
0.023,0.09,0.145,0.029,False,2.4959701023168357390747567819
0.013,0.03,0.141,0.006,False,2.4947556295707510681293068473
0.013,0.03,0.142,0.006,False,2.4947556295707510681293068473
0.022,0.01,0.141,0.009,False,2.4886581003519168818041478283
0,0.01,0.144,0.016,False,2.4884738973697991785091587013
0.018,0.09,0.146,0.029,False,2.4863666358150996293369791559
0.018,0.09,0.147,0.029,False,2.4863666358150996293369791559
0.018,0.09,0.148,0.029,False,2.4863666358150996293369791559
0.012,0.18,0.146,0.029,False,2.4844378316362326095502060879
0.012,0.18,0.147,0.029,False,2.4844378316362326095502060879
0.012,0.18,0.148,0.029,False,2.4844378316362326095502060879
0.012,0.18,0.149,0.029,False,2.4844378316362326095502060879
0.012,0.18,0.150,0.029,False,2.4844378316362326095502060879
0.020,0.10,0.141,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.142,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.143,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.144,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.145,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.146,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.147,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.148,0.029,False,2.4817302516963143326718187532
0.020,0.10,0.149,0.029,False,2.4817302516963143326718187532
