StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.011,0,0.099,0.023,False,2.1223471587867863721396012340
0.010,0,0.100,0.023,False,2.0832057409982318972626887247
0.010,0,0.098,0.023,False,2.0232062117202719557447677708
0.010,0,0.099,0.023,False,2.0081767666432596614534840398
0.012,0,0.099,0.023,False,1.9970136484776826337039182658
0.011,0,0.100,0.023,False,1.9629651626202914078182978097
0.032,0.20,0.098,0.009,False,1.9582145613355746293939941910
0.032,0.20,0.099,0.006,False,1.9273319680405663385611398857
0.011,0,0.098,0.023,False,1.9265249599986603645803946328
0.010,0,0.097,0.023,False,1.9181900642539856483171961587
0.015,0,0.098,0.026,False,1.9041307507793571882679094365
0.015,0,0.099,0.026,False,1.9041307507793571882679094365
0.012,0,0.100,0.023,False,1.8881371475567253345984438601
0.032,0.22,0.098,0.006,False,1.8792619247555512708244308729
0.032,0.22,0.099,0.006,False,1.8792619247555512708244308729
0.033,0.20,0.098,0.009,False,1.8792099266177156324184129094
0.016,0,0.098,0.026,False,1.8683050682870526588423570902
0.016,0,0.099,0.026,False,1.8683050682870526588423570902
0.015,0,0.097,0.026,False,1.8620785659537941542522527704
0.033,0.20,0.098,0.006,False,1.8511496613877128012098813868
0.032,0.20,0.098,0.006,False,1.8392910217428579572135297914
0.016,0,0.097,0.026,False,1.8245181768284803870870802069
0.011,0,0.097,0.023,False,1.8195161138766756535341575278
0.015,0,0.100,0.026,False,1.8179816065466360819682181201
0.032,0.26,0.098,0.014,False,1.8133382442694036386674255212
0.032,0.26,0.099,0.014,False,1.8133382442694036386674255212
0.011,0.01,0.099,0.023,False,1.8062786113155113825821507299
0.015,0,0.095,0.026,False,1.7988413533556208690128685615
0.033,0.22,0.098,0.006,False,1.7982059008267805810456942049
0.031,0.20,0.100,0.006,False,1.7981019794157754231293426213
0.018,0,0.098,0.023,False,1.7965406680084716864293718060
0.011,0.04,0.097,0.022,False,1.7859095778762896742144708247
0.011,0.05,0.097,0.022,False,1.7795532766160464783385262584
0.011,0.02,0.099,0.023,False,1.7760064118623761859260672318
0.010,0.01,0.100,0.023,False,1.7678652991756570122178107423
0.011,0.04,0.098,0.022,False,1.7598244561119346831200004757
0.018,0,0.097,0.023,False,1.7556473235584278489909312821
0.011,0.05,0.098,0.022,False,1.7556141412895583837637008200
0.011,0.03,0.099,0.023,False,1.7481299878400810132646875120
0.012,0.02,0.099,0.023,False,1.7479983055407588895923521991
0.032,0.24,0.099,0.011,False,1.7459084876824592274443585548
0.032,0.25,0.098,0.014,False,1.7410995239579621358939312946
0.032,0.25,0.099,0.014,False,1.7410995239579621358939312946
0.010,0.02,0.100,0.023,False,1.7361865833369385840212011695
0.012,0.21,0.097,0.030,False,1.7243025299272871709258692719
0.012,0.21,0.098,0.030,False,1.7243025299272871709258692719
0.012,0.21,0.099,0.030,False,1.7243025299272871709258692719
0.022,0.02,0.097,0.031,True,1.7183118535002211398687880570
0.022,0.02,0.098,0.031,True,1.7183118535002211398687880570
0.031,0.22,0.098,0.006,False,1.7121927470019040443294425746
0.031,0.22,0.099,0.006,False,1.7121927470019040443294425746
0.031,0.22,0.100,0.006,False,1.7121927470019040443294425746
0.015,0,0.096,0.026,False,1.7109260606345217541715342924
0.013,0,0.099,0.023,False,1.7057763252387366288510650700
0.032,0.25,0.099,0.011,False,1.7031927058817261229626425535
0.010,0.03,0.100,0.023,False,1.7021476067652139420728262463
0.010,0.01,0.098,0.023,False,1.7017636377124499960682030725
0.032,0.26,0.096,0.014,False,1.6993030525408746010502908113
0.032,0.26,0.097,0.014,False,1.6993030525408746010502908113
0.033,0.21,0.098,0.006,False,1.6989432223775511765577098325
0.012,0.01,0.099,0.023,False,1.6989314177919718098397406548
0.018,0,0.099,0.023,False,1.6965543474431257535824242801
0.032,0.22,0.100,0.006,False,1.6915848956219025437910477796
0.031,0.20,0.098,0.006,False,1.6915062261141114868260501824
0.031,0.20,0.099,0.006,False,1.6915062261141114868260501824
0.033,0.24,0.098,0.009,False,1.6910446067358247846885026588
0.011,0.18,0.098,0.031,False,1.6904877439791053569001290855
0.009,0,0.098,0.023,False,1.6896682703761987359502390369
0.009,0,0.097,0.023,False,1.6870527584611211630192958503
0.010,0.01,0.099,0.023,False,1.6866233466069576057007508954
0.027,0.03,0.098,0.009,False,1.6850639510181983785971171409
0.032,0.26,0.094,0.014,False,1.6834612484543143825412260667
0.032,0.26,0.095,0.014,False,1.6834612484543143825412260667
0.032,0.20,0.100,0.006,False,1.6810142262976081541332124553
0.014,0,0.099,0.023,False,1.6793620088748194809028917400
0.034,0.22,0.100,0.006,False,1.6767166151697371683139617725
0.022,0.03,0.097,0.031,True,1.6754700325462106475776911364
0.022,0.03,0.100,0.031,True,1.6727946412838798320603090569
0.033,0.25,0.098,0.009,False,1.6694945827853548686361954564
0.033,0.25,0.099,0.009,False,1.6694945827853548686361954564
0.018,0.02,0.099,0.023,False,1.6688193657598516977245956715
0.022,0.03,0.099,0.031,True,1.6676123620577376735236010257
0.032,0.24,0.098,0.010,False,1.6670531012216382934908103084
0.032,0.24,0.099,0.010,False,1.6670531012216382934908103084
0.010,0.02,0.098,0.023,False,1.6663719693921751529546999847
0.022,0.02,0.097,0.009,False,1.6658668573835081029970001652
0.016,0,0.096,0.026,False,1.6622715225428130030572135251
0.021,0.03,0.097,0.031,True,1.6620469612492226663673846399
0.018,0,0.094,0.024,False,1.6616749953070868656081632206
0.022,0.02,0.098,0.010,False,1.6603352143673941982066855170
0.032,0.22,0.098,0.007,False,1.6586442054071583223951352178
0.032,0.22,0.099,0.007,False,1.6586442054071583223951352178
0.033,0.23,0.098,0.009,False,1.6583592804940590430169792237
0.011,0.01,0.100,0.023,False,1.6575316134488940617682231189
0.033,0.25,0.098,0.010,False,1.6572257563257729195298375463
0.033,0.25,0.099,0.010,False,1.6572257563257729195298375463
0.012,0,0.098,0.015,False,1.6566045080783110411919079278
0.012,0,0.099,0.015,False,1.6566045080783110411919079278
0.010,0.02,0.099,0.023,False,1.6559481827281185306098975609
0.021,0.03,0.100,0.031,True,1.6526971699025156664399711965
0.032,0.20,0.099,0.009,False,1.6524822848721108767338062791
0.011,0.19,0.098,0.031,False,1.6506252390910476677339064462
0.021,0.03,0.099,0.031,True,1.6499617527444443487063316046
0.024,0.03,0.097,0.009,False,1.6499322306901469409146713703
0.034,0.26,0.098,0.013,False,1.6443031464512699313387055672
0.032,0.21,0.098,0.006,False,1.6439955281206173460569440334
0.032,0.21,0.099,0.006,False,1.6439955281206173460569440334
0.023,0.03,0.097,0.031,True,1.6411030731002718363472207907
0.023,0.03,0.098,0.031,True,1.6411030731002718363472207907
0.032,0.27,0.098,0.014,False,1.6398043396659028184488842649
0.032,0.27,0.099,0.014,False,1.6398043396659028184488842649
0.024,0.03,0.098,0.009,False,1.6397179501378885468920653656
0.022,0.02,0.100,0.031,True,1.6392537595983450085572207388
0.022,0.02,0.096,0.031,True,1.6389994315464197121633277283
0.022,0.03,0.098,0.031,True,1.6387016437308791683564327642
0.034,0.23,0.100,0.008,False,1.6379101826036534462544379282
0.024,0.02,0.097,0.009,False,1.6369864965118094341550922045
0.015,0,0.099,0.027,False,1.6363471605182439226423834714
0.022,0.02,0.099,0.031,True,1.6340714803722028500205127076
0.010,0.03,0.098,0.023,False,1.6329270174681810185281485510
0.033,0.26,0.098,0.013,False,1.6325508356821322179624663220
