StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0,0.180,0.028,False,2.7451727633848126420595925946
0.016,0,0.180,0.028,False,2.6847235955275288248021278116
0.018,0.10,0.180,0.011,False,2.6623539923632275446792631692
0.017,0.01,0.180,0.028,False,2.6286954063958882028253608295
0.017,0,0.180,0.028,False,2.6220623294652180727683844880
0.019,0,0.173,0.029,False,2.6201463073790075757985309933
0.019,0.01,0.173,0.029,False,2.6065970652964152976296594788
0.019,0.04,0.180,0.029,False,2.6004139716673869592033104464
0.019,0.07,0.180,0.029,False,2.5928119635563176835021615056
0.019,0.01,0.180,0.029,False,2.5810924709000274757270637849
0.019,0.10,0.180,0.008,False,2.5789854976097761677570170295
0.016,0,0.173,0.029,False,2.5627702570049312870874491090
0.018,0.10,0.180,0.010,False,2.5614028291615163587862303262
0.015,0.04,0.180,0.028,False,2.5372508591446774722032276254
0.014,0.04,0.180,0.029,False,2.5331852883956059033388263474
0.014,0,0.177,0.029,False,2.5300221222694736954320524118
0.014,0,0.178,0.029,False,2.5300221222694736954320524118
0.014,0,0.179,0.029,False,2.5300221222694736954320524118
0.011,0,0.179,0.029,False,2.5237412666721365121946912635
0.011,0,0.173,0.008,False,2.5206685143459339051957247668
0.019,0,0.180,0.029,False,2.5147916789364433779381104932
0.014,0.01,0.177,0.029,False,2.5136379459415383137379379617
0.014,0.01,0.178,0.029,False,2.5136379459415383137379379617
0.014,0.01,0.179,0.029,False,2.5136379459415383137379379617
0.021,0.12,0.180,0.008,False,2.5133964511220667439862684999
0.011,0.01,0.173,0.008,False,2.5081236402798768414166906593
0.011,0.01,0.179,0.029,False,2.5065546816246053295973574909
0.020,0.12,0.179,0.011,False,2.5065129226434856556853227869
0.020,0.12,0.180,0.011,False,2.5065129226434856556853227869
0.014,0.01,0.180,0.029,False,2.5047583499784880728054556154
0.014,0,0.180,0.029,False,2.5039302806589289229236691953
0.010,0,0.173,0.009,False,2.4998062109234398093153500611
0.010,0,0.174,0.009,False,2.4998062109234398093153500611
0.015,0,0.177,0.029,False,2.4994878707000264268036594542
0.015,0,0.178,0.029,False,2.4994878707000264268036594542
0.015,0,0.179,0.029,False,2.4994878707000264268036594542
0.015,0.04,0.180,0.029,False,2.4970419216034680909686555893
0.013,0,0.180,0.028,False,2.4967196545337620034789556490
0.010,0,0.177,0.032,False,2.4850433594788637343441841419
0.011,0.02,0.173,0.008,False,2.4842991276276359662761415441
0.005,0.30,0.174,0.002,True,2.4794942961959522537178099322
0.005,0.30,0.175,0.002,True,2.4794942961959522537178099322
0.005,0.30,0.176,0.002,True,2.4794942961959522537178099322
0.005,0.30,0.177,0.002,True,2.4794942961959522537178099322
0.005,0.30,0.178,0.002,True,2.4794942961959522537178099322
0.005,0.30,0.179,0.002,True,2.4794942961959522537178099322
