StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.01,0.117,0.010,False,2.5123309558184531134375453335
0.001,0.01,0.117,0.006,True,2.4736723808523201519714283881
0.022,0.01,0.116,0.008,False,2.4425618034283025051081350727
0.003,0.01,0.117,0.006,True,2.3994068475296375456833663781
0.022,0.01,0.115,0.008,False,2.3955073396004040282507556125
0.020,0,0.117,0.010,False,2.3577755537403162972215915269
0.022,0,0.116,0.008,False,2.3543714551075320598988825892
0.022,0.01,0.117,0.008,False,2.3517117401067683270978796191
0.001,0.01,0.116,0.006,True,2.3496814757038268457836333521
0.020,0.10,0.117,0.010,False,2.3463416302063432081020439803
0.020,0.10,0.118,0.010,False,2.3463416302063432081020439803
0.002,0.01,0.117,0.006,True,2.3316257938170571791866400425
0.028,0.17,0.115,0.008,False,2.3279389373168047160928756081
0.028,0.17,0.116,0.008,False,2.3001504909321299279107478068
0.028,0.17,0.117,0.008,False,2.3001504909321299279107478068
0,0.08,0.114,0.013,False,2.2847961277521940864209599726
0.029,0.26,0.116,0.029,False,2.2843058529819804057012735806
0.029,0.26,0.117,0.029,False,2.2843058529819804057012735806
0.001,0.02,0.116,0.006,True,2.2835938592981454249964141655
0.001,0,0.117,0.006,True,2.2815685778389933550788590031
0.023,0,0.116,0.008,False,2.2811896431953327813048977439
0.023,0,0.117,0.008,False,2.2811896431953327813048977439
0.020,0.01,0.118,0.010,False,2.2783385660319704592683601014
0.021,0.10,0.117,0.009,False,2.2653564530392823530812026486
0.038,0.11,0.116,0.025,True,2.2610774905480069225603656509
0.038,0.11,0.117,0.025,True,2.2610774905480069225603656509
0.003,0.01,0.116,0.006,True,2.2455112921335880373175506762
0.001,0.01,0.120,0.006,True,2.2447296525631081203125137114
0.020,0.01,0.119,0.010,False,2.2345885103867682968265649457
0.029,0.27,0.116,0.029,False,2.2324328957745257509648107276
0.029,0.27,0.117,0.029,False,2.2324328957745257509648107276
0.029,0.27,0.118,0.029,False,2.2324328957745257509648107276
0.029,0.27,0.119,0.029,False,2.2324328957745257509648107276
0.040,0.01,0.115,0.010,True,2.2315672578354933294203608883
0,0.26,0.120,0.025,False,2.2286525864612543873988741780
0.021,0.10,0.118,0.009,False,2.2282786236396047525299320259
0.039,0.11,0.116,0.025,True,2.2242489095425257324267224144
0.039,0.11,0.117,0.025,True,2.2242489095425257324267224144
0.022,0,0.116,0.009,False,2.2215718168461584090451987871
0.022,0,0.117,0.009,False,2.2215718168461584090451987871
0.001,0.01,0.118,0.006,True,2.2197140606560423859656862593
0.021,0.11,0.117,0.009,False,2.2190898514656483863533134553
0.019,0,0.116,0.010,False,2.2189201670811616476655400985
0.038,0.11,0.118,0.025,True,2.2185042672114931260674343350
0.038,0.11,0.119,0.025,True,2.2185042672114931260674343350
0.038,0.11,0.120,0.025,True,2.2185042672114931260674343350
0.032,0.29,0.115,0.029,False,2.2094637196082711767954661868
0,0.26,0.119,0.025,False,2.2093089288099900729826862185
0.021,0.11,0.116,0.009,False,2.2089110011188776455453648776
0.022,0,0.117,0.008,False,2.2038092144300712858917139140
0.036,0.25,0.119,0.031,False,2.2014589669627396650678941339
0.030,0.27,0.116,0.029,False,2.1944496651899762383341217527
0.030,0.27,0.117,0.029,False,2.1944496651899762383341217527
0.030,0.27,0.118,0.029,False,2.1944496651899762383341217527
0.021,0,0.117,0.010,False,2.1917414412571815065728046868
0.005,0.27,0.113,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.114,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.115,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.116,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.117,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.118,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.119,0.022,False,2.1883142670985935801818234411
0.005,0.27,0.120,0.022,False,2.1883142670985935801818234411
0.017,0.10,0.119,0.006,True,2.1875058107453227473871944513
0.039,0.11,0.118,0.025,True,2.1813397900926828918604415077
0.039,0.11,0.119,0.025,True,2.1813397900926828918604415077
0.039,0.11,0.120,0.025,True,2.1813397900926828918604415077
0.001,0.02,0.120,0.006,True,2.1773646222795237809001006684
0.003,0,0.117,0.006,True,2.1770493715260807219493933067
0.039,0.12,0.118,0.026,True,2.1747861981853196334455011626
0.039,0.12,0.119,0.026,True,2.1747861981853196334455011626
0.037,0.25,0.119,0.031,False,2.1707186546234822025172787124
0.022,0.10,0.115,0.008,False,2.1705042978309431415032854713
0.017,0.09,0.117,0.012,False,2.1640828046276104835598342230
0.037,0.23,0.120,0.014,False,2.1618880425913516274804040878
0.027,0.17,0.116,0.008,False,2.1578745318501087326666801788
0.001,0.02,0.117,0.006,True,2.1545770275644323988112812419
0.001,0.02,0.118,0.006,True,2.1545770275644323988112812419
0.001,0,0.116,0.006,True,2.1520697714028026086676545550
0.040,0.11,0.118,0.025,True,2.1517752483899907917869476675
0.040,0.11,0.119,0.025,True,2.1517752483899907917869476675
0.040,0.11,0.120,0.025,True,2.1517752483899907917869476675
0.018,0.10,0.118,0.009,False,2.1480844838846645166024306850
0.040,0.12,0.117,0.025,True,2.1463997550320271810071622716
0.040,0.12,0.118,0.025,True,2.1463997550320271810071622716
0.040,0.12,0.119,0.025,True,2.1463997550320271810071622716
0.038,0.14,0.120,0.026,True,2.1462924754488324171629420376
0.016,0.10,0.120,0.006,True,2.1455310163398384233918423108
0.002,0,0.117,0.006,True,2.1427677742510351674968437244
0.036,0.28,0.115,0.035,False,2.1420145865728233243140332353
0.040,0.12,0.117,0.026,True,2.1408672922993305425269073208
0.040,0.12,0.118,0.026,True,2.1408672922993305425269073208
0.040,0.12,0.119,0.026,True,2.1408672922993305425269073208
0.021,0,0.116,0.010,False,2.1385496461072185954453359924
0.002,0.01,0.116,0.006,True,2.1373881497002257481482452290
0,0.08,0.120,0.014,False,2.1362027952173292023949932832
0.034,0.29,0.111,0.006,False,2.1362001467390578568479684189
0.034,0.29,0.112,0.006,False,2.1362001467390578568479684189
0.034,0.29,0.113,0.006,False,2.1362001467390578568479684189
0.015,0.09,0.119,0.006,True,2.1356065480760550270266013143
0.015,0.09,0.120,0.006,True,2.1356065480760550270266013143
0.001,0.01,0.119,0.006,True,2.1354148397821659712484401196
0.022,0.10,0.116,0.008,False,2.1351258335690311136761463285
0,0.26,0.118,0.025,False,2.1330880776799476827971999475
0,0.08,0.118,0.014,False,2.1327734240564224690151745567
0.023,0,0.116,0.009,False,2.1320646022908798132212907095
0.023,0,0.117,0.009,False,2.1320646022908798132212907095
0,0.27,0.118,0.025,False,2.1311205516926005978325579287
0,0.27,0.119,0.025,False,2.1311205516926005978325579287
0.021,0.01,0.117,0.010,False,2.1310122644409349050893717671
0.002,0.02,0.116,0.006,True,2.1290193346853145903325138542
0,0.08,0.117,0.013,False,2.1290082202228778212893841972
0.038,0.12,0.119,0.025,True,2.1273347496345443670065612895
0.038,0.12,0.120,0.025,True,2.1273347496345443670065612895
0.005,0.27,0.111,0.022,False,2.1262544389916571258803006900
0.005,0.27,0.112,0.022,False,2.1262544389916571258803006900
0.022,0.02,0.116,0.008,False,2.1260711731270494637088376383
0.020,0.11,0.117,0.010,False,2.1248238926173268635879257120
0.038,0.23,0.120,0.014,False,2.1226325169003474962200172784
0.020,0,0.118,0.010,False,2.1206196905636450578629179755
0.038,0.12,0.119,0.026,True,2.1194285789716944852074733315
0.001,0.04,0.120,0.006,True,2.1192995832602725977438672111
0.028,0.17,0.118,0.008,False,2.1191023857460767225351092138
0.040,0.12,0.120,0.025,True,2.1188974349420655831011202135
0.022,0.10,0.117,0.008,False,2.1167425266907096698829629570
0.026,0.16,0.116,0.008,False,2.1166655168405214016820819747
0.026,0.16,0.117,0.008,False,2.1166655168405214016820819747
0.022,0.01,0.118,0.008,False,2.1165101428758514735063618384
0.022,0.01,0.119,0.008,False,2.1165101428758514735063618384
0.020,0.09,0.118,0.010,False,2.1162689052375944579615895020
0.029,0.27,0.120,0.029,False,2.1152260497567201622519683417
0.037,0.12,0.120,0.025,True,2.1151826780820966312670421322
0.037,0.25,0.118,0.030,False,2.1146826375737701853734018788
0.001,0.03,0.120,0.006,True,2.1144817604858408025346367062
0.021,0.04,0.118,0.025,True,2.1126935873720134749033042128
0.037,0.28,0.114,0.035,False,2.1090551835902656302867187396
0.037,0.28,0.115,0.035,False,2.1090551835902656302867187396
0.011,0.10,0.119,0.006,True,2.1084081298809528329433384576
0.028,0.17,0.119,0.008,False,2.1057707389492795324691630378
0.028,0.17,0.120,0.008,False,2.1057707389492795324691630378
