StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.001,0,0.121,0.007,True,0.8141423322048203608060883406
0.001,0,0.117,0.007,True,0.8097228327824894043757441085
0.001,0,0.118,0.007,True,0.8097228327824894043757441085
0.001,0,0.119,0.007,True,0.8097228327824894043757441085
0.001,0,0.120,0.007,True,0.8097228327824894043757441085
0.003,0,0.121,0.006,True,0.8007635632101549247481667995
0.002,0.01,0.121,0.008,True,0.8000290464145273765047660941
0.003,0,0.117,0.006,True,0.7992244004902868698877848376
0.003,0,0.118,0.006,True,0.7992244004902868698877848376
0.003,0,0.119,0.006,True,0.7992244004902868698877848376
0.003,0,0.120,0.006,True,0.7992244004902868698877848376
0.002,0.01,0.120,0.008,True,0.7975271679024987402478903992
0.001,0,0.117,0.006,True,0.7972355510525057314836115653
0.001,0,0.118,0.006,True,0.7972355510525057314836115653
0.002,0.02,0.119,0.008,True,0.7956551776960263857284015191
0.002,0.02,0.120,0.008,True,0.7956551776960263857284015191
0.002,0.02,0.121,0.008,True,0.7956551776960263857284015191
0.001,0.01,0.117,0.007,True,0.7939705773785060666352752851
0.001,0.01,0.118,0.007,True,0.7939705773785060666352752851
0.001,0.01,0.119,0.007,True,0.7939705773785060666352752851
0.003,0.03,0.117,0.008,True,0.7885722079893308211565217424
0.003,0.03,0.118,0.008,True,0.7885722079893308211565217424
0.003,0.03,0.119,0.008,True,0.7885722079893308211565217424
0.003,0.03,0.120,0.008,True,0.7885722079893308211565217424
0.003,0.03,0.121,0.008,True,0.7885722079893308211565217424
0.002,0,0.121,0.007,True,0.7871125718800042047764122550
0.002,0.04,0.116,0.008,True,0.7861342344934090214947457543
0.002,0.04,0.117,0.008,True,0.7861342344934090214947457543
0.002,0.04,0.118,0.008,True,0.7861342344934090214947457543
0.002,0.04,0.119,0.008,True,0.7861342344934090214947457543
0.002,0.04,0.120,0.008,True,0.7861342344934090214947457543
0.003,0.01,0.117,0.006,True,0.7858863490761105400760401072
0.003,0.01,0.118,0.006,True,0.7858863490761105400760401072
0.003,0.01,0.119,0.006,True,0.7858863490761105400760401072
0.002,0,0.117,0.007,True,0.7846106933679755685195365601
0.002,0,0.118,0.007,True,0.7846106933679755685195365601
0.002,0,0.119,0.007,True,0.7846106933679755685195365601
0.002,0,0.120,0.007,True,0.7846106933679755685195365601
0.003,0.02,0.117,0.006,True,0.7823336743543092893248180016
0.003,0.02,0.118,0.006,True,0.7823336743543092893248180016
0.001,0.01,0.117,0.006,True,0.7814865031961728393179839324
0.001,0.01,0.118,0.006,True,0.7814865031961728393179839324
0.003,0.03,0.117,0.009,True,0.7795665494908461138093770171
0.003,0.01,0.121,0.008,True,0.7781337777339230426051630383
0.003,0.01,0.120,0.008,True,0.7765946150140549877447810764
0.003,0.03,0.119,0.001,False,0.7758771545368428630394587915
0.003,0.03,0.120,0.001,False,0.7758771545368428630394587915
0.003,0.03,0.121,0.001,False,0.7758771545368428630394587915
0.002,0.05,0.116,0.008,True,0.7749959102020656871585649688
