StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.023,0,0.144,0.026,True,2.6516825257981817809753464825
0.024,0,0.144,0.025,True,2.6446956218151331742640378766
0.024,0,0.145,0.025,True,2.6446956218151331742640378766
0.024,0.02,0.144,0.025,True,2.6350809249467404405442309915
0.024,0.02,0.145,0.025,True,2.6350809249467404405442309915
0.023,0.02,0.144,0.026,True,2.6342586987601284041008335593
0.023,0,0.144,0.025,True,2.6337111595394023792821600685
0.023,0,0.145,0.025,True,2.6337111595394023792821600685
0.023,0.03,0.144,0.025,True,2.6283914865557084916406559330
0.023,0.03,0.145,0.025,True,2.6283914865557084916406559330
0.024,0.06,0.144,0.025,True,2.6192762316129745297001624033
0.024,0.06,0.145,0.025,True,2.6192762316129745297001624033
0.023,0.02,0.144,0.025,True,2.6191954249203610637962442062
0.023,0.02,0.145,0.025,True,2.6191954249203610637962442062
0.023,0.04,0.144,0.025,True,2.6175876792043942440807332918
0.023,0.04,0.145,0.025,True,2.6175876792043942440807332918
0.016,0.02,0.150,0.012,True,2.6081580526327135485411680143
0.016,0.01,0.150,0.012,True,2.6074361323019880449419675927
0.024,0.03,0.144,0.025,True,2.6037193570650571880352268144
0.024,0.03,0.145,0.025,True,2.6037193570650571880352268144
0.023,0.03,0.144,0.026,True,2.6010030501588851427990561776
0.023,0.01,0.144,0.026,True,2.5973157336255613287253439022
0.024,0,0.144,0.026,True,2.5917706290713303947256306669
0.024,0.01,0.144,0.025,True,2.5903329394540638793791056814
0.024,0.01,0.145,0.025,True,2.5903329394540638793791056814
0.023,0.06,0.144,0.025,True,2.5903261982626155417382629809
0.023,0.06,0.145,0.025,True,2.5903261982626155417382629809
0.023,0.01,0.144,0.025,True,2.5804227490522606634560811923
0.023,0.01,0.145,0.025,True,2.5804227490522606634560811923
0.024,0.02,0.144,0.026,True,2.5803239943323440129486848106
0.017,0.02,0.150,0.012,True,2.5718840084216671458188479112
0.017,0.01,0.150,0.012,True,2.5712065838676522389097209149
0.029,0.01,0.153,0.021,False,2.5600177290798994942279498236
0.024,0.04,0.144,0.025,True,2.5583347809073712522560364837
0.024,0.04,0.145,0.025,True,2.5583347809073712522560364837
0.024,0.05,0.144,0.025,True,2.5568207974070718553171188784
0.024,0.05,0.145,0.025,True,2.5568207974070718553171188784
0.031,0.01,0.153,0.019,False,2.5494895572355248110120408152
0.024,0.03,0.144,0.026,True,2.5489624264506607604396806335
0.024,0.01,0.144,0.026,True,2.5374087361320096690137791901
0.016,0,0.150,0.012,True,2.5367397266636305756466879445
0.025,0,0.144,0.026,True,2.5364003707457594876790385898
0.024,0.01,0.144,0.027,True,2.5349450040445036274839063039
0.023,0.05,0.144,0.025,True,2.5288231478254635970378498551
0.023,0.05,0.145,0.025,True,2.5288231478254635970378498551
0.025,0.02,0.144,0.026,True,2.5280791716568538269381053933
0.029,0.05,0.150,0.021,False,2.5255956308096675050483483564
0.017,0,0.150,0.012,True,2.5226702614744505239599654691
0.030,0.01,0.153,0.020,False,2.5111596825356600696023941640
0.016,0.03,0.150,0.012,True,2.5098412991853943419698139539
0.036,0.23,0.156,0.020,False,2.5075317696012497718518637006
0.036,0.23,0.157,0.020,False,2.5075317696012497718518637006
0.036,0.23,0.158,0.020,False,2.5075317696012497718518637006
0.036,0.23,0.159,0.020,False,2.5075317696012497718518637006
0.036,0.23,0.160,0.020,False,2.5075317696012497718518637006
0.037,0.23,0.156,0.020,False,2.5053544487680794928374967584
0.037,0.23,0.157,0.020,False,2.5053544487680794928374967584
0.037,0.23,0.158,0.020,False,2.5053544487680794928374967584
0.037,0.23,0.159,0.020,False,2.5053544487680794928374967584
0.037,0.23,0.160,0.020,False,2.5053544487680794928374967584
0.037,0.23,0.156,0.019,False,2.5031271695478173980997434498
0.037,0.23,0.157,0.019,False,2.5031271695478173980997434498
0.037,0.23,0.158,0.019,False,2.5031271695478173980997434498
0.037,0.23,0.159,0.019,False,2.5031271695478173980997434498
0.037,0.23,0.160,0.019,False,2.5031271695478173980997434498
0.016,0.02,0.148,0.012,True,2.4994530202169639427831230099
0.016,0.02,0.149,0.012,True,2.4994530202169639427831230099
0.016,0.01,0.148,0.012,True,2.4986667682354071285253361671
0.016,0.01,0.149,0.012,True,2.4986667682354071285253361671
0.025,0.03,0.144,0.026,True,2.4986184947837969906467312280
0.036,0.23,0.156,0.019,False,2.4983150677924827513705019324
0.036,0.23,0.157,0.019,False,2.4983150677924827513705019324
0.036,0.23,0.158,0.019,False,2.4983150677924827513705019324
0.036,0.23,0.159,0.019,False,2.4983150677924827513705019324
0.036,0.23,0.160,0.019,False,2.4983150677924827513705019324
0.028,0.01,0.153,0.019,False,2.4974799671447522440532317127
0.028,0.01,0.154,0.019,False,2.4974799671447522440532317127
0.028,0.01,0.155,0.019,False,2.4974799671447522440532317127
0.028,0.01,0.156,0.019,False,2.4973945677157093471772890911
0.028,0.01,0.157,0.019,False,2.4973945677157093471772890911
0.036,0.24,0.158,0.020,False,2.4928218367453563631244432720
0.036,0.24,0.159,0.020,False,2.4928218367453563631244432720
0.036,0.24,0.160,0.020,False,2.4928218367453563631244432720
0.036,0.23,0.156,0.018,False,2.4890093033642113359729818264
0.036,0.23,0.157,0.018,False,2.4890093033642113359729818264
0.036,0.23,0.158,0.018,False,2.4890093033642113359729818264
0.036,0.23,0.159,0.018,False,2.4890093033642113359729818264
0.036,0.23,0.160,0.018,False,2.4890093033642113359729818264
0.036,0.24,0.158,0.018,False,2.4875647604713372393825565226
0.036,0.24,0.159,0.018,False,2.4875647604713372393825565226
0.036,0.24,0.160,0.018,False,2.4875647604713372393825565226
0.027,0.01,0.153,0.019,False,2.4868964809075269254565679754
0.027,0.01,0.154,0.019,False,2.4868964809075269254565679754
0.027,0.01,0.155,0.019,False,2.4868964809075269254565679754
0.027,0.01,0.156,0.019,False,2.4868160585889467251280619459
0.027,0.01,0.157,0.019,False,2.4868160585889467251280619459
0.028,0.01,0.153,0.018,False,2.4859857399177830138400992832
0.028,0.01,0.154,0.018,False,2.4859857399177830138400992832
0.028,0.01,0.155,0.018,False,2.4859857399177830138400992832
0.028,0.01,0.156,0.018,False,2.4859003404887401169641566616
0.028,0.01,0.157,0.018,False,2.4859003404887401169641566616
0.036,0.24,0.158,0.019,False,2.4856681335809434106920625470
0.036,0.24,0.159,0.019,False,2.4856681335809434106920625470
0.036,0.24,0.160,0.019,False,2.4856681335809434106920625470
0.037,0.23,0.156,0.018,False,2.4835153745612359405205547973
