StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.01,0.138,0.029,False,2.8191047352787947308867887237
0.019,0.01,0.139,0.029,False,2.8191047352787947308867887237
0.019,0.01,0.140,0.029,False,2.8191047352787947308867887237
0.018,0.01,0.138,0.029,False,2.7696661998596418119474731407
0.018,0.01,0.139,0.029,False,2.7696661998596418119474731407
0.018,0.01,0.140,0.029,False,2.7696661998596418119474731407
0.020,0.01,0.138,0.029,False,2.7603612156154669281272956939
0.020,0.01,0.139,0.029,False,2.7603612156154669281272956939
0,0.05,0.131,0.014,False,2.7066898369300396363904281595
0,0.05,0.132,0.014,False,2.7066898369300396363904281595
0.018,0.02,0.138,0.008,False,2.6866132838762726635242026193
0,0.04,0.139,0.015,False,2.6790283452793197876774910260
0.021,0.01,0.138,0.029,False,2.6691604042939979770541722088
0.018,0,0.139,0.029,False,2.6531752671981383717880257602
0.018,0.02,0.137,0.008,False,2.6468306578010788387900739019
0,0.03,0.136,0.015,False,2.6459667639402923239011394160
0,0.03,0.134,0.015,False,2.6400841835039185019814253081
0.018,0.01,0.139,0.028,False,2.6353857786167839516608814766
0.018,0.01,0.140,0.028,False,2.6353857786167839516608814766
0.016,0.18,0.139,0.019,False,2.6349198560687157639978931015
0.016,0.18,0.140,0.019,False,2.6349198560687157639978931015
0.019,0.01,0.138,0.028,False,2.6347890370644210253703439702
0.019,0.01,0.139,0.028,False,2.6347890370644210253703439702
0.019,0.01,0.140,0.028,False,2.6347890370644210253703439702
0,0.05,0.131,0.015,False,2.6220921189376165477548757969
0,0.05,0.132,0.015,False,2.6220921189376165477548757969
0.020,0.01,0.138,0.028,False,2.6156606657952198603393688542
0.020,0.01,0.139,0.028,False,2.6156606657952198603393688542
0,0.04,0.134,0.015,False,2.6149443418027930732132751747
0.032,0.01,0.139,0.021,False,2.6025017513700692856965545324
0,0.04,0.131,0.015,False,2.6005165838722179673612876575
0,0.04,0.132,0.015,False,2.6005165838722179673612876575
0,0.04,0.133,0.015,False,2.6005165838722179673612876575
0,0.04,0.137,0.015,False,2.5785549861470262731488164018
0.018,0.02,0.139,0.008,False,2.5662434051368028291999268489
0.018,0.02,0.140,0.008,False,2.5662434051368028291999268489
0.032,0.01,0.140,0.021,False,2.5565485799001125859934874508
0.032,0.01,0.138,0.022,False,2.5559659144575713626141854030
0.032,0.01,0.139,0.022,False,2.5529583880802810046411589026
0.038,0.01,0.132,0.008,True,2.5492048861876844758277482123
0.038,0.01,0.133,0.008,True,2.5492048861876844758277482123
0,0.25,0.140,0.024,False,2.5464640334700668081577047748
0,0.03,0.135,0.015,False,2.5454266294378014736831290934
0.033,0.01,0.138,0.022,False,2.5426124777401715280696162849
0.033,0.01,0.139,0.022,False,2.5418151379497703586423185440
0,0.03,0.131,0.015,False,2.5328684947069614378985973861
0,0.03,0.132,0.015,False,2.5328684947069614378985973861
