StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0,0.168,0.029,False,3.2017865921076931623218986653
0.015,0,0.168,0.029,False,3.1726641677887646493440172912
0.010,0,0.168,0.029,False,3.1270715766138828391649946685
0.016,0,0.166,0.029,False,3.1111197566924499526661309194
0.016,0,0.167,0.029,False,3.1111197566924499526661309194
0.016,0,0.168,0.029,False,3.1110075601935714867796113813
0.019,0.01,0.166,0.029,False,3.0936947557687083730882867343
0.019,0.01,0.167,0.029,False,3.0936947557687083730882867343
0.010,0,0.167,0.028,False,3.0896241886846530538328809206
0.010,0,0.168,0.028,False,3.0896241886846530538328809206
0.015,0,0.167,0.028,False,3.0821380295471415869481080513
0.015,0,0.168,0.028,False,3.0821380295471415869481080513
0.019,0,0.166,0.029,False,3.0741552063771080061518540793
0.019,0,0.167,0.029,False,3.0731883764393709612892703549
0.019,0,0.168,0.029,False,3.0730231508199935762483839557
0.016,0,0.166,0.028,False,3.0581324254332962145089964155
0.016,0,0.167,0.028,False,3.0580256372650722681784934931
0.016,0,0.168,0.028,False,3.0580256372650722681784934931
0.017,0.01,0.167,0.028,False,3.0079567996533435719351834699
0.011,0,0.168,0.029,False,3.0077071195087694692032359214
0.017,0,0.166,0.028,False,2.9913803745091467537685115146
0.017,0,0.167,0.028,False,2.9912524175561176759626169191
0.017,0,0.168,0.028,False,2.9912524175561176759626169191
0.014,0.01,0.168,0.029,False,2.9668570909488107949552971341
0.014,0.01,0.166,0.029,False,2.9646434716721428463061370777
0.014,0.01,0.167,0.029,False,2.9646434716721428463061370777
0.014,0,0.166,0.029,False,2.9520599732556312308185108461
0.014,0,0.167,0.029,False,2.9520599732556312308185108461
0.012,0,0.168,0.029,False,2.9433015773440106730930416533
0.010,0.01,0.168,0.029,False,2.9315148285657416444710851566
0.015,0,0.166,0.029,False,2.9228473994979004044388382200
0.015,0,0.167,0.029,False,2.9228473994979004044388382200
0.014,0.03,0.168,0.029,False,2.9134818936558904153412746231
0.012,0,0.167,0.028,False,2.9017791607230568716347108353
0.012,0,0.168,0.028,False,2.9017791607230568716347108353
0,0,0.187,0.025,False,2.8979606902437358000204746804
