StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.036,0.12,0.133,0.010,True,2.1122565816277324967939455254
0.036,0.12,0.134,0.010,True,2.1122565816277324967939455254
0.036,0.12,0.133,0.011,True,2.1087697029711489556148945643
0.024,0.08,0.131,0.040,False,2.1034913247597451143167961008
0.036,0.12,0.131,0.011,True,2.1022921298831087497405064550
0.036,0.12,0.132,0.011,True,2.1022921298831087497405064550
0.034,0.12,0.140,0.026,True,2.0974144643963436750453959060
0.036,0.12,0.132,0.012,True,2.0951086811984941519698249097
0.036,0.12,0.131,0.012,True,2.0886380502769999926183659087
0.014,0.28,0.140,0.024,False,2.0775200665588501138675940057
0.001,0.25,0.137,0.023,False,2.0754622703870654546173499483
0.024,0.07,0.131,0.040,False,2.0688749156869053409080815292
0.034,0.13,0.140,0.026,True,2.0647314195116388762506456993
0.036,0.12,0.131,0.013,True,2.0253044544754128389508384364
0.024,0.05,0.131,0.040,False,2.0073881586633424488936504586
0.036,0.12,0.136,0.007,True,1.9976579298255862169104812356
0.005,0.19,0.134,0.022,False,1.9974038374136355136715542237
0.023,0.04,0.136,0.024,True,1.9963805154503153155997506006
0.023,0.04,0.137,0.024,True,1.9963805154503153155997506006
0.005,0.19,0.135,0.022,False,1.9958993152575318694612106138
0.024,0.06,0.131,0.040,False,1.9955766742733076716422579851
0.004,0.19,0.134,0.023,False,1.9947821040823394281293244590
0.023,0.05,0.137,0.024,True,1.9903156641811230142964603508
0.036,0.11,0.135,0.008,True,1.9868169712719378994740921306
0.036,0.11,0.135,0.009,True,1.9815949138108034837553732374
0.002,0.26,0.136,0.028,False,1.9770072690824677565191313631
0.002,0.26,0.137,0.028,False,1.9770072690824677565191313631
0.002,0.26,0.138,0.028,False,1.9770072690824677565191313631
0.004,0.19,0.133,0.023,False,1.9755203712725579760138368963
0.036,0.11,0.134,0.009,True,1.9751057351565015874490201491
0.023,0.06,0.135,0.024,True,1.9717440153591534007871537714
0.023,0.06,0.136,0.024,True,1.9717440153591534007871537714
0.023,0.06,0.137,0.024,True,1.9717440153591534007871537714
0.004,0.19,0.135,0.022,False,1.9677934016125616713140052551
0.001,0.25,0.136,0.023,False,1.9672058490288020794412677730
0.024,0.10,0.137,0.034,False,1.9651598754156783948737814780
0.038,0.09,0.131,0.011,True,1.9614721691404127955813323445
0.038,0.09,0.132,0.011,True,1.9614721691404127955813323445
0.036,0.12,0.134,0.009,True,1.9609933423672281798563418554
0.024,0.10,0.138,0.034,False,1.9601170111556452136024357924
0.037,0.12,0.134,0.010,True,1.9544849903366399645069355717
0.014,0.27,0.131,0.009,False,1.9533399136648589749036210819
0.014,0.27,0.132,0.009,False,1.9533399136648589749036210819
0.014,0.27,0.133,0.009,False,1.9533399136648589749036210819
0.035,0.11,0.133,0.010,True,1.9532290797843545377426021264
0.035,0.11,0.134,0.010,True,1.9532290797843545377426021264
0.035,0.11,0.132,0.012,True,1.9518070244617513340418204838
0.001,0.26,0.137,0.023,False,1.9510278902025816466178051346
0.004,0.19,0.134,0.022,False,1.9477833702782902318276695291
0.035,0.11,0.131,0.012,True,1.9456771703266710187538218033
0.037,0.11,0.133,0.010,True,1.9445233383935224051233733529
0.037,0.11,0.134,0.010,True,1.9445233383935224051233733529
0.012,0.28,0.136,0.023,False,1.9444335201434700162599935606
0.012,0.28,0.137,0.023,False,1.9444335201434700162599935606
0.012,0.28,0.138,0.023,False,1.9444335201434700162599935606
0.040,0.21,0.140,0.024,True,1.9425882214263407560995419637
0.036,0.10,0.135,0.008,True,1.9424567367274341779396004025
0.036,0.10,0.136,0.008,True,1.9424567367274341779396004025
0.013,0.28,0.136,0.023,False,1.9413098575894792434181792159
0.013,0.28,0.137,0.023,False,1.9413098575894792434181792159
0.013,0.28,0.138,0.023,False,1.9413098575894792434181792159
0.023,0,0.136,0.024,True,1.9376910270539881949053934414
0.023,0,0.137,0.024,True,1.9376910270539881949053934414
0.023,0.02,0.136,0.024,True,1.9363892833644490804348399794
0.023,0.02,0.137,0.024,True,1.9363892833644490804348399794
0.023,0.01,0.136,0.024,True,1.9363484795802184815868891018
0.023,0.01,0.137,0.024,True,1.9363484795802184815868891018
0.036,0.10,0.135,0.009,True,1.9356659613151524123627840200
0.035,0.11,0.133,0.011,True,1.9345051649798310061860662472
0.037,0.12,0.133,0.010,True,1.9343190614575860465201778459
0.040,0.17,0.140,0.004,False,1.9334164606636020641629710905
0.037,0.11,0.135,0.008,True,1.9316130904153774040389444178
0.037,0.12,0.134,0.009,True,1.9300651788280736015923569108
0.036,0.10,0.134,0.009,True,1.9291767826608505160564309317
0.035,0.11,0.131,0.011,True,1.9283683686782046443751384584
0.035,0.11,0.132,0.011,True,1.9283683686782046443751384584
0.037,0.11,0.135,0.009,True,1.9257673239460475364068824032
0.037,0.11,0.134,0.009,True,1.9192677480227533845536061423
0.001,0.26,0.136,0.028,False,1.9155540157378534890135046150
0.001,0.26,0.137,0.028,False,1.9155540157378534890135046150
0.001,0.26,0.138,0.028,False,1.9155540157378534890135046150
0.023,0.03,0.136,0.024,True,1.9151054665221072843975553372
0.023,0.03,0.137,0.024,True,1.9151054665221072843975553372
0.014,0.09,0.136,0.009,False,1.9118067408788426942548388696
0.005,0.12,0.135,0.022,False,1.9099345022332949594706749703
0.005,0.12,0.136,0.022,False,1.9099345022332949594706749703
0.032,0.04,0.132,0.029,False,1.9076643295862027108828081908
0.014,0.28,0.137,0.024,False,1.9060544406017203772626700905
0.014,0.28,0.138,0.024,False,1.9060544406017203772626700905
0.011,0.25,0.131,0.029,True,1.9048483468741804167049448809
0.014,0.28,0.139,0.024,False,1.9041394435019487150644078222
0.038,0.12,0.133,0.010,True,1.9023571337494971681914841095
0.038,0.12,0.134,0.010,True,1.9023571337494971681914841095
0.001,0.25,0.136,0.022,False,1.9020638370399664644362050041
0.035,0.10,0.136,0.008,True,1.9003466770275471780027639444
0.001,0.23,0.137,0.023,False,1.8997462285018370720687325346
0.001,0.26,0.132,0.028,False,1.8988789090506267754494769847
0.036,0.11,0.136,0.008,True,1.8965507001815954616519761798
0.038,0.12,0.133,0.011,True,1.8962273229117936269058977153
0.021,0.25,0.131,0.016,True,1.8928345612607007852231590763
0.021,0.25,0.132,0.016,True,1.8928345612607007852231590763
0.036,0.11,0.134,0.010,True,1.8922970140507916202467405260
0.039,0.09,0.131,0.011,True,1.8908751761420755353971110058
0.005,0,0.135,0.022,False,1.8904197404653899060641126036
0.005,0,0.136,0.022,False,1.8904197404653899060641126036
0.012,0.27,0.133,0.033,True,1.8903624281416643690553133874
0.036,0.12,0.135,0.008,True,1.8899545184989038903266356609
0.036,0.12,0.136,0.008,True,1.8899545184989038903266356609
0.036,0.12,0.131,0.007,True,1.8893121193532600481592520785
0.036,0.12,0.132,0.007,True,1.8892342392340672287042775442
0.036,0.12,0.133,0.007,True,1.8890553225454054942318056770
0.036,0.12,0.134,0.007,True,1.8890553225454054942318056770
0.036,0.11,0.133,0.011,True,1.8885446567272264706832517956
0.037,0.07,0.136,0.008,True,1.8881659506942057993847292713
0.040,0.13,0.133,0.011,True,1.8874814598983619676508372920
0.036,0.12,0.135,0.009,True,1.8855692438706178219066704858
0.002,0.26,0.134,0.028,False,1.8853042259201789247975057538
0.002,0.26,0.135,0.028,False,1.8853042259201789247975057538
0.001,0.25,0.138,0.023,False,1.8836654775008435264009201659
0.001,0.25,0.139,0.023,False,1.8836654775008435264009201659
0.025,0.05,0.135,0.024,True,1.8831314912958570957328975540
0.025,0.05,0.136,0.024,True,1.8831314912958570957328975540
0.035,0.11,0.131,0.013,True,1.8810166411084244658028431805
0.005,0.19,0.133,0.022,False,1.8793617113571675207516511003
0.038,0.12,0.134,0.009,True,1.8783699838800750433949760286
0.002,0.27,0.136,0.023,False,1.8782800112113580134235493506
0.002,0.27,0.137,0.023,False,1.8782800112113580134235493506
0.014,0.09,0.133,0.009,False,1.8764676069403611170158347114
0.014,0.09,0.134,0.009,False,1.8764676069403611170158347114
0.014,0.09,0.135,0.009,False,1.8764676069403611170158347114
0.011,0.26,0.139,0.016,False,1.8723254266676039819599204512
0.036,0.11,0.133,0.010,True,1.8711725881748553833709661905
0.011,0.28,0.136,0.023,False,1.8707032973449827938512203643
0.011,0.28,0.137,0.023,False,1.8707032973449827938512203643
0.011,0.28,0.138,0.023,False,1.8707032973449827938512203643
0.025,0.06,0.135,0.024,True,1.8706997172681576352456361412
0.025,0.06,0.136,0.024,True,1.8706997172681576352456361412
0.038,0.12,0.131,0.011,True,1.8695522320434433418695556433
0.038,0.12,0.132,0.011,True,1.8695522320434433418695556433
0.012,0.23,0.138,0.013,False,1.8686962122808699856769549392
0.039,0.21,0.140,0.024,True,1.8665834646190678571340833347
