StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.016,0.01,0.150,0.012,True,2.7241907109123383865434930356
0.016,0.02,0.150,0.012,True,2.7225536594652044968230815920
0.031,0.04,0.150,0.014,False,2.6863761605930916800190328359
0.017,0.01,0.150,0.012,True,2.6845173180665935842045794232
0.031,0.05,0.150,0.014,False,2.6841538213532725357589021858
0.017,0.02,0.150,0.012,True,2.6828357708427490977940945543
0.029,0.01,0.153,0.021,False,2.6724421238335682769112498313
0.031,0.01,0.153,0.019,False,2.6562610968137103346980955934
0.016,0,0.150,0.012,True,2.6534943052739809172482133874
0.017,0,0.150,0.012,True,2.6359809956733918692548239774
0.030,0.01,0.153,0.020,False,2.6207601535926051267923577146
0.016,0.01,0.148,0.012,True,2.6154213468457574701268616100
0.016,0.01,0.149,0.012,True,2.6154213468457574701268616100
0.016,0.02,0.148,0.012,True,2.6138486270494548910650365876
0.016,0.02,0.149,0.012,True,2.6138486270494548910650365876
0.023,0,0.144,0.026,True,2.6084827486260410259303987652
0.024,0,0.144,0.025,True,2.6082951939136988977385061398
0.024,0,0.145,0.025,True,2.6082951939136988977385061398
0.024,0.02,0.144,0.025,True,2.5983298145196071506482007862
0.024,0.02,0.145,0.025,True,2.5983298145196071506482007862
0.023,0.03,0.144,0.025,True,2.5975179909615917849928034949
0.023,0.03,0.145,0.025,True,2.5975179909615917849928034949
0.023,0,0.144,0.025,True,2.5928091445937073198684628069
0.023,0,0.145,0.025,True,2.5928091445937073198684628069
0.023,0.02,0.144,0.026,True,2.5907068280457584094153723516
0.017,0.01,0.148,0.012,True,2.5890681628981752917930965296
0.017,0.01,0.149,0.012,True,2.5890681628981752917930965296
0.024,0.06,0.144,0.025,True,2.5887519642764521491098924338
0.024,0.06,0.145,0.025,True,2.5887519642764521491098924338
0.017,0.02,0.148,0.012,True,2.5874413933550661658484357398
0.017,0.02,0.149,0.012,True,2.5874413933550661658484357398
0.023,0.04,0.144,0.025,True,2.5803311910166918382361909316
0.023,0.04,0.145,0.025,True,2.5803311910166918382361909316
0.023,0.02,0.144,0.025,True,2.5779417324111209076900577496
0.023,0.02,0.145,0.025,True,2.5779417324111209076900577496
0.024,0.03,0.144,0.025,True,2.5777485235194577201144277673
0.024,0.03,0.145,0.025,True,2.5777485235194577201144277673
0.023,0.03,0.144,0.026,True,2.5678517593151616020251194617
0.023,0.06,0.144,0.025,True,2.5640521613536372941216657290
0.023,0.06,0.145,0.025,True,2.5640521613536372941216657290
0.023,0.01,0.144,0.026,True,2.5541159564534205736803961849
0.024,0.01,0.144,0.025,True,2.5539325115526296028535739446
0.024,0.01,0.145,0.025,True,2.5539325115526296028535739446
0.024,0,0.144,0.026,True,2.5530697051297782136461199685
0.016,0,0.148,0.012,True,2.5447249412074000008315819618
0.016,0,0.149,0.012,True,2.5447249412074000008315819618
0.024,0.02,0.144,0.026,True,2.5412719718864086755506513483
0.017,0,0.148,0.012,True,2.5405318405049735768433410838
0.017,0,0.149,0.012,True,2.5405318405049735768433410838
0.023,0.01,0.144,0.025,True,2.5395207341065656040423839307
0.023,0.01,0.145,0.025,True,2.5395207341065656040423839307
0.013,0.01,0.150,0.004,True,2.5329052792300185528297580443
0.028,0.01,0.154,0.019,False,2.5308591980583967797020396588
0.028,0.01,0.155,0.019,False,2.5308591980583967797020396588
0.028,0.01,0.156,0.019,False,2.5307737986293538828260970372
0.028,0.01,0.157,0.019,False,2.5307737986293538828260970372
0.030,0.05,0.150,0.021,False,2.5289677986093414716986732470
0.024,0.04,0.144,0.025,True,2.5278105135708488716657665142
0.024,0.04,0.145,0.025,True,2.5278105135708488716657665142
0.024,0.05,0.144,0.025,True,2.5262965300705494747268489089
0.024,0.05,0.145,0.025,True,2.5262965300705494747268489089
0.027,0.01,0.154,0.019,False,2.5242015330325610795355329263
0.027,0.01,0.155,0.019,False,2.5242015330325610795355329263
0.027,0.01,0.156,0.019,False,2.5241211107139808792070268968
0.027,0.01,0.157,0.019,False,2.5241211107139808792070268968
0.024,0.03,0.144,0.026,True,2.5207110638417822494700688027
0.028,0.01,0.154,0.018,False,2.5201726840995706815459244640
0.028,0.01,0.155,0.018,False,2.5201726840995706815459244640
0.028,0.01,0.156,0.018,False,2.5200872846705277846699818424
0.028,0.01,0.157,0.018,False,2.5200872846705277846699818424
0.028,0.01,0.154,0.017,False,2.5158575823148569734491505064
0.028,0.01,0.155,0.017,False,2.5158575823148569734491505064
0.028,0.01,0.156,0.017,False,2.5157721828858140765732078848
0.027,0.01,0.154,0.018,False,2.5104692625796865562779081604
0.027,0.01,0.155,0.018,False,2.5104692625796865562779081604
