StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.013,0.05,0.197,0.014,False,2.8019603624727076459760376381
0.013,0.05,0.198,0.014,False,2.8019603624727076459760376381
0.013,0.05,0.199,0.014,False,2.8019603624727076459760376381
0.013,0.04,0.193,0.014,False,2.7938388410809330006132729144
0.013,0.04,0.194,0.014,False,2.7938388410809330006132729144
0.019,0,0.173,0.029,False,2.7738723981355911191398720607
0.014,0.01,0.194,0.014,False,2.7709155842696408481254782711
0.015,0,0.180,0.028,False,2.7652713602752184061854932393
0.013,0.05,0.193,0.014,False,2.7562221039781768587273658405
0.013,0.05,0.194,0.014,False,2.7562221039781768587273658405
0.013,0.05,0.195,0.014,False,2.7562221039781768587273658405
0.013,0.05,0.196,0.014,False,2.7562221039781768587273658405
0.013,0.01,0.194,0.015,False,2.7525282535926822024440975676
0.014,0.05,0.192,0.014,False,2.7383366259214806759093159485
0.014,0.05,0.193,0.014,False,2.7383366259214806759093159485
0.014,0.05,0.194,0.014,False,2.7383366259214806759093159485
0.014,0.05,0.195,0.014,False,2.7383366259214806759093159485
0.014,0.05,0.196,0.014,False,2.7383366259214806759093159485
0.014,0.05,0.197,0.014,False,2.7383366259214806759093159485
0.014,0.05,0.198,0.014,False,2.7383366259214806759093159485
0.014,0.04,0.192,0.014,False,2.7225959768582615405584308131
0.014,0.04,0.193,0.014,False,2.7225959768582615405584308131
0.014,0.04,0.194,0.014,False,2.7225959768582615405584308131
0,0,0.192,0.025,False,2.7197064210558710371442950283
0,0,0.193,0.025,False,2.7197064210558710371442950283
0,0,0.194,0.025,False,2.7197064210558710371442950283
0,0,0.195,0.025,False,2.7197064210558710371442950283
0,0,0.196,0.025,False,2.7197064210558710371442950283
0.013,0.06,0.197,0.014,False,2.7165625819344475655033063911
0.013,0.06,0.198,0.014,False,2.7165625819344475655033063911
0.013,0.06,0.199,0.014,False,2.7165625819344475655033063911
0,0,0.197,0.025,False,2.7154459388727862315393758504
0,0,0.198,0.025,False,2.7057643437501770316814805286
0,0,0.199,0.025,False,2.7057643437501770316814805286
0.016,0,0.180,0.028,False,2.7048374475199386919748033334
0.014,0.06,0.192,0.014,False,2.7031366218461614671557784044
0.014,0.06,0.193,0.014,False,2.7031366218461614671557784044
0.014,0.06,0.194,0.014,False,2.7031366218461614671557784044
0.014,0.06,0.195,0.014,False,2.7031366218461614671557784044
0.014,0.06,0.196,0.014,False,2.7031366218461614671557784044
0.014,0.06,0.197,0.014,False,2.7031366218461614671557784044
0.014,0.06,0.198,0.014,False,2.7031366218461614671557784044
0.012,0.02,0.198,0.015,False,2.6980755838048955253429515886
0.012,0.02,0.199,0.015,False,2.6980755838048955253429515886
0.016,0,0.173,0.029,False,2.6911922472602967411127165749
0.012,0.06,0.199,0.015,False,2.6782373988677981119146005988
0.013,0.06,0.193,0.014,False,2.6708243234399167782546345935
0.013,0.06,0.194,0.014,False,2.6708243234399167782546345935
0.013,0.06,0.195,0.014,False,2.6708243234399167782546345935
0.013,0.06,0.196,0.014,False,2.6708243234399167782546345935
0.012,0.01,0.192,0.015,False,2.6696117990096171382601038078
0.012,0.01,0.193,0.015,False,2.6696117990096171382601038078
0.017,0,0.180,0.028,False,2.6421991075807195925252233938
0.014,0,0.177,0.029,False,2.6366564049345359707082302360
0.014,0,0.178,0.029,False,2.6366564049345359707082302360
0.014,0,0.179,0.029,False,2.6366564049345359707082302360
0.012,0.01,0.198,0.015,False,2.6245626660707526836313893926
0.011,0,0.179,0.029,False,2.6240248422074411033288269749
0.012,0.02,0.197,0.016,False,2.6219274415474930557063166158
0.012,0.02,0.198,0.016,False,2.6219274415474930557063166158
0.013,0.02,0.195,0.015,False,2.6219158207511713834863495949
0.013,0.02,0.196,0.015,False,2.6219158207511713834863495949
0.013,0.02,0.197,0.015,False,2.6219158207511713834863495949
0.013,0.02,0.198,0.015,False,2.6219028234362209774578251201
0.012,0.01,0.194,0.015,False,2.6192759999423042362297857994
0.012,0.03,0.194,0.015,False,2.6177462995850883115276794328
0,0.01,0.192,0.025,False,2.6145477162490033927372834712
0,0.01,0.193,0.025,False,2.6145477162490033927372834712
0,0.01,0.194,0.025,False,2.6145477162490033927372834712
0,0.01,0.195,0.025,False,2.6145477162490033927372834712
0,0.01,0.196,0.025,False,2.6145477162490033927372834712
0,0.01,0.197,0.025,False,2.6145477162490033927372834712
0,0.01,0.198,0.025,False,2.6145477162490033927372834712
0,0.01,0.199,0.025,False,2.6145477162490033927372834712
0.015,0,0.177,0.029,False,2.6131558426048934323179633233
0.015,0,0.178,0.029,False,2.6131558426048934323179633233
0.015,0,0.179,0.029,False,2.6131558426048934323179633233
0.018,0,0.173,0.029,False,2.6095214851633080941464711663
0.012,0.01,0.199,0.015,False,2.6064861585018627598783363508
0.004,0.25,0.193,0.005,False,2.5993269331721872220187976891
0.004,0.25,0.194,0.005,False,2.5993269331721872220187976891
0.004,0.25,0.195,0.005,False,2.5993269331721872220187976891
0.004,0.25,0.196,0.005,False,2.5993269331721872220187976891
0.004,0.25,0.197,0.005,False,2.5993269331721872220187976891
0.014,0,0.180,0.029,False,2.5981050046900780940443677150
0.013,0.04,0.189,0.014,False,2.5963618185905576653537928037
0.013,0.04,0.190,0.014,False,2.5963618185905576653537928037
0.013,0.04,0.191,0.014,False,2.5963618185905576653537928037
0.013,0.04,0.192,0.014,False,2.5963618185905576653537928037
0.012,0.01,0.196,0.015,False,2.5959260818331305717380923365
0.012,0.01,0.197,0.015,False,2.5959260818331305717380923365
0.013,0.01,0.192,0.015,False,2.5956805553440274051824063351
0.014,0,0.181,0.029,False,2.5919326755957288325919438814
0.014,0,0.182,0.029,False,2.5919326755957288325919438814
0.039,0.06,0.194,0.011,False,2.5841670680113355914236285541
0.037,0.05,0.189,0.011,False,2.5795633163916977660855903668
0.037,0.05,0.190,0.011,False,2.5795633163916977660855903668
0.037,0.05,0.191,0.011,False,2.5795633163916977660855903668
0.037,0.05,0.192,0.011,False,2.5795633163916977660855903668
0.037,0.05,0.193,0.011,False,2.5795633163916977660855903668
0.037,0.05,0.194,0.011,False,2.5795633163916977660855903668
0.010,0.02,0.177,0.033,False,2.5722385344818955700126312300
0.010,0.02,0.178,0.033,False,2.5722385344818955700126312300
0.010,0,0.177,0.032,False,2.5721188649511202414044268017
0,0,0.200,0.025,False,2.5701679393174789467381969079
0.012,0.02,0.193,0.015,False,2.5685656208404373173350603591
0.012,0.02,0.194,0.015,False,2.5685656208404373173350603591
