StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.013,0,0.077,0.015,False,2.4250186132433423006007637569
0.013,0,0.076,0.015,False,2.1775000946705289004791680686
0.013,0,0.078,0.016,False,2.0681103386925295905668090473
0.013,0,0.075,0.015,False,1.9921271550030875337740907188
0.013,0.01,0.077,0.015,False,1.9905589761656508668847118693
0.013,0.01,0.076,0.015,False,1.9409081880895397210193354892
0.013,0.01,0.075,0.015,False,1.8892817022593200518231695703
0.015,0,0.078,0.012,False,1.8726892658306706034866634867
0.009,0,0.078,0.016,False,1.8596394135235089946858358667
0,0.28,0.072,0.015,False,1.8395417206585692819604470044
0.027,0.24,0.073,0.012,False,1.8391984123985025934757938189
0.014,0,0.078,0.016,False,1.8366789118906825347625473065
0.027,0.24,0.073,0.011,False,1.8289002945623269677863200275
0.027,0.24,0.076,0.015,False,1.8262878113456850207844297227
0.017,0.10,0.080,0.019,False,1.8226479084145568451391390654
0.022,0.07,0.075,0.014,False,1.8014353226706660313902713059
0.006,0.28,0.074,0.016,False,1.8010961958180141715013947356
0.006,0.28,0.075,0.016,False,1.8010961958180141715013947356
0.006,0.28,0.076,0.016,False,1.8010961958180141715013947356
0,0.27,0.079,0.025,False,1.7996132390322264543893239760
0,0.27,0.080,0.025,False,1.7996132390322264543893239760
0.022,0.07,0.080,0.001,False,1.7907417087699954742666503759
0.029,0.25,0.077,0.016,False,1.7875781232577849919534199092
0.019,0.01,0.075,0.016,False,1.7849214807254021195238800006
0,0.30,0.074,0.023,False,1.7822994615475459035025884411
0.029,0.25,0.071,0.014,False,1.7762893940446676119592901337
0.027,0.23,0.074,0.015,False,1.7758220955830218458260574178
0.018,0.12,0.080,0.018,False,1.7658520145209318875596291640
0.018,0.11,0.080,0.019,False,1.7576540783149746100825425310
0.018,0.11,0.080,0.018,False,1.7566025064408777079110537518
0.019,0.12,0.079,0.018,False,1.7501195155916260144688377702
0,0.28,0.072,0.014,False,1.7494965380313513591806777163
0,0.08,0.079,0.028,False,1.7486638510413497195376437441
0.021,0.07,0.075,0.014,False,1.7485718883802075154147515669
0.021,0.07,0.079,0.014,False,1.7480658382596315081506852140
0.018,0.08,0.077,0.005,False,1.7469674118282964769632759338
0.021,0.01,0.072,0.016,False,1.7460548422183978391421091147
0.018,0.12,0.080,0.019,False,1.7425275277053989160444517141
0.021,0.07,0.077,0.014,False,1.7410888541118655999545920135
0.021,0.07,0.078,0.014,False,1.7410888541118655999545920135
0.006,0.28,0.074,0.017,False,1.7333090844819732082335681571
0.006,0.28,0.075,0.017,False,1.7333090844819732082335681571
0.006,0.28,0.076,0.017,False,1.7333090844819732082335681571
0.027,0.25,0.072,0.012,False,1.7324032835213823619887740740
0,0.27,0.080,0.026,False,1.7314561258242357989852266384
0.029,0.25,0.075,0.014,False,1.7272195656582302330806155260
0.007,0.28,0.074,0.016,False,1.7271768171785242732695863808
0.007,0.28,0.075,0.016,False,1.7271768171785242732695863808
0.007,0.28,0.076,0.016,False,1.7271768171785242732695863808
0.013,0,0.079,0.016,False,1.7248784267660227054660504167
0.013,0,0.080,0.016,False,1.7248784267660227054660504167
0.028,0.26,0.071,0.012,False,1.7229119779134482669229604957
0.029,0.25,0.071,0.015,False,1.7221309558051024071655315766
0.029,0.25,0.072,0.015,False,1.7221309558051024071655315766
0.027,0.24,0.071,0.015,False,1.7198130046030579026036568806
0.027,0.24,0.072,0.015,False,1.7198130046030579026036568806
0.013,0,0.078,0.015,False,1.7189168273471499961060459811
0.019,0.01,0.076,0.016,False,1.7166661090498230322199886284
0.018,0.12,0.079,0.018,False,1.7149477144393148136842234286
0.013,0,0.077,0.016,False,1.7083544000919484475905350176
0,0.08,0.080,0.028,False,1.7074501491700246756458761194
0.029,0,0.079,0.009,True,1.7010061446998409147011624818
0.027,0.24,0.077,0.010,False,1.7005032189937992943674327811
0.039,0.01,0.080,0.005,False,1.6997101757499104497600870413
0.028,0.23,0.074,0.015,False,1.6949115936162206129197565490
0.016,0.12,0.075,0.018,False,1.6929050929981752736980259868
0.013,0,0.076,0.016,False,1.6909909059211147952802824403
0,0.28,0.074,0.015,False,1.6896857794070543611167080431
0,0.28,0.075,0.015,False,1.6896857794070543611167080431
0,0.28,0.076,0.015,False,1.6896857794070543611167080431
0.029,0.25,0.074,0.015,False,1.6894973683960140504689638602
0.018,0.10,0.080,0.019,False,1.6855208427173422376610550631
0,0.27,0.078,0.026,False,1.6846325739030995267611165917
0,0.27,0.079,0.026,False,1.6846325739030995267611165917
0.027,0.24,0.072,0.012,False,1.6843804783564780671204555320
0.028,0.25,0.071,0.015,False,1.6833976092060357400250080291
0,0.28,0.073,0.015,False,1.6831304397567036194476041060
0.017,0.13,0.079,0.015,False,1.6822021168456645402773012527
0.017,0.13,0.080,0.015,False,1.6822021168456645402773012527
